;ENSCAFT00000025873_90_90;ENSCAFT00000025875_90_90;ENST00000315266_90_90;ENST00000459628_90_90;ENST00000478722_90_90;ENST00000543237_90_90;ENST00000553936_90_90;ENST00000555456_90_90;ENST00000555503_90_90;ENST00000555668_90_90;ENST00000556240_90_90;ENST00000556633_90_90;ENST00000557654_90_90;ENSMUST00000052472_90_90;ENSMUST00000110388_90_90
ENSCAFT00000025873_90_90;1.0;0.562;0.87;0.429;0.815;1.0;0.038;0.379;0.143;0.08;0.031;0.106;0.08;1.0;0.844
ENSCAFT00000025875_90_90;0.562;1.0;0.657;0.357;0.734;0.589;0.0;0.245;0.186;0.0;0.053;0.0;0.0;0.594;0.729
ENST00000315266_90_90;0.87;0.657;1.0;0.416;0.928;0.879;0.093;0.357;0.149;0.138;0.033;0.173;0.138;0.899;0.899
ENST00000459628_90_90;0.429;0.357;0.416;1.0;0.481;0.439;0.121;0.373;0.0;0.188;0.0;0.188;0.188;0.435;0.543
ENST00000478722_90_90;0.815;0.734;0.928;0.481;1.0;0.827;0.085;0.333;0.142;0.126;0.03;0.158;0.126;0.839;0.973
ENST00000543237_90_90;1.0;0.589;0.879;0.439;0.827;1.0;0.079;0.361;0.138;0.117;0.027;0.146;0.117;1.0;0.864
ENST00000553936_90_90;0.038;0.0;0.093;0.121;0.085;0.079;1.0;0.0;0.0;0.41;0.0;0.407;0.41;0.066;0.066
ENST00000555456_90_90;0.379;0.245;0.357;0.373;0.333;0.361;0.0;1.0;0.0;0.0;0.0;0.045;0.0;0.366;0.316
ENST00000555503_90_90;0.143;0.186;0.149;0.0;0.142;0.138;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.147;0.147
ENST00000555668_90_90;0.08;0.0;0.138;0.188;0.126;0.117;0.41;0.0;0.0;1.0;0.0;0.798;1.0;0.11;0.11
ENST00000556240_90_90;0.031;0.053;0.033;0.0;0.03;0.027;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.033;0.033
ENST00000556633_90_90;0.106;0.0;0.173;0.188;0.158;0.146;0.407;0.045;0.0;0.798;0.0;1.0;0.798;0.138;0.138
ENST00000557654_90_90;0.08;0.0;0.138;0.188;0.126;0.117;0.41;0.0;0.0;1.0;0.0;0.798;1.0;0.11;0.11
ENSMUST00000052472_90_90;1.0;0.594;0.899;0.435;0.839;1.0;0.066;0.366;0.147;0.11;0.033;0.138;0.11;1.0;0.849
ENSMUST00000110388_90_90;0.844;0.729;0.899;0.543;0.973;0.864;0.066;0.316;0.147;0.11;0.033;0.138;0.11;0.849;1.0
