;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.685;0.535;0.533;0.907;0.813;0.907;0.514;0.767;0.535;0.767;0.539;0.407;0.404;0.412;0.394;0.325;0.413;0.309;0.353;0.356;0.336;0.325;0.431;0.322;0.319;0.391;0.393;0.393;0.324;0.324
transcript7_ENSMUSG00000054036;0.685;1.0;0.621;0.677;0.697;0.736;0.697;0.6;0.632;0.621;0.632;0.627;0.597;0.593;0.617;0.598;0.591;0.525;0.572;0.553;0.507;0.534;0.591;0.555;0.472;0.477;0.56;0.561;0.561;0.484;0.484
transcript26_ENSMSIG00000000513;0.535;0.621;1.0;1.0;0.59;0.752;0.59;0.483;0.748;1.0;0.748;0.993;0.752;0.75;0.763;0.746;0.644;0.79;0.624;0.631;0.71;0.611;0.644;0.816;0.659;0.644;0.782;0.744;0.744;0.648;0.648
transcript26_MGP-PahariEiJ-G0020237;0.533;0.677;1.0;1.0;0.588;0.805;0.588;0.51;0.748;1.0;0.748;0.993;0.994;0.985;0.999;0.964;0.824;0.899;0.814;0.774;0.807;0.765;0.824;0.967;0.977;0.993;0.977;0.967;0.967;1.0;1.0
transcript41_ENSMSIG00000000513;0.907;0.697;0.59;0.588;1.0;0.857;1.0;0.493;0.845;0.59;0.845;0.594;0.449;0.446;0.454;0.437;0.332;0.441;0.315;0.348;0.36;0.33;0.332;0.478;0.356;0.352;0.433;0.435;0.435;0.357;0.357
transcript41_MGP-SPRETEiJ-G0021131;0.813;0.736;0.752;0.805;0.857;1.0;0.857;0.561;0.853;0.752;0.853;0.752;0.657;0.648;0.66;0.639;0.471;0.56;0.441;0.531;0.446;0.497;0.471;0.624;0.498;0.502;0.615;0.615;0.615;0.509;0.509
transcript43_ENSMSIG00000000513;0.907;0.697;0.59;0.588;1.0;0.857;1.0;0.493;0.845;0.59;0.845;0.594;0.449;0.446;0.454;0.437;0.332;0.441;0.315;0.348;0.36;0.33;0.332;0.478;0.356;0.352;0.433;0.435;0.435;0.357;0.357
transcript43_MGP-CAROLIEiJ-G0020234;0.514;0.6;0.483;0.51;0.493;0.561;0.493;1.0;0.47;0.483;0.47;0.487;0.44;0.448;0.448;0.463;0.525;0.475;0.503;0.578;0.516;0.553;0.525;0.438;0.339;0.347;0.413;0.414;0.414;0.352;0.352
transcript46_ENSMSIG00000000513;0.767;0.632;0.748;0.748;0.845;0.853;0.845;0.47;1.0;0.748;1.0;0.742;0.527;0.522;0.532;0.515;0.41;0.529;0.392;0.432;0.448;0.413;0.41;0.562;0.49;0.481;0.582;0.512;0.512;0.485;0.485
transcript47_ENSMSIG00000000513;0.535;0.621;1.0;1.0;0.59;0.752;0.59;0.483;0.748;1.0;0.748;0.993;0.752;0.75;0.763;0.746;0.644;0.79;0.624;0.631;0.71;0.611;0.644;0.816;0.659;0.644;0.782;0.744;0.744;0.648;0.648
