;ENSCAFT00000002168_90_90;ENSCAFT00000045695_90_90;ENSCAFT00000013241_90_90;ENSCAFT00000019370_90_90;ENST00000253363_90_90;ENST00000338163_90_90;ENST00000361162_90_90;ENST00000374038_90_90;ENST00000397370_90_90;ENST00000403542_90_90;ENST00000412738_90_90;ENST00000416108_90_90;ENST00000416529_90_90;ENST00000425184_90_90;ENST00000426951_90_90;ENST00000429968_90_90;ENST00000433027_90_90;ENST00000434927_90_90;ENST00000444878_90_90;ENST00000448303_90_90;ENST00000449489_90_90;ENST00000453310_90_90;ENST00000455343_90_90;ENST00000476806_90_90;ENST00000490484_90_90;ENST00000528062_90_90;ENST00000615771_90_90;ENST00000369086_90_90;ENST00000369093_90_90;ENST00000412524_90_90;ENST00000436547_90_90;ENST00000479729_90_90;ENST00000497671_90_90;ENST00000313352_90_90;ENST00000349157_90_90;ENST00000453551_90_90;ENST00000456095_90_90;ENST00000526459_90_90;ENST00000526683_90_90;ENST00000527197_90_90;ENST00000527744_90_90;ENST00000529999_90_90;ENST00000531897_90_90;ENST00000532884_90_90;ENST00000533162_90_90;ENSMUST00000002599_90_90;ENSMUST00000100527_90_90;ENSMUST00000029149_90_90;ENSMUST00000109584_90_90;ENSMUST00000109587_90_90;ENSMUST00000126992_90_90;ENSMUST00000137566_90_90;ENSMUST00000142071_90_90;ENSMUST00000146288_90_90;ENSMUST00000146297_90_90;ENSMUST00000146549_90_90;ENSMUST00000147098_90_90;ENSMUST00000148794_90_90;ENSMUST00000152919_90_90;ENSMUST00000153514_90_90;ENSMUST00000154677_90_90;ENSMUST00000155837_90_90;ENSMUST00000033135_90_90;ENSMUST00000106226_90_90;ENSMUST00000106228_90_90;ENSMUST00000123666_90_90;ENSMUST00000133089_90_90;ENSMUST00000133444_90_90;ENSMUST00000141126_90_90;ENSMUST00000165023_90_90;ENSMUST00000205278_90_90;ENSMUST00000205835_90_90
ENSCAFT00000002168_90_90;1.0;0.942;0.253;0.605;0.22;0.146;0.216;0.073;0.097;0.013;0.013;0.013;0.0;0.014;0.051;0.02;0.01;0.061;0.013;0.152;0.013;0.013;0.013;0.05;0.08;0.215;0.08;0.048;0.231;0.109;0.237;0.002;0.068;0.912;0.99;0.884;0.908;0.574;0.96;0.936;0.558;0.366;0.34;0.407;0.275;0.979;0.95;0.44;0.037;0.441;0.254;0.013;0.369;0.146;0.44;0.013;0.039;0.299;0.013;0.048;0.0;0.013;0.236;0.23;0.237;0.068;0.039;0.073;0.213;0.236;0.067;0.055
ENSCAFT00000045695_90_90;0.942;1.0;0.274;0.626;0.22;0.147;0.216;0.076;0.1;0.001;0.001;0.001;0.003;0.001;0.054;0.024;0.015;0.064;0.001;0.149;0.001;0.001;0.001;0.049;0.078;0.215;0.078;0.059;0.23;0.121;0.235;0.0;0.068;0.884;0.933;0.915;0.912;0.536;0.963;0.882;0.57;0.372;0.347;0.395;0.319;0.949;0.979;0.43;0.036;0.431;0.248;0.001;0.36;0.142;0.43;0.001;0.038;0.291;0.001;0.047;0.003;0.001;0.234;0.229;0.246;0.068;0.04;0.071;0.207;0.234;0.068;0.043
ENSCAFT00000013241_90_90;0.253;0.274;1.0;0.158;0.09;0.101;0.09;0.13;0.16;0.052;0.052;0.052;0.071;0.033;0.15;0.069;0.06;0.137;0.052;0.0;0.052;0.052;0.052;0.0;0.0;0.092;0.0;0.121;0.451;0.201;0.434;0.028;0.193;0.203;0.251;0.222;0.237;0.336;0.271;0.218;0.364;0.451;0.436;0.145;0.401;0.258;0.278;0.138;0.059;0.137;0.188;0.052;0.157;0.185;0.138;0.052;0.061;0.0;0.052;0.069;0.071;0.052;0.433;0.45;0.388;0.193;0.067;0.159;0.279;0.433;0.206;0.055
ENSCAFT00000019370_90_90;0.605;0.626;0.158;1.0;0.174;0.11;0.173;0.063;0.036;0.003;0.003;0.003;0.0;0.003;0.038;0.019;0.0;0.05;0.003;0.126;0.003;0.003;0.003;0.042;0.045;0.168;0.053;0.007;0.159;0.049;0.163;0.0;0.009;0.64;0.604;0.664;0.649;0.369;0.627;0.626;0.398;0.211;0.191;0.312;0.162;0.601;0.624;0.353;0.018;0.352;0.224;0.003;0.288;0.124;0.353;0.003;0.01;0.269;0.003;0.027;0.0;0.003;0.162;0.157;0.169;0.009;0.011;0.068;0.187;0.162;0.009;0.059
ENST00000253363_90_90;0.22;0.22;0.09;0.174;1.0;0.74;0.989;0.437;0.057;0.031;0.031;0.031;0.03;0.0;0.162;0.062;0.063;0.365;0.031;0.634;0.031;0.031;0.031;0.089;0.377;0.958;0.276;0.028;0.102;0.026;0.105;0.031;0.033;0.227;0.217;0.223;0.219;0.09;0.213;0.224;0.085;0.059;0.06;0.2;0.048;0.223;0.219;0.452;0.031;0.448;0.197;0.031;0.311;0.123;0.452;0.031;0.031;0.257;0.031;0.03;0.03;0.031;0.105;0.102;0.103;0.033;0.0;0.113;0.091;0.105;0.026;0.007
ENST00000338163_90_90;0.146;0.147;0.101;0.11;0.74;1.0;0.748;0.548;0.07;0.038;0.038;0.038;0.036;0.0;0.203;0.077;0.079;0.458;0.038;0.508;0.038;0.038;0.038;0.111;0.466;0.7;0.344;0.034;0.117;0.031;0.12;0.039;0.04;0.15;0.143;0.147;0.145;0.104;0.141;0.148;0.098;0.069;0.071;0.238;0.056;0.149;0.146;0.3;0.038;0.297;0.234;0.038;0.355;0.15;0.3;0.038;0.038;0.198;0.038;0.038;0.036;0.038;0.12;0.117;0.119;0.04;0.0;0.138;0.107;0.12;0.031;0.009
ENST00000361162_90_90;0.216;0.216;0.09;0.173;0.989;0.748;1.0;0.442;0.058;0.031;0.031;0.031;0.03;0.0;0.163;0.063;0.064;0.37;0.031;0.623;0.031;0.031;0.031;0.09;0.381;0.947;0.279;0.028;0.103;0.026;0.105;0.032;0.033;0.224;0.214;0.219;0.216;0.091;0.21;0.22;0.085;0.06;0.061;0.202;0.048;0.219;0.215;0.456;0.031;0.452;0.198;0.031;0.305;0.125;0.456;0.031;0.031;0.259;0.031;0.031;0.03;0.031;0.105;0.103;0.104;0.033;0.0;0.114;0.091;0.105;0.026;0.007
ENST00000374038_90_90;0.073;0.076;0.13;0.063;0.437;0.548;0.442;1.0;0.115;0.067;0.067;0.067;0.061;0.0;0.37;0.137;0.142;0.828;0.067;0.227;0.067;0.067;0.067;0.0;0.201;0.396;0.0;0.056;0.159;0.048;0.164;0.07;0.062;0.074;0.071;0.072;0.071;0.1;0.069;0.072;0.097;0.098;0.102;0.193;0.082;0.077;0.076;0.178;0.067;0.176;0.291;0.067;0.214;0.241;0.178;0.067;0.067;0.077;0.067;0.065;0.061;0.067;0.164;0.159;0.166;0.062;0.0;0.235;0.156;0.164;0.047;0.014
ENST00000397370_90_90;0.097;0.1;0.16;0.036;0.057;0.07;0.058;0.115;1.0;0.144;0.144;0.144;0.121;0.0;0.134;0.311;0.336;0.132;0.144;0.0;0.144;0.144;0.144;0.0;0.0;0.059;0.0;0.28;0.099;0.209;0.103;0.16;0.309;0.047;0.095;0.046;0.055;0.151;0.092;0.057;0.145;0.249;0.263;0.0;0.283;0.096;0.093;0.058;0.4;0.057;0.1;0.144;0.071;0.155;0.058;0.144;0.411;0.0;0.144;0.311;0.121;0.144;0.103;0.099;0.1;0.309;0.199;0.0;0.0;0.103;0.268;0.024
ENST00000403542_90_90;0.013;0.001;0.052;0.003;0.031;0.038;0.031;0.067;0.144;1.0;1.0;1.0;0.2;0.575;0.039;0.243;0.274;0.078;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.032;0.0;0.0;0.049;0.0;0.051;0.427;0.129;0.0;0.014;0.0;0.014;0.023;0.014;0.015;0.018;0.0;0.0;0.0;0.0;0.015;0.015;0.031;0.279;0.031;0.057;1.0;0.039;0.095;0.031;1.0;0.274;0.0;1.0;0.243;0.2;1.0;0.051;0.049;0.0;0.129;0.0;0.0;0.0;0.051;0.084;0.157
ENST00000412738_90_90;0.013;0.001;0.052;0.003;0.031;0.038;0.031;0.067;0.144;1.0;1.0;1.0;0.2;0.575;0.039;0.243;0.274;0.078;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.032;0.0;0.0;0.049;0.0;0.051;0.427;0.129;0.0;0.014;0.0;0.014;0.023;0.014;0.015;0.018;0.0;0.0;0.0;0.0;0.015;0.015;0.031;0.279;0.031;0.057;1.0;0.039;0.095;0.031;1.0;0.274;0.0;1.0;0.243;0.2;1.0;0.051;0.049;0.0;0.129;0.0;0.0;0.0;0.051;0.084;0.157
ENST00000416108_90_90;0.013;0.001;0.052;0.003;0.031;0.038;0.031;0.067;0.144;1.0;1.0;1.0;0.2;0.575;0.039;0.243;0.274;0.078;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.032;0.0;0.0;0.049;0.0;0.051;0.427;0.129;0.0;0.014;0.0;0.014;0.023;0.014;0.015;0.018;0.0;0.0;0.0;0.0;0.015;0.015;0.031;0.279;0.031;0.057;1.0;0.039;0.095;0.031;1.0;0.274;0.0;1.0;0.243;0.2;1.0;0.051;0.049;0.0;0.129;0.0;0.0;0.0;0.051;0.084;0.157
