;ENSCAFT00000013778_90_90;ENST00000320672_90_90;ENST00000504985_90_90;ENST00000505980_90_90;ENST00000509013_90_90;ENST00000509053_90_90;ENST00000512923_90_90;ENST00000514493_90_90;ENST00000515395_90_90;ENST00000615665_90_90;ENSMUST00000004094_90_90;ENSMUST00000042122_90_90;ENSMUST00000138488_90_90
ENSCAFT00000013778_90_90;1.0;0.963;0.654;0.899;0.551;0.804;0.643;0.885;0.885;0.963;1.0;0.923;0.169
ENST00000320672_90_90;0.963;1.0;0.643;0.939;0.535;0.846;0.556;0.925;0.886;0.958;0.96;0.879;0.146
ENST00000504985_90_90;0.654;0.643;1.0;0.585;0.287;0.496;0.748;0.571;0.613;0.685;0.676;0.597;0.0
ENST00000505980_90_90;0.899;0.939;0.585;1.0;0.478;0.785;0.499;0.864;0.828;0.899;0.893;0.814;0.157
ENST00000509013_90_90;0.551;0.535;0.287;0.478;1.0;0.502;0.301;0.465;0.446;0.514;0.534;0.455;0.119
ENST00000509053_90_90;0.804;0.846;0.496;0.785;0.502;1.0;0.411;0.915;0.873;0.81;0.795;0.865;0.175
ENST00000512923_90_90;0.643;0.556;0.748;0.499;0.301;0.411;1.0;0.485;0.469;0.537;0.665;0.585;0.0
ENST00000514493_90_90;0.885;0.925;0.571;0.864;0.465;0.915;0.485;1.0;0.955;0.886;0.879;0.957;0.159
ENST00000515395_90_90;0.885;0.886;0.613;0.828;0.446;0.873;0.469;0.955;1.0;0.928;0.879;0.957;0.159
ENST00000615665_90_90;0.963;0.958;0.685;0.899;0.514;0.81;0.537;0.886;0.928;1.0;0.96;0.879;0.146
ENSMUST00000004094_90_90;1.0;0.96;0.676;0.893;0.534;0.795;0.665;0.879;0.879;0.96;1.0;0.925;0.155
ENSMUST00000042122_90_90;0.923;0.879;0.597;0.814;0.455;0.865;0.585;0.957;0.957;0.879;0.925;1.0;0.167
ENSMUST00000138488_90_90;0.169;0.146;0.0;0.157;0.119;0.175;0.0;0.159;0.159;0.146;0.155;0.167;1.0
