;transcript42_ENSMUGG00000013649;transcript37_ENSCGRG00000018457;transcript31_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript49_ENSCGRG00001010245;transcript50_ENSCGRG00001010245;transcript51_ENSCGRG00001010245;transcript7_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript42_ENSPEMG00000024651;transcript43_ENSPEMG00000024651
transcript42_ENSMUGG00000013649;1.0;0.851;0.957;0.851;0.809;0.889;0.914;0.913;0.957;0.917;0.957
transcript37_ENSCGRG00000018457;0.851;1.0;0.893;1.0;0.952;0.825;0.851;0.934;0.893;0.853;0.893
transcript31_ENSCGRG00001010245;0.957;0.893;1.0;0.893;0.853;0.931;0.957;0.956;1.0;0.96;1.0
transcript37_ENSCGRG00001010245;0.851;1.0;0.893;1.0;0.952;0.825;0.851;0.934;0.893;0.853;0.893
transcript49_ENSCGRG00001010245;0.809;0.952;0.853;0.952;1.0;0.784;0.809;0.889;0.853;0.812;0.853
transcript50_ENSCGRG00001010245;0.889;0.825;0.931;0.825;0.784;1.0;0.889;0.887;0.931;0.891;0.931
transcript51_ENSCGRG00001010245;0.914;0.851;0.957;0.851;0.809;0.889;1.0;0.913;0.957;0.917;0.957
transcript7_ENSPEMG00000024651;0.913;0.934;0.956;0.934;0.889;0.887;0.913;1.0;0.956;0.916;0.956
transcript31_ENSPEMG00000024651;0.957;0.893;1.0;0.893;0.853;0.931;0.957;0.956;1.0;0.96;1.0
transcript42_ENSPEMG00000024651;0.917;0.853;0.96;0.853;0.812;0.891;0.917;0.916;0.96;1.0;0.96
transcript43_ENSPEMG00000024651;0.957;0.893;1.0;0.893;0.853;0.931;0.957;0.956;1.0;0.96;1.0
