;ENSCAFT00000028257_90_90;ENST00000422393_90_90;ENST00000433491_90_90;ENST00000434483_90_90;ENST00000443502_90_90;ENST00000455268_90_90;ENST00000494475_90_90;ENST00000612423_90_90;ENST00000619236_90_90;ENST00000621218_90_90;ENSMUST00000033800_90_90;ENSMUST00000113085_90_90
ENSCAFT00000028257_90_90;1.0;0.611;0.329;0.611;0.477;0.611;0.611;0.994;0.994;0.994;0.994;0.994
ENST00000422393_90_90;0.611;1.0;0.562;0.898;0.689;0.895;0.841;0.53;0.514;0.53;0.506;0.477
ENST00000433491_90_90;0.329;0.562;1.0;0.611;0.784;0.512;0.493;0.281;0.408;0.281;0.235;0.33
ENST00000434483_90_90;0.611;0.898;0.611;1.0;0.755;0.807;0.762;0.472;0.567;0.472;0.441;0.53
ENST00000443502_90_90;0.477;0.689;0.784;0.755;1.0;0.624;0.596;0.352;0.53;0.352;0.31;0.478
ENST00000455268_90_90;0.611;0.895;0.512;0.807;0.624;1.0;0.936;0.596;0.471;0.596;0.577;0.433
ENST00000494475_90_90;0.611;0.841;0.493;0.762;0.596;0.936;1.0;0.647;0.443;0.647;0.633;0.406
ENST00000612423_90_90;0.994;0.53;0.281;0.472;0.352;0.596;0.647;1.0;0.687;1.0;0.998;0.656
ENST00000619236_90_90;0.994;0.514;0.408;0.567;0.53;0.471;0.443;0.687;1.0;0.687;0.656;0.997
ENST00000621218_90_90;0.994;0.53;0.281;0.472;0.352;0.596;0.647;1.0;0.687;1.0;0.998;0.656
ENSMUST00000033800_90_90;0.994;0.506;0.235;0.441;0.31;0.577;0.633;0.998;0.656;0.998;1.0;0.687
ENSMUST00000113085_90_90;0.994;0.477;0.33;0.53;0.478;0.433;0.406;0.656;0.997;0.656;0.687;1.0
