;ENSCAFT00000017864_90_90;ENST00000318445_90_90;ENST00000424469_90_90;ENST00000553304_90_90;ENST00000555210_90_90;ENST00000555892_90_90;ENSMUST00000026897_90_90;ENSMUST00000098371_90_90;ENSMUST00000107453_90_90;ENSMUST00000134539_90_90;ENSMUST00000138099_90_90
ENSCAFT00000017864_90_90;1.0;0.97;0.955;0.186;0.157;0.126;0.824;0.819;0.866;0.316;0.195
ENST00000318445_90_90;0.97;1.0;0.903;0.181;0.153;0.123;0.729;0.725;0.845;0.308;0.186
ENST00000424469_90_90;0.955;0.903;1.0;0.185;0.157;0.126;0.746;0.802;0.867;0.316;0.19
ENST00000553304_90_90;0.186;0.181;0.185;1.0;0.0;0.0;0.19;0.189;0.214;0.584;0.869
ENST00000555210_90_90;0.157;0.153;0.157;0.0;1.0;0.803;0.16;0.159;0.181;0.0;0.0
ENST00000555892_90_90;0.126;0.123;0.126;0.0;0.803;1.0;0.129;0.128;0.145;0.0;0.0
ENSMUST00000026897_90_90;0.824;0.729;0.746;0.19;0.16;0.129;1.0;0.903;0.803;0.308;0.182
ENSMUST00000098371_90_90;0.819;0.725;0.802;0.189;0.159;0.128;0.903;1.0;0.823;0.316;0.186
ENSMUST00000107453_90_90;0.866;0.845;0.867;0.214;0.181;0.145;0.803;0.823;1.0;0.363;0.213
ENSMUST00000134539_90_90;0.316;0.308;0.316;0.584;0.0;0.0;0.308;0.316;0.363;1.0;0.539
ENSMUST00000138099_90_90;0.195;0.186;0.19;0.869;0.0;0.0;0.182;0.186;0.213;0.539;1.0
