;ENSCAFT00000002814_90_90;ENST00000280758_90_90;ENST00000357167_90_90;ENST00000415943_90_90;ENST00000420571_90_90;ENST00000490090_90_90;ENST00000494235_90_90;ENST00000550706_90_90;ENSMUST00000020231_90_90;ENSMUST00000105306_90_90;ENSMUST00000105307_90_90
ENSCAFT00000002814_90_90;1.0;0.852;0.439;0.204;0.778;0.766;0.13;0.192;0.668;0.475;0.893
ENST00000280758_90_90;0.852;1.0;0.506;0.237;0.921;0.9;0.133;0.226;0.614;0.485;0.836
ENST00000357167_90_90;0.439;0.506;1.0;0.148;0.432;0.426;0.214;0.12;0.243;0.899;0.458
ENST00000415943_90_90;0.204;0.237;0.148;1.0;0.256;0.246;0.0;0.424;0.289;0.186;0.225
ENST00000420571_90_90;0.778;0.921;0.432;0.256;1.0;0.823;0.145;0.244;0.667;0.41;0.762
ENST00000490090_90_90;0.766;0.9;0.426;0.246;0.823;1.0;0.058;0.235;0.648;0.405;0.752
ENST00000494235_90_90;0.13;0.133;0.214;0.0;0.145;0.058;1.0;0.0;0.0;0.22;0.128
ENST00000550706_90_90;0.192;0.226;0.12;0.424;0.244;0.235;0.0;1.0;0.279;0.124;0.214
ENSMUST00000020231_90_90;0.668;0.614;0.243;0.289;0.667;0.648;0.0;0.279;1.0;0.274;0.767
ENSMUST00000105306_90_90;0.475;0.485;0.899;0.186;0.41;0.405;0.22;0.124;0.274;1.0;0.495
ENSMUST00000105307_90_90;0.893;0.836;0.458;0.225;0.762;0.752;0.128;0.214;0.767;0.495;1.0
