;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;0.957;0.957;0.957;0.643;0.635;0.643;0.617;0.643;0.514;0.488;0.581;0.56;0.589;0.676;0.557;0.778;0.776;0.75;0.681;0.778;0.902;0.871;0.638;0.847;0.847;0.876;0.845;0.839;0.871;0.792;0.674;0.696;0.804;0.804;0.804
transcript38_ENSCGRG00015005362;0.957;1.0;1.0;1.0;0.671;0.664;0.671;0.644;0.671;0.527;0.5;0.609;0.587;0.611;0.696;0.575;0.798;0.796;0.77;0.699;0.798;0.943;0.909;0.667;0.888;0.888;0.918;0.883;0.879;0.909;0.829;0.695;0.718;0.841;0.841;0.841
transcript38_ENSCGRG00000018457;0.957;1.0;1.0;1.0;0.671;0.664;0.671;0.644;0.671;0.527;0.5;0.609;0.587;0.611;0.696;0.575;0.798;0.796;0.77;0.699;0.798;0.943;0.909;0.667;0.888;0.888;0.918;0.883;0.879;0.909;0.829;0.695;0.718;0.841;0.841;0.841
transcript38_ENSSTOG00000019743;0.957;1.0;1.0;1.0;0.671;0.664;0.671;0.644;0.671;0.527;0.5;0.609;0.587;0.611;0.696;0.575;0.798;0.796;0.77;0.699;0.798;0.943;0.909;0.667;0.888;0.888;0.918;0.883;0.879;0.909;0.829;0.695;0.718;0.841;0.841;0.841
transcript37_ENSMUGG00000013649;0.643;0.671;0.671;0.671;1.0;0.99;1.0;0.962;1.0;0.803;0.767;0.902;0.871;0.845;0.721;0.876;0.5;0.498;0.482;0.433;0.5;0.695;0.668;0.972;0.646;0.646;0.617;0.595;0.638;0.668;0.615;0.777;0.806;0.803;0.803;0.803
transcript37_ENSMUGG00000013592;0.635;0.664;0.664;0.664;0.99;1.0;0.99;0.953;0.99;0.799;0.764;0.894;0.864;0.835;0.713;0.885;0.496;0.494;0.478;0.43;0.496;0.687;0.66;0.962;0.638;0.638;0.61;0.589;0.63;0.66;0.608;0.769;0.797;0.795;0.795;0.795
transcript37_ENSCGRG00001010245;0.643;0.671;0.671;0.671;1.0;0.99;1.0;0.962;1.0;0.803;0.767;0.902;0.871;0.845;0.721;0.876;0.5;0.498;0.482;0.433;0.5;0.695;0.668;0.972;0.646;0.646;0.617;0.595;0.638;0.668;0.615;0.777;0.806;0.803;0.803;0.803
transcript37_ENSPEMG00000024651;0.617;0.644;0.644;0.644;0.962;0.953;0.962;1.0;0.962;0.766;0.796;0.875;0.905;0.818;0.745;0.84;0.486;0.484;0.498;0.423;0.486;0.664;0.689;0.935;0.621;0.621;0.594;0.614;0.614;0.689;0.588;0.804;0.781;0.772;0.772;0.772
transcript37_ENSSTOG00000019743;0.643;0.671;0.671;0.671;1.0;0.99;1.0;0.962;1.0;0.803;0.767;0.902;0.871;0.845;0.721;0.876;0.5;0.498;0.482;0.433;0.5;0.695;0.668;0.972;0.646;0.646;0.617;0.595;0.638;0.668;0.615;0.777;0.806;0.803;0.803;0.803
transcript57_ENSMUGG00000013649;0.514;0.527;0.527;0.527;0.803;0.799;0.803;0.766;0.803;1.0;0.954;0.761;0.728;0.704;0.594;0.903;0.358;0.356;0.341;0.324;0.358;0.578;0.549;0.831;0.529;0.529;0.489;0.465;0.521;0.549;0.53;0.621;0.649;0.687;0.687;0.687
transcript57_ENSPEMG00000024651;0.488;0.5;0.5;0.5;0.767;0.764;0.767;0.796;0.767;0.954;1.0;0.732;0.757;0.675;0.615;0.862;0.343;0.341;0.352;0.312;0.343;0.546;0.567;0.793;0.503;0.503;0.465;0.48;0.496;0.567;0.502;0.642;0.624;0.655;0.655;0.655
transcript58_ENSMUGG00000013649;0.581;0.609;0.609;0.609;0.902;0.894;0.902;0.875;0.902;0.761;0.732;1.0;0.964;0.822;0.705;0.818;0.453;0.451;0.441;0.398;0.453;0.66;0.639;0.93;0.694;0.694;0.571;0.554;0.686;0.639;0.588;0.717;0.737;0.769;0.769;0.769
transcript58_ENSPEMG00000024651;0.56;0.587;0.587;0.587;0.871;0.864;0.871;0.905;0.871;0.728;0.757;0.964;1.0;0.798;0.726;0.786;0.443;0.441;0.454;0.39;0.443;0.633;0.657;0.897;0.665;0.665;0.552;0.57;0.658;0.657;0.564;0.739;0.717;0.741;0.741;0.741
transcript59_ENSMUGG00000013649;0.589;0.611;0.611;0.611;0.845;0.835;0.845;0.818;0.845;0.704;0.675;0.822;0.798;1.0;0.838;0.759;0.45;0.448;0.439;0.399;0.45;0.664;0.642;0.873;0.613;0.613;0.572;0.555;0.605;0.642;0.596;0.785;0.814;0.721;0.721;0.721
transcript59_ENSPEMG00000024651;0.676;0.696;0.696;0.696;0.721;0.713;0.721;0.745;0.721;0.594;0.615;0.705;0.726;0.838;1.0;0.644;0.549;0.547;0.564;0.503;0.549;0.743;0.772;0.744;0.699;0.699;0.66;0.682;0.692;0.772;0.681;0.934;0.905;0.798;0.798;0.798
transcript51_ENSMUGG00000013592;0.557;0.575;0.575;0.575;0.876;0.885;0.876;0.84;0.876;0.903;0.862;0.818;0.786;0.759;0.644;1.0;0.41;0.408;0.392;0.366;0.41;0.624;0.596;0.887;0.576;0.576;0.547;0.524;0.568;0.596;0.567;0.673;0.7;0.733;0.733;0.733
transcript8_ENSCGRG00000018457;0.778;0.798;0.798;0.798;0.5;0.496;0.5;0.486;0.5;0.358;0.343;0.453;0.443;0.45;0.549;0.41;1.0;0.997;0.964;0.876;1.0;0.753;0.736;0.498;0.698;0.698;0.72;0.704;0.704;0.736;0.676;0.538;0.546;0.671;0.671;0.671
transcript8_ENSCGRG00015005362;0.776;0.796;0.796;0.796;0.498;0.494;0.498;0.484;0.498;0.356;0.341;0.451;0.441;0.448;0.547;0.408;0.997;1.0;0.961;0.873;0.997;0.751;0.734;0.496;0.696;0.696;0.718;0.701;0.702;0.734;0.674;0.536;0.544;0.669;0.669;0.669
transcript8_ENSPEMG00000024651;0.75;0.77;0.77;0.77;0.482;0.478;0.482;0.498;0.482;0.341;0.352;0.441;0.454;0.439;0.564;0.392;0.964;0.961;1.0;0.85;0.964;0.726;0.757;0.481;0.678;0.678;0.698;0.724;0.684;0.757;0.656;0.551;0.536;0.647;0.647;0.647
transcript8_ENSNGAG00000018584;0.681;0.699;0.699;0.699;0.433;0.43;0.433;0.423;0.433;0.324;0.312;0.398;0.39;0.399;0.503;0.366;0.876;0.873;0.85;1.0;0.876;0.659;0.648;0.432;0.62;0.62;0.64;0.629;0.626;0.648;0.748;0.492;0.499;0.588;0.588;0.588
transcript8_ENSSTOG00000019743;0.778;0.798;0.798;0.798;0.5;0.496;0.5;0.486;0.5;0.358;0.343;0.453;0.443;0.45;0.549;0.41;1.0;0.997;0.964;0.876;1.0;0.753;0.736;0.498;0.698;0.698;0.72;0.704;0.704;0.736;0.676;0.538;0.546;0.671;0.671;0.671
transcript9_ENSCGRG00015005362;0.902;0.943;0.943;0.943;0.695;0.687;0.695;0.664;0.695;0.578;0.546;0.66;0.633;0.664;0.743;0.624;0.753;0.751;0.726;0.659;0.753;1.0;0.959;0.718;0.945;0.945;0.9;0.865;0.936;0.959;0.882;0.714;0.741;0.892;0.892;0.892
transcript9_ENSPEMG00000024651;0.871;0.909;0.909;0.909;0.668;0.66;0.668;0.689;0.668;0.549;0.567;0.639;0.657;0.642;0.772;0.596;0.736;0.734;0.757;0.648;0.736;0.959;1.0;0.689;0.912;0.912;0.871;0.902;0.904;1.0;0.849;0.741;0.722;0.855;0.855;0.855
transcript54_ENSCGRG00015005362;0.638;0.667;0.667;0.667;0.972;0.962;0.972;0.935;0.972;0.831;0.793;0.93;0.897;0.873;0.744;0.887;0.498;0.496;0.481;0.432;0.498;0.718;0.689;1.0;0.669;0.669;0.629;0.605;0.661;0.689;0.632;0.771;0.799;0.826;0.826;0.826
transcript52_ENSCGRG00000018457;0.847;0.888;0.888;0.888;0.646;0.638;0.646;0.621;0.646;0.529;0.503;0.694;0.665;0.613;0.699;0.576;0.698;0.696;0.678;0.62;0.698;0.945;0.912;0.669;1.0;1.0;0.845;0.818;0.99;0.912;0.844;0.672;0.692;0.843;0.843;0.843
transcript52_ENSCGRG00001010245;0.847;0.888;0.888;0.888;0.646;0.638;0.646;0.621;0.646;0.529;0.503;0.694;0.665;0.613;0.699;0.576;0.698;0.696;0.678;0.62;0.698;0.945;0.912;0.669;1.0;1.0;0.845;0.818;0.99;0.912;0.844;0.672;0.692;0.843;0.843;0.843
transcript56_ENSCGRG00000018457;0.876;0.918;0.918;0.918;0.617;0.61;0.617;0.594;0.617;0.489;0.465;0.571;0.552;0.572;0.66;0.547;0.72;0.718;0.698;0.64;0.72;0.9;0.871;0.629;0.845;0.845;1.0;0.961;0.836;0.871;0.8;0.634;0.652;0.803;0.803;0.803
transcript56_ENSPEMG00000024651;0.845;0.883;0.883;0.883;0.595;0.589;0.595;0.614;0.595;0.465;0.48;0.554;0.57;0.555;0.682;0.524;0.704;0.701;0.724;0.629;0.704;0.865;0.902;0.605;0.818;0.818;0.961;1.0;0.81;0.902;0.772;0.655;0.637;0.771;0.771;0.771
transcript65_ENSCGRG00000018457;0.839;0.879;0.879;0.879;0.638;0.63;0.638;0.614;0.638;0.521;0.496;0.686;0.658;0.605;0.692;0.568;0.704;0.702;0.684;0.626;0.704;0.936;0.904;0.661;0.99;0.99;0.836;0.81;1.0;0.904;0.838;0.664;0.684;0.834;0.834;0.834
transcript33_ENSPEMG00000024651;0.871;0.909;0.909;0.909;0.668;0.66;0.668;0.689;0.668;0.549;0.567;0.639;0.657;0.642;0.772;0.596;0.736;0.734;0.757;0.648;0.736;0.959;1.0;0.689;0.912;0.912;0.871;0.902;0.904;1.0;0.849;0.741;0.722;0.855;0.855;0.855
transcript33_ENSNGAG00000018584;0.792;0.829;0.829;0.829;0.615;0.608;0.615;0.588;0.615;0.53;0.502;0.588;0.564;0.596;0.681;0.567;0.676;0.674;0.656;0.748;0.676;0.882;0.849;0.632;0.844;0.844;0.8;0.772;0.838;0.849;1.0;0.657;0.681;0.786;0.786;0.786
transcript39_ENSPEMG00000024651;0.674;0.695;0.695;0.695;0.777;0.769;0.777;0.804;0.777;0.621;0.642;0.717;0.739;0.785;0.934;0.673;0.538;0.536;0.551;0.492;0.538;0.714;0.741;0.771;0.672;0.672;0.634;0.655;0.664;0.741;0.657;1.0;0.969;0.823;0.823;0.823
transcript39_ENSSTOG00000019743;0.696;0.718;0.718;0.718;0.806;0.797;0.806;0.781;0.806;0.649;0.624;0.737;0.717;0.814;0.905;0.7;0.546;0.544;0.536;0.499;0.546;0.741;0.722;0.799;0.692;0.692;0.652;0.637;0.684;0.722;0.681;0.969;1.0;0.849;0.849;0.849
transcript26_ENSSTOG00000019743;0.804;0.841;0.841;0.841;0.803;0.795;0.803;0.772;0.803;0.687;0.655;0.769;0.741;0.721;0.798;0.733;0.671;0.669;0.647;0.588;0.671;0.892;0.855;0.826;0.843;0.843;0.803;0.771;0.834;0.855;0.786;0.823;0.849;1.0;1.0;1.0
transcript29_ENSSTOG00000019743;0.804;0.841;0.841;0.841;0.803;0.795;0.803;0.772;0.803;0.687;0.655;0.769;0.741;0.721;0.798;0.733;0.671;0.669;0.647;0.588;0.671;0.892;0.855;0.826;0.843;0.843;0.803;0.771;0.834;0.855;0.786;0.823;0.849;1.0;1.0;1.0
transcript40_ENSSTOG00000019743;0.804;0.841;0.841;0.841;0.803;0.795;0.803;0.772;0.803;0.687;0.655;0.769;0.741;0.721;0.798;0.733;0.671;0.669;0.647;0.588;0.671;0.892;0.855;0.826;0.843;0.843;0.803;0.771;0.834;0.855;0.786;0.823;0.849;1.0;1.0;1.0
