;ENSCAFT00000047903_90_90;ENST00000341217_90_90;ENST00000452648_90_90;ENST00000577376_90_90;ENST00000577513_90_90;ENST00000577682_90_90;ENST00000579381_90_90;ENST00000581229_90_90;ENST00000581381_90_90;ENST00000581407_90_90;ENST00000582059_90_90;ENST00000582266_90_90;ENST00000583307_90_90;ENST00000583522_90_90;ENST00000583953_90_90;ENST00000584059_90_90;ENSMUST00000073705_90_90;ENSMUST00000100782_90_90;ENSMUST00000155571_90_90
ENSCAFT00000047903_90_90;1.0;0.571;1.0;0.714;0.571;0.143;0.143;0.571;0.143;1.0;0.143;0.143;0.857;0.143;0.143;0.286;1.0;0.5;1.0
ENST00000341217_90_90;0.571;1.0;0.5;0.25;0.125;0.0;0.0;0.125;0.0;0.5;0.0;0.0;0.375;0.0;0.0;0.0;0.571;1.0;0.571
ENST00000452648_90_90;1.0;0.5;1.0;0.75;0.625;0.222;0.182;0.625;0.222;1.0;0.222;0.222;0.875;0.222;0.222;0.375;1.0;0.571;1.0
ENST00000577376_90_90;0.714;0.25;0.75;1.0;0.833;0.286;0.222;0.833;0.286;0.75;0.286;0.286;0.857;0.286;0.286;0.5;0.714;0.286;0.714
ENST00000577513_90_90;0.571;0.125;0.625;0.833;1.0;0.333;0.25;1.0;0.333;0.625;0.333;0.333;0.714;0.333;0.333;0.6;0.571;0.143;0.571
ENST00000577682_90_90;0.143;0.0;0.222;0.286;0.333;1.0;0.6;0.333;1.0;0.222;1.0;1.0;0.25;1.0;1.0;0.5;0.143;0.0;0.143
ENST00000579381_90_90;0.143;0.0;0.182;0.222;0.25;0.6;1.0;0.25;0.6;0.182;0.6;0.6;0.2;0.6;0.6;0.333;0.143;0.0;0.143
ENST00000581229_90_90;0.571;0.125;0.625;0.833;1.0;0.333;0.25;1.0;0.333;0.625;0.333;0.333;0.714;0.333;0.333;0.6;0.571;0.143;0.571
ENST00000581381_90_90;0.143;0.0;0.222;0.286;0.333;1.0;0.6;0.333;1.0;0.222;1.0;1.0;0.25;1.0;1.0;0.5;0.143;0.0;0.143
ENST00000581407_90_90;1.0;0.5;1.0;0.75;0.625;0.222;0.182;0.625;0.222;1.0;0.222;0.222;0.875;0.222;0.222;0.375;1.0;0.571;1.0
ENST00000582059_90_90;0.143;0.0;0.222;0.286;0.333;1.0;0.6;0.333;1.0;0.222;1.0;1.0;0.25;1.0;1.0;0.5;0.143;0.0;0.143
ENST00000582266_90_90;0.143;0.0;0.222;0.286;0.333;1.0;0.6;0.333;1.0;0.222;1.0;1.0;0.25;1.0;1.0;0.5;0.143;0.0;0.143
ENST00000583307_90_90;0.857;0.375;0.875;0.857;0.714;0.25;0.2;0.714;0.25;0.875;0.25;0.25;1.0;0.25;0.25;0.429;0.857;0.429;0.857
ENST00000583522_90_90;0.143;0.0;0.222;0.286;0.333;1.0;0.6;0.333;1.0;0.222;1.0;1.0;0.25;1.0;1.0;0.5;0.143;0.0;0.143
ENST00000583953_90_90;0.143;0.0;0.222;0.286;0.333;1.0;0.6;0.333;1.0;0.222;1.0;1.0;0.25;1.0;1.0;0.5;0.143;0.0;0.143
ENST00000584059_90_90;0.286;0.0;0.375;0.5;0.6;0.5;0.333;0.6;0.5;0.375;0.5;0.5;0.429;0.5;0.5;1.0;0.286;0.0;0.286
ENSMUST00000073705_90_90;1.0;0.571;1.0;0.714;0.571;0.143;0.143;0.571;0.143;1.0;0.143;0.143;0.857;0.143;0.143;0.286;1.0;0.5;1.0
ENSMUST00000100782_90_90;0.5;1.0;0.571;0.286;0.143;0.0;0.0;0.143;0.0;0.571;0.0;0.0;0.429;0.0;0.0;0.0;0.5;1.0;0.5
ENSMUST00000155571_90_90;1.0;0.571;1.0;0.714;0.571;0.143;0.143;0.571;0.143;1.0;0.143;0.143;0.857;0.143;0.143;0.286;1.0;0.5;1.0
