id_transcript;block_sequence
ENSCAFT00000005580_90_90;48.49.50.51.53.54.55.56.57.58.59.60.61.62.63.64.65.66.67.68.69.70.71.72.73.74.75.76.77.78.80.81.82.83.84.85.86.87.88.89.90.91.92.94
ENSCAFT00000005583_90_90;48.49.50.51.53.54.55.56.57.58.59.60.61.62.63.64.65.66.67.68.69.70.71.72.73.74.75.76.77.78.80.81.82.83.84.85.86.87.88.89.90.91.92.93.94
ENST00000272238_90_90;0.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40.41.42.43.44.45.46.47.48.49.50.51.52.53
ENST00000381661_90_90;0.2.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40.41.42.43.44.45.46.47.48.49.50.51.52.53
ENST00000635370_90_90;0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40.41.42.43.44.45.46.47.48.49.50.51.52.53
ENSMUST00000020884_90_90;4.6.8.10.12.14.16.18.19.20.22.24.26.28.30.32.34.36.38.58.59.61.63.65.66.68.70.71.73.75.76.78.79.80.82.84.90.91.92.93.94
ENSMUST00000095820_90_90;4.6.8.10.12.14.16.18.19.20.22.24.26.28.30.32.34.36.38.58.59.61.63.65.66.68.70.76.78.79.80.82.84.90.91.92.93.94
ENSMUST00000127185_90_90;19.20.22.24.26.28.30.32.34.36.38.58.59.61.63.65
ENSMUST00000140751_90_90;4.6.8.10.12.14.16.18.19.20.22.24.26.28.30.32.34.36.38.58.59.61.63.65.66.68.70.76.78.79.80.82.84.85.87.89.90.91
ENSMUST00000143131_90_90;4.6.8.10.12.14.16.18.19.20.22.24.26.28.30.32.34.36.38.58
ENSMUST00000153090_90_90;4.6.8.10.12.14.16.18.19.20.22.24.26.28.30.32.34.36.38.58.59.61.63.65.66.68.70.76.78.79.80.82.84.90
ENSMUST00000156727_90_90;59.61.63.65.66.68.70.76.78.79.80.82.84.90.91.92.93.94
ENSMUST00000221129_90_90;4.6.8.10.12.14.16.18.19.20.22.24.26.28.30.32.34.36.38.58.59.61.63.65.66.68.70.76.78.79.80.82.84.90.91.92.94
ENSMUST00000222103_90_90;4.6.8.10.12.14.16.18.19.20.22.24.26.28.30.32.34.36.38.39.41.43.45.47.48.50.53.54.56
