;ENSCAFT00000005580_90_90;ENSCAFT00000005583_90_90;ENST00000272238_90_90;ENST00000381661_90_90;ENST00000635370_90_90;ENSMUST00000020884_90_90;ENSMUST00000095820_90_90;ENSMUST00000127185_90_90;ENSMUST00000140751_90_90;ENSMUST00000143131_90_90;ENSMUST00000153090_90_90;ENSMUST00000156727_90_90;ENSMUST00000221129_90_90;ENSMUST00000222103_90_90
ENSCAFT00000005580_90_90;1.0;0.935;0.508;0.508;0.508;0.685;0.623;0.112;0.462;0.023;0.329;0.653;0.668;0.104
ENSCAFT00000005583_90_90;0.935;1.0;0.507;0.508;0.507;0.75;0.689;0.107;0.437;0.022;0.313;0.726;0.623;0.099
ENST00000272238_90_90;0.508;0.507;1.0;0.786;0.979;0.405;0.406;0.288;0.442;0.484;0.457;0.0;0.41;0.699
ENST00000381661_90_90;0.508;0.508;0.786;1.0;0.77;0.214;0.215;0.338;0.234;0.258;0.243;0.0;0.217;0.474
ENST00000635370_90_90;0.508;0.507;0.979;0.77;1.0;0.404;0.405;0.285;0.44;0.479;0.454;0.0;0.41;0.693
ENSMUST00000020884_90_90;0.685;0.75;0.405;0.214;0.404;1.0;0.952;0.268;0.594;0.324;0.568;0.628;0.887;0.256
ENSMUST00000095820_90_90;0.623;0.689;0.406;0.215;0.405;0.952;1.0;0.285;0.627;0.345;0.605;0.655;0.933;0.269
ENSMUST00000127185_90_90;0.112;0.107;0.288;0.338;0.285;0.268;0.285;1.0;0.381;0.539;0.472;0.085;0.299;0.347
ENSMUST00000140751_90_90;0.462;0.437;0.442;0.234;0.44;0.594;0.627;0.381;1.0;0.45;0.806;0.303;0.661;0.345
ENSMUST00000143131_90_90;0.023;0.022;0.484;0.258;0.479;0.324;0.345;0.539;0.45;1.0;0.554;0.0;0.363;0.625
ENSMUST00000153090_90_90;0.329;0.313;0.457;0.243;0.454;0.568;0.605;0.472;0.806;0.554;1.0;0.26;0.636;0.408
ENSMUST00000156727_90_90;0.653;0.726;0.0;0.0;0.0;0.628;0.655;0.085;0.303;0.0;0.26;1.0;0.588;0.0
ENSMUST00000221129_90_90;0.668;0.623;0.41;0.217;0.41;0.887;0.933;0.299;0.661;0.363;0.636;0.588;1.0;0.281
ENSMUST00000222103_90_90;0.104;0.099;0.699;0.474;0.693;0.256;0.269;0.347;0.345;0.625;0.408;0.0;0.281;1.0
