;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237;transcript47_MGP-CAROLIEiJ-G0020234
transcript8_ENSMSIG00000000513;1.0;0.053;0.053;0.091;0.095;0.097;0.038;0.038;0.041;0.054;0.054;0.048;0.056;0.049
transcript49_ENSMSIG00000000513;0.053;1.0;0.961;0.628;0.598;0.599;0.692;0.686;0.743;0.558;0.561;0.601;0.649;0.589
transcript49_MGP-SPRETEiJ-G0021131;0.053;0.961;1.0;0.606;0.577;0.577;0.709;0.703;0.761;0.541;0.544;0.583;0.632;0.571
transcript60_ENSMSIG00000000513;0.091;0.628;0.606;1.0;0.962;0.946;0.567;0.511;0.546;0.526;0.529;0.553;0.61;0.552
transcript61_ENSMSIG00000000513;0.095;0.598;0.577;0.962;1.0;0.983;0.544;0.489;0.522;0.502;0.505;0.529;0.587;0.533
transcript62_ENSMSIG00000000513;0.097;0.599;0.577;0.946;0.983;1.0;0.534;0.489;0.522;0.491;0.495;0.524;0.577;0.528
transcript40_MGP-SPRETEiJ-G0021131;0.038;0.692;0.709;0.567;0.544;0.534;1.0;0.892;0.933;0.775;0.778;0.805;0.896;0.795
transcript65_MGP-SPRETEiJ-G0021131;0.038;0.686;0.703;0.511;0.489;0.489;0.892;1.0;0.926;0.691;0.694;0.731;0.803;0.721
transcript66_MGP-SPRETEiJ-G0021131;0.041;0.743;0.761;0.546;0.522;0.522;0.933;0.926;1.0;0.719;0.722;0.761;0.835;0.75
transcript7_ENSMUSG00000054036;0.054;0.558;0.541;0.526;0.502;0.491;0.775;0.691;0.719;1.0;0.996;0.742;0.812;0.743
transcript46_ENSMUSG00000054036;0.054;0.561;0.544;0.529;0.505;0.495;0.778;0.694;0.722;0.996;1.0;0.746;0.816;0.747
transcript38_MGP-CAROLIEiJ-G0020234;0.048;0.601;0.583;0.553;0.529;0.524;0.805;0.731;0.761;0.742;0.746;1.0;0.872;0.981
transcript38_MGP-PahariEiJ-G0020237;0.056;0.649;0.632;0.61;0.587;0.577;0.896;0.803;0.835;0.812;0.816;0.872;1.0;0.856
transcript47_MGP-CAROLIEiJ-G0020234;0.049;0.589;0.571;0.552;0.533;0.528;0.795;0.721;0.75;0.743;0.747;0.981;0.856;1.0
