;ENSCAFT00000020388_90_90;ENSCAFT00000043901_90_90;ENST00000256953_90_90;ENST00000393736_90_90;ENST00000536465_90_90;ENST00000537647_90_90;ENST00000538313_90_90;ENST00000545567_90_90;ENST00000546331_90_90;ENSMUST00000032347_90_90;ENSMUST00000117919_90_90;ENSMUST00000119610_90_90;ENSMUST00000149100_90_90;ENSMUST00000203003_90_90
ENSCAFT00000020388_90_90;1.0;0.657;0.501;0.501;0.501;0.501;0.501;0.0;0.501;0.501;0.501;0.501;0.502;0.0
ENSCAFT00000043901_90_90;0.657;1.0;0.501;0.501;0.501;0.501;0.501;0.0;0.501;0.501;0.501;0.501;0.502;0.0
ENST00000256953_90_90;0.501;0.501;1.0;0.291;1.0;0.524;1.0;0.514;0.814;0.557;0.557;0.587;0.481;0.217
ENST00000393736_90_90;0.501;0.501;0.291;1.0;0.291;0.51;0.291;0.186;0.139;0.189;0.189;0.193;0.468;0.0
ENST00000536465_90_90;0.501;0.501;1.0;0.291;1.0;0.524;1.0;0.514;0.814;0.557;0.557;0.587;0.481;0.217
ENST00000537647_90_90;0.501;0.501;0.524;0.51;0.524;1.0;0.524;0.462;0.347;0.133;0.133;0.137;0.899;0.0
ENST00000538313_90_90;0.501;0.501;1.0;0.291;1.0;0.524;1.0;0.514;0.814;0.557;0.557;0.587;0.481;0.217
ENST00000545567_90_90;0.0;0.0;0.514;0.186;0.514;0.462;0.514;1.0;0.342;0.115;0.115;0.12;0.445;0.215
ENST00000546331_90_90;0.501;0.501;0.814;0.139;0.814;0.347;0.814;0.342;1.0;0.663;0.663;0.697;0.335;0.261
ENSMUST00000032347_90_90;0.501;0.501;0.557;0.189;0.557;0.133;0.557;0.115;0.663;1.0;1.0;0.897;0.139;0.317
ENSMUST00000117919_90_90;0.501;0.501;0.557;0.189;0.557;0.133;0.557;0.115;0.663;1.0;1.0;0.897;0.139;0.317
ENSMUST00000119610_90_90;0.501;0.501;0.587;0.193;0.587;0.137;0.587;0.12;0.697;0.897;0.897;1.0;0.149;0.353
ENSMUST00000149100_90_90;0.502;0.502;0.481;0.468;0.481;0.899;0.481;0.445;0.335;0.139;0.139;0.149;1.0;0.0
ENSMUST00000203003_90_90;0.0;0.0;0.217;0.0;0.217;0.0;0.217;0.215;0.261;0.317;0.317;0.353;0.0;1.0
