;ENSCAFT00000002475_90_90;ENST00000341376_90_90;ENST00000353205_90_90;ENSMUST00000046719_90_90;ENSMUST00000078800_90_90;ENSMUST00000159063_90_90;ENSMUST00000159237_90_90;ENSMUST00000159535_90_90;ENSMUST00000160319_90_90;ENSMUST00000161117_90_90;ENSMUST00000161256_90_90;ENSMUST00000162460_90_90
ENSCAFT00000002475_90_90;1.0;0.965;0.79;0.903;0.87;0.665;0.459;0.55;0.832;0.608;0.504;0.736
ENST00000341376_90_90;0.965;1.0;0.825;0.935;0.903;0.698;0.445;0.583;0.865;0.589;0.49;0.769
ENST00000353205_90_90;0.79;0.825;1.0;0.769;0.791;0.822;0.528;0.51;0.698;0.538;0.58;0.914
ENSMUST00000046719_90_90;0.903;0.935;0.769;1.0;0.965;0.75;0.445;0.635;0.925;0.643;0.537;0.825
ENSMUST00000078800_90_90;0.87;0.903;0.791;0.965;1.0;0.772;0.459;0.657;0.89;0.666;0.555;0.853
ENSMUST00000159063_90_90;0.665;0.698;0.822;0.75;0.772;1.0;0.443;0.621;0.803;0.512;0.627;0.899
ENSMUST00000159237_90_90;0.459;0.445;0.528;0.445;0.459;0.443;1.0;0.189;0.378;0.351;0.668;0.528
ENSMUST00000159535_90_90;0.55;0.583;0.51;0.635;0.657;0.621;0.189;1.0;0.686;0.63;0.312;0.566
ENSMUST00000160319_90_90;0.832;0.865;0.698;0.925;0.89;0.803;0.378;0.686;1.0;0.567;0.514;0.75
ENSMUST00000161117_90_90;0.608;0.589;0.538;0.643;0.666;0.512;0.351;0.63;0.567;1.0;0.454;0.597
ENSMUST00000161256_90_90;0.504;0.49;0.58;0.537;0.555;0.627;0.668;0.312;0.514;0.454;1.0;0.65
ENSMUST00000162460_90_90;0.736;0.769;0.914;0.825;0.853;0.899;0.528;0.566;0.75;0.597;0.65;1.0
