;ENSCAFT00000022682_90_90;ENST00000389384_90_90;ENST00000454077_90_90;ENST00000587097_90_90;ENST00000589805_90_90;ENST00000590169_90_90;ENST00000590537_90_90;ENST00000591295_90_90;ENSMUST00000073234_90_90;ENSMUST00000107132_90_90;ENSMUST00000107134_90_90;ENSMUST00000137387_90_90;ENSMUST00000141516_90_90
ENSCAFT00000022682_90_90;1.0;0.923;0.8;0.846;0.231;0.308;0.077;0.429;0.923;0.8;0.923;0.733;0.846
ENST00000389384_90_90;0.923;1.0;0.857;0.917;0.25;0.333;0.083;0.462;1.0;0.857;1.0;0.786;0.769
ENST00000454077_90_90;0.8;0.857;1.0;0.786;0.214;0.286;0.071;0.4;0.857;0.867;0.857;0.8;0.667
ENST00000587097_90_90;0.846;0.917;0.786;1.0;0.273;0.364;0.091;0.385;0.917;0.786;0.917;0.714;0.692
ENST00000589805_90_90;0.231;0.25;0.214;0.273;1.0;0.75;0.0;0.0;0.25;0.214;0.25;0.143;0.077
ENST00000590169_90_90;0.308;0.333;0.286;0.364;0.75;1.0;0.0;0.0;0.333;0.286;0.333;0.214;0.154
ENST00000590537_90_90;0.077;0.083;0.071;0.091;0.0;0.0;1.0;0.143;0.083;0.071;0.083;0.077;0.091
ENST00000591295_90_90;0.429;0.462;0.4;0.385;0.0;0.0;0.143;1.0;0.462;0.4;0.462;0.429;0.5
ENSMUST00000073234_90_90;0.923;1.0;0.857;0.917;0.25;0.333;0.083;0.462;1.0;0.857;1.0;0.786;0.769
ENSMUST00000107132_90_90;0.8;0.857;0.867;0.786;0.214;0.286;0.071;0.4;0.857;1.0;0.857;0.929;0.667
ENSMUST00000107134_90_90;0.923;1.0;0.857;0.917;0.25;0.333;0.083;0.462;1.0;0.857;1.0;0.786;0.769
ENSMUST00000137387_90_90;0.733;0.786;0.8;0.714;0.143;0.214;0.077;0.429;0.786;0.929;0.786;1.0;0.714
ENSMUST00000141516_90_90;0.846;0.769;0.667;0.692;0.077;0.154;0.091;0.5;0.769;0.667;0.769;0.714;1.0
