;ENSCAFT00000044457_90_90;ENST00000295894_90_90;ENST00000450542_90_90;ENST00000460711_90_90;ENST00000465156_90_90;ENST00000468110_90_90;ENST00000472899_90_90;ENST00000478300_90_90;ENST00000479198_90_90;ENST00000498449_90_90;ENSMUST00000070323_90_90;ENSMUST00000112656_90_90;ENSMUST00000153954_90_90;ENSMUST00000223583_90_90
ENSCAFT00000044457_90_90;;0.754;0.026;0.81;0.608;0.275;0.259;0.694;0.558;0.302;0.719;0.746;0.506;0.794
ENST00000295894_90_90;0.754;;;;;;;;;;0.51;0.579;0.351;0.607
ENST00000450542_90_90;0.026;;;;;;;;;;0.028;0.028;0.035;0.074
ENST00000460711_90_90;0.81;;;;;;;;;;0.592;0.664;0.43;0.679
ENST00000465156_90_90;0.608;;;;;;;;;;0.379;0.437;0.406;0.483
ENST00000468110_90_90;0.275;;;;;;;;;;0.097;0.098;0.277;0.268
ENST00000472899_90_90;0.259;;;;;;;;;;0.147;0.188;0.374;0.189
ENST00000478300_90_90;0.694;;;;;;;;;;0.476;0.496;0.29;0.647
ENST00000479198_90_90;0.558;;;;;;;;;;0.345;0.396;0.393;0.444
ENST00000498449_90_90;0.302;;;;;;;;;;0.105;0.141;0.372;0.223
ENSMUST00000070323_90_90;0.719;0.51;0.028;0.592;0.379;0.097;0.147;0.476;0.345;0.105;;;;
ENSMUST00000112656_90_90;0.746;0.579;0.028;0.664;0.437;0.098;0.188;0.496;0.396;0.141;;;;
ENSMUST00000153954_90_90;0.506;0.351;0.035;0.43;0.406;0.277;0.374;0.29;0.393;0.372;;;;
ENSMUST00000223583_90_90;0.794;0.607;0.074;0.679;0.483;0.268;0.189;0.647;0.444;0.223;;;;
