;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.515;1.0;0.511;0.515;0.99;0.988;0.988;0.75;0.96;0.96;0.75;0.96;0.781;1.0;0.78;0.78;0.78;0.78;0.781;1.0
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.515;1.0;0.511;0.515;0.99;0.988;0.988;0.75;0.96;0.96;0.75;0.96;0.781;1.0;0.78;0.78;0.78;0.78;0.781;1.0
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.515;1.0;0.511;0.515;0.99;0.988;0.988;0.75;0.96;0.96;0.75;0.96;0.781;1.0;0.78;0.78;0.78;0.78;0.781;1.0
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.515;1.0;0.511;0.515;0.99;0.988;0.988;0.7;0.96;0.96;0.7;0.96;0.727;1.0;0.725;0.742;0.725;0.725;0.727;1.0
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.515;1.0;0.511;0.515;0.99;0.988;0.988;0.7;0.96;0.96;0.7;0.96;0.727;1.0;0.725;0.742;0.725;0.725;0.727;1.0
transcript11_ENSHGLG00000019563;0.515;0.515;0.515;0.515;0.515;1.0;0.515;0.875;1.0;0.502;0.518;0.518;0.199;0.527;0.527;0.199;0.527;0.188;0.516;0.189;0.205;0.189;0.189;0.188;0.515
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.515;1.0;0.511;0.515;0.99;0.988;0.988;0.7;0.96;0.96;0.7;0.96;0.727;1.0;0.725;0.742;0.725;0.725;0.727;1.0
transcript26_ENSHGLG00000019563;0.511;0.511;0.511;0.511;0.511;0.875;0.511;1.0;0.875;0.496;0.514;0.514;0.165;0.52;0.52;0.165;0.52;0.157;0.512;0.158;0.173;0.158;0.158;0.157;0.511
transcript27_ENSHGLG00000019563;0.515;0.515;0.515;0.515;0.515;1.0;0.515;0.875;1.0;0.502;0.518;0.518;0.199;0.527;0.527;0.199;0.527;0.188;0.516;0.189;0.205;0.189;0.189;0.188;0.515
transcript28_ENSHGLG00000019563;0.99;0.99;0.99;0.99;0.99;0.502;0.99;0.496;0.502;1.0;0.978;0.978;0.691;0.947;0.947;0.691;0.947;0.72;0.99;0.718;0.736;0.718;0.718;0.721;0.99
