;ENSCAFT00000015927_90_90;ENSCAFT00000024036_90_90;ENST00000304523_90_90;ENST00000441778_90_90;ENST00000502640_90_90;ENST00000506732_90_90;ENST00000507464_90_90;ENST00000508918_90_90;ENST00000512345_90_90;ENST00000515064_90_90;ENST00000361198_90_90;ENST00000425280_90_90;ENSMUST00000026252_90_90;ENSMUST00000056931_90_90;ENSMUST00000137771_90_90;ENSMUST00000152946_90_90;ENSMUST00000156585_90_90;ENSMUST00000185355_90_90;ENSMUST00000070748_90_90;ENSMUST00000199256_90_90;ENSMUST00000199261_90_90;ENSMUST00000199534_90_90
ENSCAFT00000015927_90_90;1.0;1.0;0.738;0.738;0.714;0.19;0.69;0.0;0.024;0.69;0.895;1.0;0.895;0.895;0.882;0.882;1.0;1.0;0.875;0.604;0.833;0.646
ENSCAFT00000024036_90_90;1.0;1.0;0.769;0.872;0.897;0.308;0.692;0.051;0.103;0.692;0.892;1.0;0.892;0.892;0.892;0.892;1.0;1.0;0.909;0.705;0.841;0.773
ENST00000304523_90_90;0.738;0.769;1.0;0.604;0.604;0.255;0.915;0.042;0.083;0.936;0.643;0.738;0.614;0.614;0.659;0.568;0.705;0.705;0.889;0.763;0.806;0.842
ENST00000441778_90_90;0.738;0.872;0.604;1.0;0.727;0.316;0.528;0.051;0.103;0.547;0.595;0.69;0.595;0.595;0.568;0.625;0.69;0.69;0.762;0.921;0.69;1.0
ENST00000502640_90_90;0.714;0.897;0.604;0.727;1.0;0.316;0.528;0.051;0.103;0.547;0.571;0.667;0.571;0.571;0.545;0.6;0.667;0.667;1.0;0.69;0.917;0.762
ENST00000506732_90_90;0.19;0.308;0.255;0.316;0.316;1.0;0.25;0.071;0.214;0.273;0.048;0.143;0.048;0.048;0.045;0.05;0.143;0.143;0.333;0.343;0.364;0.316
ENST00000507464_90_90;0.69;0.692;0.915;0.528;0.528;0.25;1.0;0.0;0.043;0.851;0.595;0.69;0.568;0.568;0.614;0.523;0.659;0.659;0.778;0.658;0.694;0.737
ENST00000508918_90_90;0.0;0.051;0.042;0.051;0.051;0.071;0.0;1.0;0.333;0.044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.056;0.057;0.061;0.053
ENST00000512345_90_90;0.024;0.103;0.083;0.103;0.103;0.214;0.043;0.333;1.0;0.089;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.111;0.114;0.121;0.105
ENST00000515064_90_90;0.69;0.692;0.936;0.547;0.547;0.273;0.851;0.044;0.089;1.0;0.595;0.69;0.568;0.568;0.614;0.523;0.659;0.659;0.806;0.829;0.879;0.763
ENST00000361198_90_90;0.895;0.892;0.643;0.595;0.571;0.048;0.595;0.0;0.0;0.595;1.0;0.887;1.0;1.0;0.972;0.972;0.887;0.887;0.783;0.5;0.739;0.543
ENST00000425280_90_90;1.0;1.0;0.738;0.69;0.667;0.143;0.69;0.0;0.0;0.69;0.887;1.0;0.887;0.887;0.863;0.863;1.0;1.0;0.87;0.587;0.826;0.63
ENSMUST00000026252_90_90;0.895;0.892;0.614;0.595;0.571;0.048;0.568;0.0;0.0;0.568;1.0;0.887;1.0;1.0;0.92;0.972;0.887;0.887;0.783;0.5;0.739;0.543
ENSMUST00000056931_90_90;0.895;0.892;0.614;0.595;0.571;0.048;0.568;0.0;0.0;0.568;1.0;0.887;1.0;1.0;0.92;0.972;0.887;0.887;0.783;0.5;0.739;0.543
ENSMUST00000137771_90_90;0.882;0.892;0.659;0.568;0.545;0.045;0.614;0.0;0.0;0.614;0.972;0.863;0.92;0.92;1.0;0.893;0.821;0.821;0.783;0.5;0.739;0.543
ENSMUST00000152946_90_90;0.882;0.892;0.568;0.625;0.6;0.05;0.523;0.0;0.0;0.523;0.972;0.863;0.972;0.972;0.893;1.0;0.863;0.863;0.783;0.5;0.739;0.543
ENSMUST00000156585_90_90;1.0;1.0;0.705;0.69;0.667;0.143;0.659;0.0;0.0;0.659;0.887;1.0;0.887;0.887;0.821;0.863;1.0;1.0;0.87;0.587;0.826;0.63
ENSMUST00000185355_90_90;1.0;1.0;0.705;0.69;0.667;0.143;0.659;0.0;0.0;0.659;0.887;1.0;0.887;0.887;0.821;0.863;1.0;1.0;0.87;0.587;0.826;0.63
ENSMUST00000070748_90_90;0.875;0.909;0.889;0.762;1.0;0.333;0.778;0.056;0.111;0.806;0.783;0.87;0.783;0.783;0.783;0.783;0.87;0.87;1.0;0.492;0.943;0.542
ENSMUST00000199256_90_90;0.604;0.705;0.763;0.921;0.69;0.343;0.658;0.057;0.114;0.829;0.5;0.587;0.5;0.5;0.5;0.5;0.587;0.587;0.492;1.0;0.518;0.921
ENSMUST00000199261_90_90;0.833;0.841;0.806;0.69;0.917;0.364;0.694;0.061;0.121;0.879;0.739;0.826;0.739;0.739;0.739;0.739;0.826;0.826;0.943;0.518;1.0;0.492
ENSMUST00000199534_90_90;0.646;0.773;0.842;1.0;0.762;0.316;0.737;0.053;0.105;0.763;0.543;0.63;0.543;0.543;0.543;0.543;0.63;0.63;0.542;0.921;0.492;1.0
