;ENSCAFT00000016185_90_90;ENST00000617070_90_90;ENST00000617991_90_90;ENST00000622969_90_90;ENST00000623597_90_90;ENST00000623893_90_90;ENSMUST00000064664_90_90;ENSMUST00000064679_90_90;ENSMUST00000129905_90_90;ENSMUST00000136247_90_90
ENSCAFT00000016185_90_90;1.0;1.0;1.0;0.357;1.0;0.811;0.705;0.935;0.275;0.505
ENST00000617070_90_90;1.0;1.0;1.0;0.288;1.0;0.811;0.671;0.89;0.26;0.451
ENST00000617991_90_90;1.0;1.0;1.0;0.288;1.0;0.811;0.671;0.89;0.26;0.451
ENST00000622969_90_90;0.357;0.288;0.288;1.0;0.288;0.134;0.18;0.381;0.0;0.407
ENST00000623597_90_90;1.0;1.0;1.0;0.288;1.0;0.811;0.671;0.89;0.26;0.451
ENST00000623893_90_90;0.811;0.811;0.811;0.134;0.811;1.0;0.865;0.671;0.332;0.248
ENSMUST00000064664_90_90;0.705;0.671;0.671;0.18;0.671;0.865;1.0;0.794;0.52;0.231
ENSMUST00000064679_90_90;0.935;0.89;0.89;0.381;0.89;0.671;0.794;1.0;0.413;0.417
ENSMUST00000129905_90_90;0.275;0.26;0.26;0.0;0.26;0.332;0.52;0.413;1.0;0.354
ENSMUST00000136247_90_90;0.505;0.451;0.451;0.407;0.451;0.248;0.231;0.417;0.354;1.0
