;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript19_ENSMUNG00000007775;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript19_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.333;0.333;0.167;0.333;0.333;0.333;0.333;0.333;0.5;0.625;0.625
transcript7_ENSMUNG00000007775;0.333;1.0;1.0;0.667;1.0;1.0;1.0;1.0;1.0;0.25;0.375;0.375
transcript19_ENSMUNG00000007775;0.333;1.0;1.0;0.667;1.0;1.0;1.0;1.0;1.0;0.25;0.375;0.375
transcript22_ENSMUNG00000007775;0.167;0.667;0.667;1.0;0.667;0.667;0.667;0.667;0.667;0.286;0.25;0.25
transcript23_ENSMUNG00000007775;0.333;1.0;1.0;0.667;1.0;1.0;1.0;1.0;1.0;0.25;0.375;0.375
transcript7_ENSMUNG00000002377;0.333;1.0;1.0;0.667;1.0;1.0;1.0;1.0;1.0;0.25;0.375;0.375
transcript19_ENSMUNG00000002377;0.333;1.0;1.0;0.667;1.0;1.0;1.0;1.0;1.0;0.25;0.375;0.375
transcript27_ENSMUNG00000002377;0.333;1.0;1.0;0.667;1.0;1.0;1.0;1.0;1.0;0.25;0.375;0.375
transcript28_ENSMUNG00000002377;0.333;1.0;1.0;0.667;1.0;1.0;1.0;1.0;1.0;0.25;0.375;0.375
transcript7_ENSMUNG00000002391;0.5;0.25;0.25;0.286;0.25;0.25;0.25;0.25;0.25;1.0;0.875;0.875
transcript3_ENSPNYG00000024266;0.625;0.375;0.375;0.25;0.375;0.375;0.375;0.375;0.375;0.875;1.0;1.0
transcript3_ENSXMAG00000026005;0.625;0.375;0.375;0.25;0.375;0.375;0.375;0.375;0.375;0.875;1.0;1.0
