;ENSCAFT00000001398_90_90;ENSCAFT00000001399_90_90;ENSCAFT00000001401_90_90;ENST00000378735_90_90;ENST00000378746_90_90;ENST00000403231_90_90;ENST00000428744_90_90;ENST00000450441_90_90;ENST00000618515_90_90;ENSMUST00000057330_90_90;ENSMUST00000118353_90_90;ENSMUST00000120613_90_90;ENSMUST00000130037_90_90;ENSMUST00000132496_90_90;ENSMUST00000132653_90_90;ENSMUST00000173744_90_90
ENSCAFT00000001398_90_90;1.0;0.96;0.612;0.964;0.96;0.995;0.232;0.256;0.994;0.959;0.996;0.963;0.256;0.245;0.032;0.953
ENSCAFT00000001399_90_90;0.96;1.0;0.634;0.99;0.994;0.957;0.24;0.265;0.956;0.993;0.956;0.989;0.265;0.253;0.033;0.979
ENSCAFT00000001401_90_90;0.612;0.634;1.0;0.631;0.634;0.61;0.372;0.0;0.609;0.632;0.609;0.629;0.0;0.392;0.052;0.62
ENST00000378735_90_90;0.964;0.99;0.631;1.0;0.996;0.967;0.239;0.264;0.966;0.993;0.965;0.998;0.264;0.254;0.033;0.988
ENST00000378746_90_90;0.96;0.994;0.634;0.996;1.0;0.963;0.24;0.265;0.961;0.998;0.961;0.993;0.265;0.255;0.033;0.983
ENST00000403231_90_90;0.995;0.957;0.61;0.967;0.963;1.0;0.231;0.255;0.995;0.961;0.996;0.965;0.255;0.246;0.032;0.955
ENST00000428744_90_90;0.232;0.24;0.372;0.239;0.24;0.231;1.0;0.0;0.231;0.24;0.231;0.239;0.0;0.937;0.137;0.242
ENST00000450441_90_90;0.256;0.265;0.0;0.264;0.265;0.255;0.0;1.0;0.255;0.265;0.255;0.264;1.0;0.0;0.0;0.267
ENST00000618515_90_90;0.994;0.956;0.609;0.966;0.961;0.995;0.231;0.255;1.0;0.959;0.994;0.963;0.255;0.246;0.032;0.954
ENSMUST00000057330_90_90;0.959;0.993;0.632;0.993;0.998;0.961;0.24;0.265;0.959;1.0;0.963;0.996;0.265;0.255;0.033;0.986
ENSMUST00000118353_90_90;0.996;0.956;0.609;0.965;0.961;0.996;0.231;0.255;0.994;0.963;1.0;0.967;0.255;0.246;0.032;0.957
ENSMUST00000120613_90_90;0.963;0.989;0.629;0.998;0.993;0.965;0.239;0.264;0.963;0.996;0.967;1.0;0.264;0.254;0.033;0.99
ENSMUST00000130037_90_90;0.256;0.265;0.0;0.264;0.265;0.255;0.0;1.0;0.255;0.265;0.255;0.264;1.0;0.0;0.0;0.267
ENSMUST00000132496_90_90;0.245;0.253;0.392;0.254;0.255;0.246;0.937;0.0;0.246;0.255;0.246;0.254;0.0;1.0;0.13;0.257
ENSMUST00000132653_90_90;0.032;0.033;0.052;0.033;0.033;0.032;0.137;0.0;0.032;0.033;0.032;0.033;0.0;0.13;1.0;0.034
ENSMUST00000173744_90_90;0.953;0.979;0.62;0.988;0.983;0.955;0.242;0.267;0.954;0.986;0.957;0.99;0.267;0.257;0.034;1.0
