;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.331;1.0;0.257;0.331;0.99;0.889;0.889;0.394;0.707;0.707;0.408;0.707;0.62;0.585;0.588;0.599;0.6;0.606;0.623;0.623
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.331;1.0;0.257;0.331;0.99;0.889;0.889;0.394;0.707;0.707;0.408;0.707;0.62;0.585;0.588;0.599;0.6;0.606;0.623;0.623
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.331;1.0;0.257;0.331;0.99;0.889;0.889;0.394;0.707;0.707;0.408;0.707;0.62;0.585;0.588;0.599;0.6;0.606;0.623;0.623
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.331;1.0;0.257;0.331;0.99;0.889;0.889;0.394;0.707;0.707;0.408;0.707;0.62;0.585;0.588;0.599;0.6;0.606;0.623;0.623
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.331;1.0;0.257;0.331;0.99;0.889;0.889;0.394;0.707;0.707;0.408;0.707;0.62;0.585;0.588;0.599;0.6;0.606;0.623;0.623
transcript11_ENSHGLG00000019563;0.331;0.331;0.331;0.331;0.331;1.0;0.331;0.764;1.0;0.321;0.348;0.348;0.123;0.398;0.398;0.134;0.398;0.108;0.11;0.111;0.116;0.117;0.12;0.108;0.108
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.331;1.0;0.257;0.331;0.99;0.889;0.889;0.394;0.707;0.707;0.408;0.707;0.62;0.585;0.588;0.599;0.6;0.606;0.623;0.623
transcript26_ENSHGLG00000019563;0.257;0.257;0.257;0.257;0.257;0.764;0.257;1.0;0.764;0.247;0.271;0.271;0.095;0.308;0.308;0.104;0.308;0.084;0.085;0.086;0.089;0.09;0.093;0.084;0.084
transcript27_ENSHGLG00000019563;0.331;0.331;0.331;0.331;0.331;1.0;0.331;0.764;1.0;0.321;0.348;0.348;0.123;0.398;0.398;0.134;0.398;0.108;0.11;0.111;0.116;0.117;0.12;0.108;0.108
transcript28_ENSHGLG00000019563;0.99;0.99;0.99;0.99;0.99;0.321;0.99;0.247;0.321;1.0;0.88;0.88;0.389;0.697;0.697;0.403;0.697;0.614;0.579;0.583;0.593;0.595;0.6;0.618;0.618
transcript7_ENSHGLG00100006079;0.889;0.889;0.889;0.889;0.889;0.348;0.889;0.271;0.348;0.88;1.0;1.0;0.379;0.696;0.696;0.394;0.696;0.529;0.507;0.51;0.52;0.521;0.527;0.533;0.533
transcript10_ENSHGLG00100006079;0.889;0.889;0.889;0.889;0.889;0.348;0.889;0.271;0.348;0.88;1.0;1.0;0.379;0.696;0.696;0.394;0.696;0.529;0.507;0.51;0.52;0.521;0.527;0.533;0.533
transcript3_ENSPCIG00000036398;0.394;0.394;0.394;0.394;0.394;0.123;0.394;0.095;0.123;0.389;0.379;0.379;1.0;0.589;0.589;0.947;0.589;0.766;0.742;0.738;0.71;0.706;0.689;0.77;0.77
transcript7_ENSPCIG00000036398;0.707;0.707;0.707;0.707;0.707;0.398;0.707;0.308;0.398;0.697;0.696;0.696;0.589;1.0;1.0;0.609;1.0;0.39;0.365;0.368;0.376;0.377;0.383;0.394;0.394
transcript8_ENSPCIG00000036398;0.707;0.707;0.707;0.707;0.707;0.398;0.707;0.308;0.398;0.697;0.696;0.696;0.589;1.0;1.0;0.609;1.0;0.39;0.365;0.368;0.376;0.377;0.383;0.394;0.394
transcript15_ENSPCIG00000036398;0.408;0.408;0.408;0.408;0.408;0.134;0.408;0.104;0.134;0.403;0.394;0.394;0.947;0.609;0.609;1.0;0.609;0.716;0.694;0.689;0.661;0.657;0.733;0.721;0.721
transcript18_ENSPCIG00000036398;0.707;0.707;0.707;0.707;0.707;0.398;0.707;0.308;0.398;0.697;0.696;0.696;0.589;1.0;1.0;0.609;1.0;0.39;0.365;0.368;0.376;0.377;0.383;0.394;0.394
transcript3_ENSMUNG00000007775;0.62;0.62;0.62;0.62;0.62;0.108;0.62;0.084;0.108;0.614;0.529;0.529;0.766;0.39;0.39;0.716;0.39;1.0;0.957;0.951;0.923;0.92;0.903;0.996;0.996
transcript8_ENSMUNG00000002377;0.585;0.585;0.585;0.585;0.585;0.11;0.585;0.085;0.11;0.579;0.507;0.507;0.742;0.365;0.365;0.694;0.365;0.957;1.0;0.994;0.966;0.962;0.945;0.961;0.961
transcript15_ENSMUNG00000002377;0.588;0.588;0.588;0.588;0.588;0.111;0.588;0.086;0.111;0.583;0.51;0.51;0.738;0.368;0.368;0.689;0.368;0.951;0.994;1.0;0.972;0.968;0.951;0.956;0.956
transcript16_ENSMUNG00000002377;0.599;0.599;0.599;0.599;0.599;0.116;0.599;0.089;0.116;0.593;0.52;0.52;0.71;0.376;0.376;0.661;0.376;0.923;0.966;0.972;1.0;0.94;0.922;0.927;0.927
transcript22_ENSMUNG00000002377;0.6;0.6;0.6;0.6;0.6;0.117;0.6;0.09;0.117;0.595;0.521;0.521;0.706;0.377;0.377;0.657;0.377;0.92;0.962;0.968;0.94;1.0;0.918;0.923;0.923
transcript23_ENSMUNG00000002377;0.606;0.606;0.606;0.606;0.606;0.12;0.606;0.093;0.12;0.6;0.527;0.527;0.689;0.383;0.383;0.733;0.383;0.903;0.945;0.951;0.922;0.918;1.0;0.906;0.906
transcript3_ENSMUNG00000002391;0.623;0.623;0.623;0.623;0.623;0.108;0.623;0.084;0.108;0.618;0.533;0.533;0.77;0.394;0.394;0.721;0.394;0.996;0.961;0.956;0.927;0.923;0.906;1.0;1.0
transcript10_ENSMUNG00000002391;0.623;0.623;0.623;0.623;0.623;0.108;0.623;0.084;0.108;0.618;0.533;0.533;0.77;0.394;0.394;0.721;0.394;0.996;0.961;0.956;0.927;0.923;0.906;1.0;1.0
