id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156|1.0&transcript20_ENSHGLG00100003156|1.0;transcript8_ENSHGLG00000019563|1.0&transcript7_ENSPCIG00000036398|0.707&transcript8_ENSPCIG00000036398|0.707;transcript10_ENSHGLG00100006079|0.889;0
transcript10_ENSHGLG00100003156;transcript8_ENSHGLG00100003156|1.0&transcript20_ENSHGLG00100003156|1.0;transcript8_ENSHGLG00000019563|1.0&transcript18_ENSPCIG00000036398|0.707&transcript3_ENSMUNG00000007775|0.62;transcript7_ENSHGLG00100006079|0.889;0
transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00100003156|1.0&transcript10_ENSHGLG00100003156|1.0;transcript8_ENSHGLG00000019563|1.0&transcript10_ENSHGLG00000019563|1.0&transcript13_ENSHGLG00000019563|1.0&transcript18_ENSPCIG00000036398|0.707&transcript3_ENSMUNG00000007775|0.62;transcript7_ENSHGLG00100006079|0.889;0
transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563|1.0&transcript13_ENSHGLG00000019563|1.0;transcript8_ENSHGLG00100003156|1.0&transcript10_ENSHGLG00100003156|1.0&transcript20_ENSHGLG00100003156|1.0&transcript23_ENSMUNG00000002377|0.606&transcript3_ENSMUNG00000002391|0.623&transcript10_ENSMUNG00000002391|0.623;transcript10_ENSHGLG00100006079|0.889;0
transcript10_ENSHGLG00000019563;transcript8_ENSHGLG00000019563|1.0&transcript13_ENSHGLG00000019563|1.0;transcript20_ENSHGLG00100003156|1.0;null;0
transcript13_ENSHGLG00000019563;transcript8_ENSHGLG00000019563|1.0&transcript10_ENSHGLG00000019563|1.0;transcript20_ENSHGLG00100003156|1.0&transcript3_ENSMUNG00000007775|0.62&transcript3_ENSMUNG00000002391|0.623;null;0
transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079|1.0;transcript23_ENSMUNG00000002377|0.527&transcript3_ENSMUNG00000002391|0.533&transcript10_ENSMUNG00000002391|0.533;transcript10_ENSHGLG00100003156|0.889&transcript20_ENSHGLG00100003156|0.889;0
transcript10_ENSHGLG00100006079;transcript7_ENSHGLG00100006079|1.0;transcript18_ENSPCIG00000036398|0.696&transcript3_ENSMUNG00000007775|0.529;transcript8_ENSHGLG00100003156|0.889&transcript8_ENSHGLG00000019563|0.889;0
transcript3_ENSPCIG00000036398;transcript15_ENSPCIG00000036398|0.947;transcript3_ENSMUNG00000002391|0.77&transcript10_ENSMUNG00000002391|0.77;null;0
transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398|1.0&transcript18_ENSPCIG00000036398|1.0;transcript8_ENSHGLG00100003156|0.707;null;0
transcript8_ENSPCIG00000036398;transcript7_ENSPCIG00000036398|1.0&transcript18_ENSPCIG00000036398|1.0;transcript8_ENSHGLG00100003156|0.707;null;0
transcript15_ENSPCIG00000036398;transcript3_ENSPCIG00000036398|0.947;transcript23_ENSMUNG00000002377|0.733;null;0
transcript18_ENSPCIG00000036398;transcript7_ENSPCIG00000036398|1.0&transcript8_ENSPCIG00000036398|1.0;transcript10_ENSHGLG00100003156|0.707&transcript20_ENSHGLG00100003156|0.707&transcript10_ENSHGLG00100006079|0.696;null;0
transcript3_ENSMUNG00000007775;null;transcript10_ENSHGLG00100003156|0.62&transcript20_ENSHGLG00100003156|0.62&transcript13_ENSHGLG00000019563|0.62&transcript10_ENSHGLG00100006079|0.529;transcript3_ENSMUNG00000002391|0.996&transcript10_ENSMUNG00000002391|0.996;0
transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377|0.994;null;transcript3_ENSMUNG00000002391|0.961&transcript10_ENSMUNG00000002391|0.961;0
transcript15_ENSMUNG00000002377;transcript8_ENSMUNG00000002377|0.994;null;null;0
transcript23_ENSMUNG00000002377;null;transcript8_ENSHGLG00000019563|0.606&transcript7_ENSHGLG00100006079|0.527&transcript15_ENSPCIG00000036398|0.733;null;0
transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391|1.0;transcript8_ENSHGLG00000019563|0.623&transcript13_ENSHGLG00000019563|0.623&transcript7_ENSHGLG00100006079|0.533&transcript3_ENSPCIG00000036398|0.77;transcript3_ENSMUNG00000007775|0.996&transcript8_ENSMUNG00000002377|0.961;0
transcript10_ENSMUNG00000002391;transcript3_ENSMUNG00000002391|1.0;transcript8_ENSHGLG00000019563|0.623&transcript7_ENSHGLG00100006079|0.533&transcript3_ENSPCIG00000036398|0.77;transcript3_ENSMUNG00000007775|0.996&transcript8_ENSMUNG00000002377|0.961;0
transcript27_ENSHGLG00000019563;transcript11_ENSHGLG00000019563|1.0;null;null;1
transcript11_ENSHGLG00000019563;transcript27_ENSHGLG00000019563|1.0;null;null;1
transcript26_ENSHGLG00000019563;null;null;null;2
transcript28_ENSHGLG00000019563;null;null;null;3
transcript16_ENSMUNG00000002377;null;null;null;4
transcript22_ENSMUNG00000002377;null;null;null;5
