;ENSCAFT00000048678_90_90;ENST00000222597_90_90;ENST00000415884_90_90;ENST00000420796_90_90;ENST00000432748_90_90;ENST00000440859_90_90;ENSMUST00000064240_90_90;ENSMUST00000085487_90_90;ENSMUST00000101499_90_90;ENSMUST00000185739_90_90;ENSMUST00000188326_90_90
ENSCAFT00000048678_90_90;1.0;0.91;0.301;0.622;0.144;0.941;0.934;0.861;1.0;0.968;0.557
ENST00000222597_90_90;0.91;1.0;0.311;0.64;0.185;0.968;0.902;0.775;0.91;0.937;0.573
ENST00000415884_90_90;0.301;0.311;1.0;0.348;0.483;0.345;0.278;0.348;0.301;0.271;0.377
ENST00000420796_90_90;0.622;0.64;0.348;1.0;0.129;0.672;0.607;0.552;0.622;0.592;0.449
ENST00000432748_90_90;0.144;0.185;0.483;0.129;1.0;0.178;0.116;0.165;0.144;0.148;0.184
ENST00000440859_90_90;0.941;0.968;0.345;0.672;0.178;1.0;0.934;0.805;0.941;0.91;0.557
ENSMUST00000064240_90_90;0.934;0.902;0.278;0.607;0.116;0.934;1.0;0.795;0.934;0.902;0.59
ENSMUST00000085487_90_90;0.861;0.775;0.348;0.552;0.165;0.805;0.795;1.0;0.861;0.829;0.649
ENSMUST00000101499_90_90;1.0;0.91;0.301;0.622;0.144;0.941;0.934;0.861;1.0;0.968;0.557
ENSMUST00000185739_90_90;0.968;0.937;0.271;0.592;0.148;0.91;0.902;0.829;0.968;1.0;0.573
ENSMUST00000188326_90_90;0.557;0.573;0.377;0.449;0.184;0.557;0.59;0.649;0.557;0.573;1.0
