;ENSCAFT00000014468_90_90;ENST00000312055_90_90;ENST00000354558_90_90;ENST00000525896_90_90;ENST00000526496_90_90;ENST00000526876_90_90;ENST00000527333_90_90;ENST00000529230_90_90;ENSMUST00000046769_90_90;ENSMUST00000099716_90_90;ENSMUST00000111337_90_90;ENSMUST00000111338_90_90
ENSCAFT00000014468_90_90;1.0;0.867;0.867;0.2;0.067;0.4;0.333;1.0;0.938;1.0;0.875;1.0
ENST00000312055_90_90;0.867;1.0;1.0;0.267;0.071;0.235;0.25;0.875;0.8;0.867;1.0;0.867
ENST00000354558_90_90;0.867;1.0;1.0;0.267;0.071;0.235;0.25;0.875;0.8;0.867;1.0;0.867
ENST00000525896_90_90;0.2;0.267;0.267;1.0;0.0;0.0;0.0;0.235;0.133;0.2;0.231;0.2
ENST00000526496_90_90;0.067;0.071;0.071;0.0;1.0;0.0;0.0;0.062;0.071;0.067;0.077;0.067
ENST00000526876_90_90;0.4;0.235;0.235;0.0;0.0;1.0;0.625;0.353;0.429;0.4;0.267;0.4
ENST00000527333_90_90;0.333;0.25;0.25;0.0;0.0;0.625;1.0;0.294;0.357;0.333;0.286;0.333
ENST00000529230_90_90;1.0;0.875;0.875;0.235;0.062;0.353;0.294;1.0;0.933;1.0;0.867;1.0
ENSMUST00000046769_90_90;0.938;0.8;0.8;0.133;0.071;0.429;0.357;0.933;1.0;0.938;0.812;0.938
ENSMUST00000099716_90_90;1.0;0.867;0.867;0.2;0.067;0.4;0.333;1.0;0.938;1.0;0.875;1.0
ENSMUST00000111337_90_90;0.875;1.0;1.0;0.231;0.077;0.267;0.286;0.867;0.812;0.875;1.0;0.875
ENSMUST00000111338_90_90;1.0;0.867;0.867;0.2;0.067;0.4;0.333;1.0;0.938;1.0;0.875;1.0
