;ENSCAFT00000017209_90_90;ENST00000357258_90_90;ENST00000393785_90_90;ENST00000462705_90_90;ENST00000464560_90_90;ENST00000470311_90_90;ENST00000471418_90_90;ENST00000474710_90_90;ENST00000481632_90_90;ENST00000482689_90_90;ENSMUST00000079441_90_90;ENSMUST00000114690_90_90;ENSMUST00000114691_90_90;ENSMUST00000114694_90_90;ENSMUST00000114695_90_90;ENSMUST00000123047_90_90;ENSMUST00000126100_90_90;ENSMUST00000146708_90_90;ENSMUST00000148775_90_90;ENSMUST00000151244_90_90;ENSMUST00000156367_90_90;ENSMUST00000156981_90_90
ENSCAFT00000017209_90_90;1.0;0.901;0.901;0.901;0.901;0.078;0.901;1.0;0.901;0.026;1.0;0.901;0.901;1.0;1.0;0.0;0.004;0.102;0.081;0.074;0.176;0.187
ENST00000357258_90_90;0.901;1.0;1.0;1.0;1.0;0.086;1.0;0.901;1.0;0.0;0.901;1.0;1.0;0.901;0.901;0.0;0.0;0.113;0.09;0.0;0.078;0.208
ENST00000393785_90_90;0.901;1.0;1.0;1.0;1.0;0.086;1.0;0.901;1.0;0.0;0.901;1.0;1.0;0.901;0.901;0.0;0.0;0.113;0.09;0.0;0.078;0.208
ENST00000462705_90_90;0.901;1.0;1.0;1.0;1.0;0.086;1.0;0.901;1.0;0.0;0.901;1.0;1.0;0.901;0.901;0.0;0.0;0.113;0.09;0.0;0.078;0.208
ENST00000464560_90_90;0.901;1.0;1.0;1.0;1.0;0.086;1.0;0.901;1.0;0.0;0.901;1.0;1.0;0.901;0.901;0.0;0.0;0.113;0.09;0.0;0.078;0.208
ENST00000470311_90_90;0.078;0.086;0.086;0.086;0.086;1.0;0.086;0.078;0.086;0.0;0.078;0.086;0.086;0.078;0.078;0.0;0.0;0.762;0.956;0.0;0.44;0.416
ENST00000471418_90_90;0.901;1.0;1.0;1.0;1.0;0.086;1.0;0.901;1.0;0.0;0.901;1.0;1.0;0.901;0.901;0.0;0.0;0.113;0.09;0.0;0.078;0.208
ENST00000474710_90_90;1.0;0.901;0.901;0.901;0.901;0.078;0.901;1.0;0.901;0.026;1.0;0.901;0.901;1.0;1.0;0.0;0.005;0.102;0.081;0.074;0.177;0.187
ENST00000481632_90_90;0.901;1.0;1.0;1.0;1.0;0.086;1.0;0.901;1.0;0.0;0.901;1.0;1.0;0.901;0.901;0.0;0.0;0.113;0.09;0.0;0.078;0.208
ENST00000482689_90_90;0.026;0.0;0.0;0.0;0.0;0.0;0.0;0.026;0.0;1.0;0.026;0.0;0.0;0.026;0.026;0.0;0.19;0.0;0.0;0.245;0.148;0.0
ENSMUST00000079441_90_90;1.0;0.901;0.901;0.901;0.901;0.078;0.901;1.0;0.901;0.026;1.0;0.901;0.901;1.0;1.0;0.0;0.005;0.102;0.081;0.073;0.177;0.187
ENSMUST00000114690_90_90;0.901;1.0;1.0;1.0;1.0;0.086;1.0;0.901;1.0;0.0;0.901;1.0;1.0;0.901;0.901;0.0;0.0;0.113;0.09;0.0;0.078;0.208
ENSMUST00000114691_90_90;0.901;1.0;1.0;1.0;1.0;0.086;1.0;0.901;1.0;0.0;0.901;1.0;1.0;0.901;0.901;0.0;0.0;0.113;0.09;0.0;0.078;0.208
ENSMUST00000114694_90_90;1.0;0.901;0.901;0.901;0.901;0.078;0.901;1.0;0.901;0.026;1.0;0.901;0.901;1.0;1.0;0.0;0.005;0.102;0.081;0.073;0.177;0.187
ENSMUST00000114695_90_90;1.0;0.901;0.901;0.901;0.901;0.078;0.901;1.0;0.901;0.026;1.0;0.901;0.901;1.0;1.0;0.0;0.005;0.102;0.081;0.073;0.177;0.187
ENSMUST00000123047_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.052;0.0;0.0
ENSMUST00000126100_90_90;0.004;0.0;0.0;0.0;0.0;0.0;0.0;0.005;0.0;0.19;0.005;0.0;0.0;0.005;0.005;0.0;1.0;0.0;0.0;0.0;0.028;0.0
ENSMUST00000146708_90_90;0.102;0.113;0.113;0.113;0.113;0.762;0.113;0.102;0.113;0.0;0.102;0.113;0.113;0.102;0.102;0.0;0.0;1.0;0.797;0.0;0.39;0.546
ENSMUST00000148775_90_90;0.081;0.09;0.09;0.09;0.09;0.956;0.09;0.081;0.09;0.0;0.081;0.09;0.09;0.081;0.081;0.0;0.0;0.797;1.0;0.0;0.435;0.435
ENSMUST00000151244_90_90;0.074;0.0;0.0;0.0;0.0;0.0;0.0;0.074;0.0;0.245;0.073;0.0;0.0;0.073;0.073;0.052;0.0;0.0;0.0;1.0;0.394;0.0
ENSMUST00000156367_90_90;0.176;0.078;0.078;0.078;0.078;0.44;0.078;0.177;0.078;0.148;0.177;0.078;0.078;0.177;0.177;0.0;0.028;0.39;0.435;0.394;1.0;0.274
ENSMUST00000156981_90_90;0.187;0.208;0.208;0.208;0.208;0.416;0.208;0.187;0.208;0.0;0.187;0.208;0.208;0.187;0.187;0.0;0.0;0.546;0.435;0.0;0.274;1.0
