;ENSCAFT00000020369_90_90;ENST00000281171_90_90;ENST00000348962_90_90;ENST00000442921_90_90;ENST00000445537_90_90;ENST00000535311_90_90;ENST00000535322_90_90;ENST00000542557_90_90;ENST00000543886_90_90;ENST00000544244_90_90;ENSMUST00000077115_90_90;ENSMUST00000167002_90_90;ENSMUST00000167679_90_90;ENSMUST00000203914_90_90
ENSCAFT00000020369_90_90;1.0;1.0;0.953;0.452;0.452;0.107;0.083;0.404;0.387;0.404;1.0;0.467;0.955;0.421
ENST00000281171_90_90;1.0;1.0;0.958;0.448;0.448;0.099;0.106;0.405;0.36;0.405;1.0;0.452;0.953;0.405
ENST00000348962_90_90;0.953;0.958;1.0;0.405;0.405;0.104;0.111;0.425;0.373;0.425;0.953;0.405;1.0;0.427
ENST00000442921_90_90;0.452;0.448;0.405;1.0;1.0;0.063;0.242;0.91;0.039;0.91;0.452;0.999;0.404;0.902
ENST00000445537_90_90;0.452;0.448;0.405;1.0;1.0;0.063;0.242;0.91;0.039;0.91;0.452;0.999;0.404;0.902
ENST00000535311_90_90;0.107;0.099;0.104;0.063;0.063;1.0;0.0;0.07;0.0;0.07;0.107;0.069;0.114;0.076
ENST00000535322_90_90;0.083;0.106;0.111;0.242;0.242;0.0;1.0;0.265;0.0;0.265;0.083;0.204;0.087;0.224
ENST00000542557_90_90;0.404;0.405;0.425;0.91;0.91;0.07;0.265;1.0;0.042;1.0;0.404;0.902;0.427;0.999
ENST00000543886_90_90;0.387;0.36;0.373;0.039;0.039;0.0;0.0;0.042;1.0;0.042;0.387;0.046;0.403;0.051
ENST00000544244_90_90;0.404;0.405;0.425;0.91;0.91;0.07;0.265;1.0;0.042;1.0;0.404;0.902;0.427;0.999
ENSMUST00000077115_90_90;1.0;1.0;0.953;0.452;0.452;0.107;0.083;0.404;0.387;0.404;1.0;0.415;0.96;0.376
ENSMUST00000167002_90_90;0.467;0.452;0.405;0.999;0.999;0.069;0.204;0.902;0.046;0.902;0.415;1.0;0.376;0.91
ENSMUST00000167679_90_90;0.955;0.953;1.0;0.404;0.404;0.114;0.087;0.427;0.403;0.427;0.96;0.376;1.0;0.393
ENSMUST00000203914_90_90;0.421;0.405;0.427;0.902;0.902;0.076;0.224;0.999;0.051;0.999;0.376;0.91;0.393;1.0
