;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript18_hsap;transcript19_hsap;transcript20_hsap;transcript21_hsap;transcript11_ggor;transcript12_ggor;transcript16_ggor;transcript17_ggor;transcript18_ggor;transcript19_ggor;transcript8_pabe
transcript12_ppan;1.0;0.935;0.826;1.0;1.0;0.889;0.933;0.778;1.0;0.907;0.93;0.907;0.907;0.86;0.86;1.0
transcript19_ppan;0.935;1.0;0.884;0.933;0.933;0.822;1.0;0.833;0.933;0.86;0.929;0.86;0.86;0.814;0.902;0.933
transcript20_ppan;0.826;0.884;1.0;0.822;0.822;0.711;0.881;0.946;0.822;0.786;0.81;0.786;0.786;0.738;0.872;0.822
transcript12_ptro;1.0;0.933;0.822;1.0;1.0;0.886;0.932;0.773;1.0;0.905;0.929;0.905;0.905;0.857;0.857;1.0
transcript12_hsap;1.0;0.933;0.822;1.0;1.0;0.662;0.938;0.792;0.593;0.633;0.929;0.559;0.559;0.621;0.857;0.577
transcript18_hsap;0.889;0.822;0.711;0.886;0.662;1.0;0.615;0.556;0.741;0.738;0.618;0.676;0.676;0.789;0.564;0.731
transcript19_hsap;0.933;1.0;0.881;0.932;0.938;0.615;1.0;0.844;0.556;0.6;0.927;0.529;0.529;0.586;0.9;0.538
transcript20_hsap;0.778;0.833;0.946;0.773;0.792;0.556;0.844;1.0;0.469;0.508;0.756;0.448;0.448;0.518;0.816;0.449
transcript21_hsap;1.0;0.933;0.822;1.0;0.593;0.741;0.556;0.469;1.0;0.824;0.574;0.941;0.941;0.765;0.529;1.0
transcript11_ggor;0.907;0.86;0.786;0.905;0.633;0.738;0.6;0.508;0.824;1.0;0.585;0.884;0.884;0.918;0.587;0.843
transcript12_ggor;0.93;0.929;0.81;0.929;0.929;0.618;0.927;0.756;0.574;0.585;1.0;0.521;0.521;0.581;0.884;0.557
transcript16_ggor;0.907;0.86;0.786;0.905;0.559;0.676;0.529;0.448;0.941;0.884;0.521;1.0;1.0;0.812;0.521;0.957
transcript17_ggor;0.907;0.86;0.786;0.905;0.559;0.676;0.529;0.448;0.941;0.884;0.521;1.0;1.0;0.812;0.521;0.957
transcript18_ggor;0.86;0.814;0.738;0.857;0.621;0.789;0.586;0.518;0.765;0.918;0.581;0.812;0.812;1.0;0.583;0.771
transcript19_ggor;0.86;0.902;0.872;0.857;0.857;0.564;0.9;0.816;0.529;0.587;0.884;0.521;0.521;0.583;1.0;0.514
transcript8_pabe;1.0;0.933;0.822;1.0;0.577;0.731;0.538;0.449;1.0;0.843;0.557;0.957;0.957;0.771;0.514;1.0
