;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;1.0;0.745;0.578;0.765;0.767;0.965;0.772;0.772;0.98;0.965;0.395;0.948;0.997;0.247;0.266;0.239;0.756;0.257;0.583;0.757;0.987;0.767;0.97;0.982;0.999
ENSCAFT00000048577_90_90;0.745;1.0;0.488;0.621;0.971;0.732;0.579;0.579;0.759;0.732;0.327;0.746;0.745;0.195;0.221;0.198;0.985;0.213;0.481;0.986;0.753;0.972;0.767;0.759;0.745
ENSCAFT00000049950_90_90;0.578;0.488;1.0;0.751;0.485;0.56;0.429;0.429;0.568;0.56;0.662;0.551;0.578;0.3;0.447;0.401;0.478;0.431;0.293;0.479;0.587;0.486;0.577;0.569;0.579
ENST00000314177_90_90;0.765;0.621;0.751;1.0;0.643;0.734;0.538;0.538;0.753;0.734;0.513;0.721;0.766;0.325;0.348;0.312;0.633;0.298;0.409;0.632;0.751;0.642;0.738;0.752;0.766
ENST00000338564_90_90;0.767;0.971;0.485;0.643;1.0;0.741;0.584;0.584;0.757;0.741;0.33;0.731;0.768;0.209;0.223;0.201;0.985;0.2;0.482;0.985;0.756;0.999;0.745;0.757;0.767
ENST00000340545_90_90;0.965;0.732;0.56;0.734;0.741;1.0;0.797;0.797;0.95;1.0;0.407;0.982;0.967;0.216;0.276;0.248;0.731;0.242;0.593;0.731;0.969;0.741;0.952;0.948;0.965
ENST00000397620_90_90;0.772;0.579;0.429;0.538;0.584;0.797;1.0;1.0;0.757;0.797;0.513;0.783;0.771;0.042;0.343;0.308;0.575;0.295;0.736;0.577;0.776;0.586;0.762;0.759;0.772
ENST00000397624_90_90;0.772;0.579;0.429;0.538;0.584;0.797;1.0;1.0;0.757;0.797;0.513;0.783;0.771;0.042;0.343;0.308;0.575;0.295;0.736;0.577;0.776;0.586;0.762;0.759;0.772
ENST00000424352_90_90;0.98;0.759;0.568;0.753;0.757;0.95;0.757;0.757;1.0;0.95;0.387;0.968;0.983;0.244;0.262;0.235;0.771;0.231;0.564;0.771;0.965;0.757;0.983;0.998;0.981
ENST00000557796_90_90;0.965;0.732;0.56;0.734;0.741;1.0;0.797;0.797;0.95;1.0;0.407;0.982;0.967;0.216;0.276;0.248;0.731;0.242;0.593;0.731;0.969;0.741;0.952;0.948;0.965
ENST00000558313_90_90;0.395;0.327;0.662;0.513;0.33;0.407;0.513;0.513;0.387;0.407;1.0;0.4;0.394;0.068;0.607;0.601;0.325;0.473;0.338;0.326;0.397;0.331;0.39;0.388;0.395
ENST00000559085_90_90;0.948;0.746;0.551;0.721;0.731;0.982;0.783;0.783;0.968;0.982;0.4;1.0;0.95;0.212;0.271;0.243;0.745;0.238;0.583;0.745;0.952;0.731;0.97;0.966;0.948
ENST00000559561_90_90;0.997;0.745;0.578;0.766;0.768;0.967;0.771;0.771;0.983;0.967;0.394;0.95;1.0;0.249;0.266;0.239;0.757;0.235;0.574;0.757;0.982;0.768;0.965;0.981;0.998
ENST00000560570_90_90;0.247;0.195;0.3;0.325;0.209;0.216;0.042;0.042;0.244;0.216;0.068;0.212;0.249;1.0;0.0;0.0;0.205;0.0;0.0;0.205;0.236;0.208;0.232;0.244;0.248
ENST00000560617_90_90;0.266;0.221;0.447;0.348;0.223;0.276;0.343;0.343;0.262;0.276;0.607;0.271;0.266;0.0;1.0;0.898;0.22;0.706;0.447;0.22;0.268;0.223;0.263;0.262;0.266
ENST00000560697_90_90;0.239;0.198;0.401;0.312;0.201;0.248;0.308;0.308;0.235;0.248;0.601;0.243;0.239;0.0;0.898;1.0;0.198;0.632;0.401;0.198;0.24;0.201;0.236;0.235;0.239
ENST00000561208_90_90;0.756;0.985;0.478;0.633;0.985;0.731;0.575;0.575;0.771;0.731;0.325;0.745;0.757;0.205;0.22;0.198;1.0;0.197;0.475;0.999;0.745;0.985;0.759;0.771;0.757
ENST00000606653_90_90;0.257;0.213;0.431;0.298;0.2;0.242;0.295;0.295;0.231;0.242;0.473;0.238;0.235;0.0;0.706;0.632;0.197;1.0;0.372;0.212;0.258;0.216;0.254;0.253;0.257
ENST00000607277_90_90;0.583;0.481;0.293;0.409;0.482;0.593;0.736;0.736;0.564;0.593;0.338;0.583;0.574;0.0;0.447;0.401;0.475;0.372;1.0;0.48;0.585;0.488;0.575;0.573;0.583
ENSMUST00000028639_90_90;0.757;0.986;0.479;0.632;0.985;0.731;0.577;0.577;0.771;0.731;0.326;0.745;0.757;0.205;0.22;0.198;0.999;0.212;0.48;1.0;0.745;0.985;0.759;0.771;0.757
ENSMUST00000074285_90_90;0.987;0.753;0.587;0.751;0.756;0.969;0.776;0.776;0.965;0.969;0.397;0.952;0.982;0.236;0.268;0.24;0.745;0.258;0.585;0.745;1.0;0.755;0.983;0.965;0.982
ENSMUST00000102538_90_90;0.767;0.972;0.486;0.642;0.999;0.741;0.586;0.586;0.757;0.741;0.331;0.731;0.768;0.208;0.223;0.201;0.985;0.216;0.488;0.985;0.755;1.0;0.745;0.757;0.768
ENSMUST00000110906_90_90;0.97;0.767;0.577;0.738;0.745;0.952;0.762;0.762;0.983;0.952;0.39;0.97;0.965;0.232;0.263;0.236;0.759;0.254;0.575;0.759;0.983;0.745;1.0;0.983;0.965
ENSMUST00000110907_90_90;0.982;0.759;0.569;0.752;0.757;0.948;0.759;0.759;0.998;0.948;0.388;0.966;0.981;0.244;0.262;0.235;0.771;0.253;0.573;0.771;0.965;0.757;0.983;1.0;0.983
ENSMUST00000110908_90_90;0.999;0.745;0.579;0.766;0.767;0.965;0.772;0.772;0.981;0.965;0.395;0.948;0.998;0.248;0.266;0.239;0.757;0.257;0.583;0.757;0.982;0.768;0.965;0.983;1.0
