;ENSCAFT00000031718_90_90;ENSCAFT00000036937_90_90;ENST00000258180_90_90;ENST00000538274_90_90;ENST00000562564_90_90;ENST00000562580_90_90;ENST00000566428_90_90;ENST00000567328_90_90;ENSMUST00000034281_90_90;ENSMUST00000108948_90_90;ENSMUST00000108950_90_90;ENSMUST00000108951_90_90;ENSMUST00000132229_90_90;ENSMUST00000153725_90_90
ENSCAFT00000031718_90_90;1.0;0.9;1.0;0.9;0.2;0.7;1.0;0.7;1.0;0.667;1.0;0.889;0.111;0.333
ENSCAFT00000036937_90_90;0.9;1.0;0.9;1.0;0.222;0.778;0.9;0.778;0.889;0.75;0.889;1.0;0.125;0.375
ENST00000258180_90_90;1.0;0.9;1.0;0.909;0.182;0.727;1.0;0.667;1.0;0.6;1.0;0.889;0.111;0.333
ENST00000538274_90_90;0.9;1.0;0.909;1.0;0.2;0.8;0.909;0.727;0.889;0.667;0.889;1.0;0.125;0.375
ENST00000562564_90_90;0.2;0.222;0.182;0.2;1.0;0.25;0.182;0.1;0.222;0.125;0.222;0.25;0.0;0.0
ENST00000562580_90_90;0.7;0.778;0.727;0.8;0.25;1.0;0.727;0.545;0.667;0.444;0.667;0.75;0.0;0.125
ENST00000566428_90_90;1.0;0.9;1.0;0.909;0.182;0.727;1.0;0.667;1.0;0.6;1.0;0.889;0.111;0.333
ENST00000567328_90_90;0.7;0.778;0.667;0.727;0.1;0.545;0.667;1.0;0.6;1.0;0.6;0.667;0.143;0.429
ENSMUST00000034281_90_90;1.0;0.889;1.0;0.889;0.222;0.667;1.0;0.6;1.0;0.6;1.0;0.889;0.111;0.333
ENSMUST00000108948_90_90;0.667;0.75;0.6;0.667;0.125;0.444;0.6;1.0;0.6;1.0;0.6;0.667;0.143;0.429
ENSMUST00000108950_90_90;1.0;0.889;1.0;0.889;0.222;0.667;1.0;0.6;1.0;0.6;1.0;0.889;0.111;0.333
ENSMUST00000108951_90_90;0.889;1.0;0.889;1.0;0.25;0.75;0.889;0.667;0.889;0.667;0.889;1.0;0.125;0.375
ENSMUST00000132229_90_90;0.111;0.125;0.111;0.125;0.0;0.0;0.111;0.143;0.111;0.143;0.111;0.125;1.0;0.333
ENSMUST00000153725_90_90;0.333;0.375;0.333;0.375;0.0;0.125;0.333;0.429;0.333;0.429;0.333;0.375;0.333;1.0
