;ENSCAFT00000016458_90_90;ENSCAFT00000047049_90_90;ENST00000257118_90_90;ENST00000373418_90_90;ENST00000373422_90_90;ENST00000431992_90_90;ENSMUST00000030588_90_90;ENSMUST00000106079_90_90;ENSMUST00000106080_90_90;ENSMUST00000120946_90_90;ENSMUST00000133439_90_90;ENSMUST00000134421_90_90;ENSMUST00000136377_90_90;ENSMUST00000138445_90_90;ENSMUST00000143632_90_90;ENSMUST00000147572_90_90
ENSCAFT00000016458_90_90;1.0;0.963;0.759;0.308;0.444;0.821;0.645;0.308;0.645;0.077;0.154;0.231;0.138;0.115;0.115;0.269
ENSCAFT00000047049_90_90;0.963;1.0;0.793;0.296;0.429;0.793;0.677;0.296;0.677;0.074;0.148;0.222;0.172;0.111;0.111;0.259
ENST00000257118_90_90;0.759;0.793;1.0;0.32;0.462;0.923;0.786;0.32;0.786;0.08;0.16;0.24;0.231;0.12;0.12;0.28
ENST00000373418_90_90;0.308;0.296;0.32;1.0;0.615;0.32;0.32;1.0;0.32;0.25;0.5;0.75;0.0;0.375;0.375;0.875
ENST00000373422_90_90;0.444;0.429;0.462;0.615;1.0;0.52;0.52;0.615;0.52;0.154;0.308;0.462;0.0;0.231;0.231;0.538
ENST00000431992_90_90;0.821;0.793;0.923;0.32;0.52;1.0;0.786;0.32;0.786;0.08;0.16;0.24;0.185;0.12;0.12;0.28
ENSMUST00000030588_90_90;0.645;0.677;0.786;0.32;0.52;0.786;1.0;0.32;1.0;0.08;0.16;0.24;0.28;0.12;0.12;0.28
ENSMUST00000106079_90_90;0.308;0.296;0.32;1.0;0.615;0.32;0.32;1.0;0.32;0.25;0.5;0.75;0.0;0.375;0.375;0.875
ENSMUST00000106080_90_90;0.645;0.677;0.786;0.32;0.52;0.786;1.0;0.32;1.0;0.08;0.16;0.24;0.28;0.12;0.12;0.28
ENSMUST00000120946_90_90;0.077;0.074;0.08;0.25;0.154;0.08;0.08;0.25;0.08;1.0;0.5;0.333;0.0;0.25;0.25;0.286
ENSMUST00000133439_90_90;0.154;0.148;0.16;0.5;0.308;0.16;0.16;0.5;0.16;0.5;1.0;0.667;0.0;0.4;0.4;0.571
ENSMUST00000134421_90_90;0.231;0.222;0.24;0.75;0.462;0.24;0.24;0.75;0.24;0.333;0.667;1.0;0.0;0.5;0.5;0.857
ENSMUST00000136377_90_90;0.138;0.172;0.231;0.0;0.0;0.185;0.28;0.0;0.28;0.0;0.0;0.0;1.0;0.0;0.0;0.0
ENSMUST00000138445_90_90;0.115;0.111;0.12;0.375;0.231;0.12;0.12;0.375;0.12;0.25;0.4;0.5;0.0;1.0;1.0;0.429
ENSMUST00000143632_90_90;0.115;0.111;0.12;0.375;0.231;0.12;0.12;0.375;0.12;0.25;0.4;0.5;0.0;1.0;1.0;0.429
ENSMUST00000147572_90_90;0.269;0.259;0.28;0.875;0.538;0.28;0.28;0.875;0.28;0.286;0.571;0.857;0.0;0.429;0.429;1.0
