;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;1.0;0.571;0.556;0.492;0.571;0.238;0.366;0.29;0.365;0.606;0.545;0.535;0.606;0.535;0.049;0.049;0.171;0.143;0.167
ENST00000290246_90_90;0.571;1.0;0.983;0.914;1.0;0.131;0.259;0.672;0.746;0.732;0.288;0.277;0.732;0.277;0.034;0.034;0.121;0.102;0.048
ENST00000352077_90_90;0.556;0.983;1.0;0.897;0.983;0.133;0.241;0.684;0.759;0.718;0.273;0.262;0.718;0.262;0.035;0.035;0.123;0.103;0.048
ENST00000372176_90_90;0.492;0.914;0.897;1.0;0.914;0.143;0.172;0.736;0.815;0.662;0.212;0.2;0.662;0.2;0.0;0.0;0.034;0.111;0.052
ENST00000396391_90_90;0.571;1.0;0.983;0.914;1.0;0.131;0.259;0.672;0.746;0.732;0.288;0.277;0.732;0.277;0.034;0.034;0.121;0.102;0.048
ENST00000425546_90_90;0.238;0.131;0.133;0.143;0.131;1.0;0.238;0.02;0.098;0.134;0.357;0.333;0.134;0.333;0.0;0.0;0.0;0.2;0.267
ENST00000450812_90_90;0.366;0.259;0.241;0.172;0.259;0.238;1.0;0.0;0.034;0.212;0.556;0.538;0.212;0.538;0.133;0.133;0.467;0.375;0.0
ENST00000452857_90_90;0.29;0.672;0.684;0.736;0.672;0.02;0.0;1.0;0.826;0.486;0.031;0.032;0.486;0.032;0.0;0.0;0.0;0.0;0.044
ENST00000467800_90_90;0.365;0.746;0.759;0.815;0.746;0.098;0.034;0.826;1.0;0.571;0.091;0.094;0.571;0.094;0.0;0.0;0.0;0.02;0.06
ENSMUST00000071699_90_90;0.606;0.732;0.718;0.662;0.732;0.134;0.212;0.486;0.571;1.0;0.353;0.364;1.0;0.364;0.031;0.031;0.108;0.108;0.106
ENSMUST00000074046_90_90;0.545;0.288;0.273;0.212;0.288;0.357;0.556;0.031;0.091;0.353;1.0;0.926;0.353;0.926;0.074;0.074;0.259;0.259;0.296
ENSMUST00000094329_90_90;0.535;0.277;0.262;0.2;0.277;0.333;0.538;0.032;0.094;0.364;0.926;1.0;0.364;1.0;0.08;0.08;0.28;0.28;0.32
ENSMUST00000103088_90_90;0.606;0.732;0.718;0.662;0.732;0.134;0.212;0.486;0.571;1.0;0.353;0.364;1.0;0.364;0.031;0.031;0.108;0.108;0.106
ENSMUST00000103091_90_90;0.535;0.277;0.262;0.2;0.277;0.333;0.538;0.032;0.094;0.364;0.926;1.0;0.364;1.0;0.08;0.08;0.28;0.28;0.32
ENSMUST00000126318_90_90;0.049;0.034;0.035;0.0;0.034;0.0;0.133;0.0;0.0;0.031;0.074;0.08;0.031;0.08;1.0;0.333;0.286;0.0;0.0
ENSMUST00000128690_90_90;0.049;0.034;0.035;0.0;0.034;0.0;0.133;0.0;0.0;0.031;0.074;0.08;0.031;0.08;0.333;1.0;0.286;0.0;0.0
ENSMUST00000133205_90_90;0.171;0.121;0.123;0.034;0.121;0.0;0.467;0.0;0.0;0.108;0.259;0.28;0.108;0.28;0.286;0.286;1.0;0.077;0.0
ENSMUST00000137188_90_90;0.143;0.102;0.103;0.111;0.102;0.2;0.375;0.0;0.02;0.108;0.259;0.28;0.108;0.28;0.0;0.0;0.077;1.0;0.0
ENSMUST00000148643_90_90;0.167;0.048;0.048;0.052;0.048;0.267;0.0;0.044;0.06;0.106;0.296;0.32;0.106;0.32;0.0;0.0;0.0;0.0;1.0
