;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.922;0.916;0.801;0.914;0.778;1.0;0.903;1.0;0.962;0.871;0.898;0.815;0.797;0.749;0.89;0.888;0.863;0.914;0.778;0.998
transcript21_ENSMUNG00000007775;0.922;1.0;0.994;0.879;0.992;0.856;0.922;0.981;0.922;0.887;0.946;0.976;0.891;0.873;0.825;0.968;0.966;0.939;0.992;0.856;0.92
transcript23_ENSMUNG00000007775;0.916;0.994;1.0;0.873;0.998;0.861;0.916;0.975;0.916;0.893;0.952;0.982;0.896;0.878;0.83;0.974;0.972;0.933;0.998;0.861;0.914
transcript25_ENSMUNG00000007775;0.801;0.879;0.873;1.0;0.872;0.735;0.801;0.86;0.801;0.767;0.829;0.855;0.774;0.756;0.708;0.847;0.846;0.822;0.872;0.735;0.8
transcript26_ENSMUNG00000007775;0.914;0.992;0.998;0.872;1.0;0.863;0.914;0.973;0.914;0.891;0.95;0.98;0.894;0.877;0.828;0.972;0.97;0.931;0.997;0.863;0.912
transcript30_ENSMUNG00000007775;0.778;0.856;0.861;0.735;0.863;1.0;0.778;0.837;0.778;0.771;0.834;0.861;0.778;0.76;0.955;0.853;0.851;0.799;0.86;1.0;0.776
transcript31_ENSMUNG00000007775;1.0;0.922;0.916;0.801;0.914;0.778;1.0;0.903;1.0;0.962;0.871;0.898;0.815;0.797;0.749;0.89;0.888;0.863;0.914;0.778;0.998
transcript32_ENSMUNG00000007775;0.903;0.981;0.975;0.86;0.973;0.837;0.903;1.0;0.903;0.868;0.928;0.957;0.872;0.855;0.806;0.949;0.951;0.92;0.973;0.837;0.901
transcript33_ENSMUNG00000007775;1.0;0.922;0.916;0.801;0.914;0.778;1.0;0.903;1.0;0.962;0.871;0.898;0.815;0.797;0.749;0.89;0.888;0.863;0.914;0.778;0.998
transcript9_ENSMUNG00000002377;0.962;0.887;0.893;0.767;0.891;0.771;0.962;0.868;0.962;1.0;0.881;0.91;0.844;0.826;0.754;0.902;0.9;0.833;0.895;0.771;0.964
transcript13_ENSMUNG00000002377;0.871;0.946;0.952;0.829;0.95;0.834;0.871;0.928;0.871;0.881;1.0;0.969;0.943;0.925;0.873;0.961;0.96;0.949;0.954;0.834;0.872
transcript23_ENSMUNG00000002377;0.898;0.976;0.982;0.855;0.98;0.861;0.898;0.957;0.898;0.91;0.969;1.0;0.912;0.894;0.842;0.992;0.99;0.918;0.983;0.861;0.899
transcript27_ENSMUNG00000002377;0.815;0.891;0.896;0.774;0.894;0.778;0.815;0.872;0.815;0.844;0.943;0.912;1.0;0.981;0.816;0.905;0.903;0.893;0.898;0.778;0.817
transcript35_ENSMUNG00000002377;0.797;0.873;0.878;0.756;0.877;0.76;0.797;0.855;0.797;0.826;0.925;0.894;0.981;1.0;0.798;0.887;0.885;0.876;0.88;0.76;0.799
transcript36_ENSMUNG00000002377;0.749;0.825;0.83;0.708;0.828;0.955;0.749;0.806;0.749;0.754;0.873;0.842;0.816;0.798;1.0;0.834;0.832;0.824;0.828;0.955;0.748
transcript37_ENSMUNG00000002377;0.89;0.968;0.974;0.847;0.972;0.853;0.89;0.949;0.89;0.902;0.961;0.992;0.905;0.887;0.834;1.0;0.998;0.911;0.976;0.853;0.892
transcript38_ENSMUNG00000002377;0.888;0.966;0.972;0.846;0.97;0.851;0.888;0.951;0.888;0.9;0.96;0.99;0.903;0.885;0.832;0.998;1.0;0.909;0.974;0.851;0.89
transcript10_ENSMUNG00000002391;0.863;0.939;0.933;0.822;0.931;0.799;0.863;0.92;0.863;0.833;0.949;0.918;0.893;0.876;0.824;0.911;0.909;1.0;0.934;0.799;0.865
transcript23_ENSMUNG00000002391;0.914;0.992;0.998;0.872;0.997;0.86;0.914;0.973;0.914;0.895;0.954;0.983;0.898;0.88;0.828;0.976;0.974;0.934;1.0;0.86;0.916
transcript30_ENSMUNG00000002391;0.778;0.856;0.861;0.735;0.863;1.0;0.778;0.837;0.778;0.771;0.834;0.861;0.778;0.76;0.955;0.853;0.851;0.799;0.86;1.0;0.776
transcript33_ENSMUNG00000002391;0.998;0.92;0.914;0.8;0.912;0.776;0.998;0.901;0.998;0.964;0.872;0.899;0.817;0.799;0.748;0.892;0.89;0.865;0.916;0.776;1.0
