;ENSCAFT00000039408_90_90;ENST00000246194_90_90;ENST00000333552_90_90;ENST00000375114_90_90;ENST00000413297_90_90;ENST00000442805_90_90;ENST00000448364_90_90;ENSMUST00000029120_90_90;ENSMUST00000058089_90_90;ENSMUST00000109701_90_90;ENSMUST00000116389_90_90;ENSMUST00000125872_90_90;ENSMUST00000129137_90_90;ENSMUST00000140713_90_90
ENSCAFT00000039408_90_90;1.0;0.885;0.535;0.828;0.229;0.679;0.54;0.852;0.797;0.797;0.852;0.394;0.629;0.8
ENST00000246194_90_90;0.885;1.0;0.53;0.943;0.208;0.794;0.483;0.897;0.845;0.845;0.897;0.356;0.564;0.848
ENST00000333552_90_90;0.535;0.53;1.0;0.474;0.156;0.557;0.442;0.462;0.409;0.409;0.462;0.258;0.555;0.486
ENST00000375114_90_90;0.828;0.943;0.474;1.0;0.221;0.843;0.425;0.845;0.892;0.892;0.845;0.377;0.598;0.794
ENST00000413297_90_90;0.229;0.208;0.156;0.221;1.0;0.265;0.413;0.202;0.213;0.213;0.202;0.567;0.354;0.212
ENST00000442805_90_90;0.679;0.794;0.557;0.843;0.265;1.0;0.504;0.706;0.745;0.745;0.706;0.451;0.714;0.742
ENST00000448364_90_90;0.54;0.483;0.442;0.425;0.413;0.504;1.0;0.466;0.411;0.411;0.466;0.723;0.676;0.491
ENSMUST00000029120_90_90;0.852;0.897;0.462;0.845;0.202;0.706;0.466;1.0;0.945;0.945;1.0;0.344;0.544;0.948
ENSMUST00000058089_90_90;0.797;0.845;0.409;0.892;0.213;0.745;0.411;0.945;1.0;1.0;0.945;0.363;0.576;0.893
ENSMUST00000109701_90_90;0.797;0.845;0.409;0.892;0.213;0.745;0.411;0.945;1.0;1.0;0.945;0.363;0.576;0.893
ENSMUST00000116389_90_90;0.852;0.897;0.462;0.845;0.202;0.706;0.466;1.0;0.945;0.945;1.0;0.344;0.544;0.948
ENSMUST00000125872_90_90;0.394;0.356;0.258;0.377;0.567;0.451;0.723;0.344;0.363;0.363;0.344;1.0;0.619;0.361
ENSMUST00000129137_90_90;0.629;0.564;0.555;0.598;0.354;0.714;0.676;0.544;0.576;0.576;0.544;0.619;1.0;0.573
ENSMUST00000140713_90_90;0.8;0.848;0.486;0.794;0.212;0.742;0.491;0.948;0.893;0.893;0.948;0.361;0.573;1.0
