;ENSCAFT00000016185_90_90;ENST00000617070_90_90;ENST00000617991_90_90;ENST00000622969_90_90;ENST00000623597_90_90;ENST00000623893_90_90;ENSMUST00000064664_90_90;ENSMUST00000064679_90_90;ENSMUST00000129905_90_90;ENSMUST00000136247_90_90
ENSCAFT00000016185_90_90;1.0;0.876;0.876;0.344;0.876;0.689;0.068;0.073;0.086;0.028
ENST00000617070_90_90;0.876;1.0;1.0;0.354;1.0;0.789;0.068;0.075;0.087;0.03
ENST00000617991_90_90;0.876;1.0;1.0;0.354;1.0;0.789;0.068;0.075;0.087;0.03
ENST00000622969_90_90;0.344;0.354;0.354;1.0;0.354;0.157;0.0;0.0;0.0;0.0
ENST00000623597_90_90;0.876;1.0;1.0;0.354;1.0;0.789;0.068;0.075;0.087;0.03
ENST00000623893_90_90;0.689;0.789;0.789;0.157;0.789;1.0;0.078;0.084;0.103;0.035
ENSMUST00000064664_90_90;0.068;0.068;0.068;0.0;0.068;0.078;1.0;0.789;0.541;0.296
ENSMUST00000064679_90_90;0.073;0.075;0.075;0.0;0.075;0.084;0.789;1.0;0.427;0.502
ENSMUST00000129905_90_90;0.086;0.087;0.087;0.0;0.087;0.103;0.541;0.427;1.0;0.458
ENSMUST00000136247_90_90;0.028;0.03;0.03;0.0;0.03;0.035;0.296;0.502;0.458;1.0
