;ENSCAFT00000016649_90_90;ENST00000360194_90_90;ENST00000525338_90_90;ENST00000528985_90_90;ENST00000529731_90_90;ENST00000530043_90_90;ENST00000533050_90_90;ENST00000627851_90_90;ENSMUST00000059057_90_90;ENSMUST00000063782_90_90;ENSMUST00000121564_90_90;ENSMUST00000125087_90_90;ENSMUST00000133739_90_90;ENSMUST00000214230_90_90;ENSMUST00000217306_90_90
ENSCAFT00000016649_90_90;1.0;0.748;0.44;0.761;0.608;0.247;0.756;0.608;0.946;0.785;0.946;0.619;0.285;0.051;0.124
ENST00000360194_90_90;0.748;1.0;0.555;0.906;0.78;0.344;0.943;0.78;0.756;0.608;0.756;0.483;0.257;0.0;0.128
ENST00000525338_90_90;0.44;0.555;1.0;0.574;0.647;0.392;0.53;0.647;0.422;0.508;0.422;0.422;0.336;0.0;0.138
ENST00000528985_90_90;0.761;0.906;0.574;1.0;0.701;0.354;0.861;0.701;0.769;0.619;0.769;0.495;0.263;0.0;0.133
ENST00000529731_90_90;0.608;0.78;0.647;0.701;1.0;0.267;0.836;1.0;0.657;0.773;0.657;0.315;0.379;0.0;0.146
ENST00000530043_90_90;0.247;0.344;0.392;0.354;0.267;1.0;0.329;0.267;0.238;0.175;0.238;0.376;0.238;0.0;0.0
ENST00000533050_90_90;0.756;0.943;0.53;0.861;0.836;0.329;1.0;0.836;0.804;0.657;0.804;0.465;0.314;0.0;0.12
ENST00000627851_90_90;0.608;0.78;0.647;0.701;1.0;0.267;0.836;1.0;0.657;0.773;0.657;0.315;0.379;0.0;0.146
ENSMUST00000059057_90_90;0.946;0.756;0.422;0.769;0.657;0.238;0.804;0.657;1.0;0.839;1.0;0.593;0.306;0.048;0.117
ENSMUST00000063782_90_90;0.785;0.608;0.508;0.619;0.773;0.175;0.657;0.773;0.839;1.0;0.839;0.431;0.37;0.057;0.142
ENSMUST00000121564_90_90;0.946;0.756;0.422;0.769;0.657;0.238;0.804;0.657;1.0;0.839;1.0;0.593;0.306;0.048;0.117
ENSMUST00000125087_90_90;0.619;0.483;0.422;0.495;0.315;0.376;0.465;0.315;0.593;0.431;0.593;1.0;0.298;0.085;0.0
ENSMUST00000133739_90_90;0.285;0.257;0.336;0.263;0.379;0.238;0.314;0.379;0.306;0.37;0.306;0.298;1.0;0.0;0.0
ENSMUST00000214230_90_90;0.051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.048;0.057;0.048;0.085;0.0;1.0;0.0
ENSMUST00000217306_90_90;0.124;0.128;0.138;0.133;0.146;0.0;0.12;0.146;0.117;0.142;0.117;0.0;0.0;0.0;1.0
