;ENSCAFT00000020697_90_90;ENSCAFT00000043849_90_90;ENST00000242480_90_90;ENST00000411732_90_90;ENST00000439032_90_90;ENST00000637191_90_90;ENSMUST00000048289_90_90;ENSMUST00000105438_90_90;ENSMUST00000127820_90_90;ENSMUST00000130933_90_90;ENSMUST00000145754_90_90;ENSMUST00000145936_90_90;ENSMUST00000146986_90_90
ENSCAFT00000020697_90_90;1.0;0.756;0.949;0.921;0.949;0.252;0.948;0.919;0.903;0.073;0.416;0.509;0.157
ENSCAFT00000043849_90_90;0.756;1.0;0.847;0.745;0.847;0.345;0.852;0.749;0.733;0.091;0.42;0.521;0.179
ENST00000242480_90_90;0.949;0.847;1.0;0.895;1.0;0.293;0.999;0.893;0.877;0.077;0.404;0.494;0.152
ENST00000411732_90_90;0.921;0.745;0.895;1.0;0.895;0.188;0.893;0.999;0.981;0.007;0.359;0.452;0.171
ENST00000439032_90_90;0.949;0.847;1.0;0.895;1.0;0.293;0.999;0.893;0.877;0.077;0.404;0.494;0.152
ENST00000637191_90_90;0.252;0.345;0.293;0.188;0.293;1.0;0.296;0.189;0.173;0.261;0.464;0.394;0.514
ENSMUST00000048289_90_90;0.948;0.852;0.999;0.893;0.999;0.296;1.0;0.894;0.877;0.077;0.405;0.494;0.153
ENSMUST00000105438_90_90;0.919;0.749;0.893;0.999;0.893;0.189;0.894;1.0;0.981;0.007;0.36;0.453;0.171
ENSMUST00000127820_90_90;0.903;0.733;0.877;0.981;0.877;0.173;0.877;0.981;1.0;0.0;0.343;0.436;0.152
ENSMUST00000130933_90_90;0.073;0.091;0.077;0.007;0.077;0.261;0.077;0.007;0.0;1.0;0.139;0.117;0.032
ENSMUST00000145754_90_90;0.416;0.42;0.404;0.359;0.404;0.464;0.405;0.36;0.343;0.139;1.0;0.84;0.304
ENSMUST00000145936_90_90;0.509;0.521;0.494;0.452;0.494;0.394;0.494;0.453;0.436;0.117;0.84;1.0;0.256
ENSMUST00000146986_90_90;0.157;0.179;0.152;0.171;0.152;0.514;0.153;0.171;0.152;0.032;0.304;0.256;1.0
