;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENSCAFT00000021589_90_90;1.0;0.857;0.857;0.839;0.839;0.379;0.214;0.345;0.839;0.233;0.286;0.286;0.071;0.567;0.71;0.143;0.107;0.179;0.8;0.833;0.793;0.793;0.633;0.036;0.464
ENSCAFT00000021597_90_90;0.857;1.0;1.0;0.71;0.71;0.44;0.25;0.4;0.71;0.269;0.333;0.333;0.083;0.433;0.815;0.167;0.125;0.208;0.786;0.821;0.92;0.92;0.667;0.042;0.542
ENSCAFT00000021600_90_90;0.857;1.0;1.0;0.71;0.71;0.44;0.25;0.4;0.71;0.269;0.333;0.333;0.083;0.433;0.815;0.167;0.125;0.208;0.786;0.821;0.92;0.92;0.667;0.042;0.542
ENST00000324432_90_90;0.839;0.71;0.71;1.0;1.0;0.414;0.207;0.379;1.0;0.267;0.233;0.233;0.069;0.655;0.862;0.138;0.103;0.172;0.719;0.75;0.71;0.71;0.562;0.034;0.4
ENST00000413936_90_90;0.839;0.71;0.71;1.0;1.0;0.414;0.207;0.379;1.0;0.267;0.233;0.233;0.069;0.655;0.862;0.138;0.103;0.172;0.719;0.75;0.71;0.71;0.562;0.034;0.4
ENST00000423646_90_90;0.379;0.44;0.44;0.414;0.414;1.0;0.5;0.917;0.414;0.0;0.538;0.538;0.167;0.069;0.48;0.333;0.25;0.417;0.407;0.393;0.44;0.44;0.5;0.083;0.786
ENST00000425780_90_90;0.214;0.25;0.25;0.207;0.207;0.5;1.0;0.545;0.207;0.0;0.75;0.75;0.333;0.0;0.24;0.667;0.5;0.833;0.231;0.222;0.25;0.25;0.286;0.167;0.462
ENST00000429179_90_90;0.345;0.4;0.4;0.379;0.379;0.917;0.545;1.0;0.379;0.0;0.583;0.583;0.182;0.034;0.44;0.364;0.273;0.455;0.37;0.357;0.4;0.4;0.455;0.091;0.714
ENST00000430490_90_90;0.839;0.71;0.71;1.0;1.0;0.414;0.207;0.379;1.0;0.267;0.233;0.233;0.069;0.655;0.862;0.138;0.103;0.172;0.719;0.75;0.71;0.71;0.562;0.034;0.4
ENST00000435251_90_90;0.233;0.269;0.269;0.267;0.267;0.0;0.0;0.0;0.267;1.0;0.0;0.0;0.0;0.4;0.308;0.0;0.0;0.0;0.207;0.241;0.269;0.269;0.111;0.0;0.0
ENST00000435861_90_90;0.286;0.333;0.333;0.233;0.233;0.538;0.75;0.583;0.233;0.0;1.0;1.0;0.25;0.0;0.269;0.5;0.375;0.625;0.308;0.296;0.333;0.333;0.381;0.125;0.615
ENST00000438930_90_90;0.286;0.333;0.333;0.233;0.233;0.538;0.75;0.583;0.233;0.0;1.0;1.0;0.25;0.0;0.269;0.5;0.375;0.625;0.308;0.296;0.333;0.333;0.381;0.125;0.615
ENST00000442516_90_90;0.071;0.083;0.083;0.069;0.069;0.167;0.333;0.182;0.069;0.0;0.25;0.25;1.0;0.0;0.08;0.5;0.667;0.4;0.077;0.074;0.083;0.083;0.095;0.5;0.154
ENST00000446600_90_90;0.567;0.433;0.433;0.655;0.655;0.069;0.0;0.034;0.655;0.4;0.0;0.0;0.0;1.0;0.517;0.0;0.0;0.0;0.452;0.484;0.433;0.433;0.29;0.0;0.103
ENST00000446820_90_90;0.71;0.815;0.815;0.862;0.862;0.48;0.24;0.44;0.862;0.308;0.269;0.269;0.08;0.517;1.0;0.16;0.12;0.2;0.7;0.733;0.815;0.815;0.586;0.04;0.462
ENST00000451769_90_90;0.143;0.167;0.167;0.138;0.138;0.333;0.667;0.364;0.138;0.0;0.5;0.5;0.5;0.0;0.16;1.0;0.75;0.8;0.154;0.148;0.167;0.167;0.19;0.25;0.308
ENST00000456590_90_90;0.107;0.125;0.125;0.103;0.103;0.25;0.5;0.273;0.103;0.0;0.375;0.375;0.667;0.0;0.12;0.75;1.0;0.6;0.115;0.111;0.125;0.125;0.143;0.333;0.231
ENST00000457529_90_90;0.179;0.208;0.208;0.172;0.172;0.417;0.833;0.455;0.172;0.0;0.625;0.625;0.4;0.0;0.2;0.8;0.6;1.0;0.192;0.185;0.208;0.208;0.238;0.2;0.385
ENSMUST00000005072_90_90;0.8;0.786;0.786;0.719;0.719;0.407;0.231;0.37;0.719;0.207;0.308;0.308;0.077;0.452;0.7;0.154;0.115;0.192;1.0;0.963;0.852;0.852;0.679;0.038;0.5
ENSMUST00000111142_90_90;0.833;0.821;0.821;0.75;0.75;0.393;0.222;0.357;0.75;0.241;0.296;0.296;0.074;0.484;0.733;0.148;0.111;0.185;0.963;1.0;0.889;0.889;0.655;0.037;0.481
ENSMUST00000111144_90_90;0.793;0.92;0.92;0.71;0.71;0.44;0.25;0.4;0.71;0.269;0.333;0.333;0.083;0.433;0.815;0.167;0.125;0.208;0.852;0.889;1.0;1.0;0.731;0.042;0.542
ENSMUST00000111145_90_90;0.793;0.92;0.92;0.71;0.71;0.44;0.25;0.4;0.71;0.269;0.333;0.333;0.083;0.433;0.815;0.167;0.125;0.208;0.852;0.889;1.0;1.0;0.731;0.042;0.542
ENSMUST00000125827_90_90;0.633;0.667;0.667;0.562;0.562;0.5;0.286;0.455;0.562;0.111;0.381;0.381;0.095;0.29;0.586;0.19;0.143;0.238;0.679;0.655;0.731;0.731;1.0;0.048;0.619
ENSMUST00000130345_90_90;0.036;0.042;0.042;0.034;0.034;0.083;0.167;0.091;0.034;0.0;0.125;0.125;0.5;0.0;0.04;0.25;0.333;0.2;0.038;0.037;0.042;0.042;0.048;1.0;0.077
ENSMUST00000199239_90_90;0.464;0.542;0.542;0.4;0.4;0.786;0.462;0.714;0.4;0.0;0.615;0.615;0.154;0.103;0.462;0.308;0.231;0.385;0.5;0.481;0.542;0.542;0.619;0.077;1.0
