;ENSCAFT00000032340_90_90;ENST00000342203_90_90;ENST00000422026_90_90;ENST00000437941_90_90;ENST00000476905_90_90;ENST00000481102_90_90;ENST00000603677_90_90;ENST00000605755_90_90;ENSMUST00000039021_90_90;ENSMUST00000106149_90_90;ENSMUST00000106151_90_90;ENSMUST00000106153_90_90;ENSMUST00000129978_90_90;ENSMUST00000149262_90_90
ENSCAFT00000032340_90_90;1.0;0.591;0.389;0.455;0.455;0.591;0.167;0.455;0.85;0.85;0.85;0.857;0.278;0.222
ENST00000342203_90_90;0.591;1.0;0.333;0.824;0.722;0.889;0.053;0.824;0.565;0.565;0.565;0.652;0.294;0.235
ENST00000422026_90_90;0.389;0.333;1.0;0.167;0.312;0.333;0.0;0.167;0.368;0.368;0.368;0.333;0.714;0.571
ENST00000437941_90_90;0.455;0.824;0.167;1.0;0.647;0.722;0.062;1.0;0.435;0.435;0.435;0.522;0.118;0.059
ENST00000476905_90_90;0.455;0.722;0.312;0.647;1.0;0.722;0.0;0.647;0.435;0.435;0.435;0.522;0.267;0.2
ENST00000481102_90_90;0.591;0.889;0.333;0.722;0.722;1.0;0.053;0.722;0.565;0.565;0.565;0.652;0.294;0.235
ENST00000603677_90_90;0.167;0.053;0.0;0.062;0.0;0.053;1.0;0.062;0.158;0.158;0.158;0.143;0.0;0.0
ENST00000605755_90_90;0.455;0.824;0.167;1.0;0.647;0.722;0.062;1.0;0.435;0.435;0.435;0.522;0.118;0.059
ENSMUST00000039021_90_90;0.85;0.565;0.368;0.435;0.435;0.565;0.158;0.435;1.0;1.0;1.0;0.905;0.263;0.211
ENSMUST00000106149_90_90;0.85;0.565;0.368;0.435;0.435;0.565;0.158;0.435;1.0;1.0;1.0;0.905;0.263;0.211
ENSMUST00000106151_90_90;0.85;0.565;0.368;0.435;0.435;0.565;0.158;0.435;1.0;1.0;1.0;0.905;0.263;0.211
ENSMUST00000106153_90_90;0.857;0.652;0.333;0.522;0.522;0.652;0.143;0.522;0.905;0.905;0.905;1.0;0.238;0.19
ENSMUST00000129978_90_90;0.278;0.294;0.714;0.118;0.267;0.294;0.0;0.118;0.263;0.263;0.263;0.238;1.0;0.8
ENSMUST00000149262_90_90;0.222;0.235;0.571;0.059;0.2;0.235;0.0;0.059;0.211;0.211;0.211;0.19;0.8;1.0
