;ENSCAFT00000004512_90_90;ENST00000344157_90_90;ENST00000355665_90_90;ENST00000505251_90_90;ENST00000507529_90_90;ENST00000510746_90_90;ENST00000579690_90_90;ENSMUST00000038384_90_90;ENSMUST00000119339_90_90;ENSMUST00000120498_90_90;ENSMUST00000156363_90_90
ENSCAFT00000004512_90_90;1.0;0.947;0.895;0.105;0.053;0.053;1.0;0.588;0.529;0.588;0.941
ENST00000344157_90_90;0.947;1.0;0.955;0.091;0.087;0.045;0.917;0.733;0.667;0.733;0.933
ENST00000355665_90_90;0.895;0.955;1.0;0.095;0.091;0.048;0.875;0.667;0.714;0.667;1.0
ENST00000505251_90_90;0.105;0.091;0.095;1.0;0.0;0.5;0.083;0.182;0.2;0.182;0.143
ENST00000507529_90_90;0.053;0.087;0.091;0.0;1.0;0.0;0.08;0.0;0.0;0.0;0.0
ENST00000510746_90_90;0.053;0.045;0.048;0.5;0.0;1.0;0.042;0.091;0.1;0.091;0.071
ENST00000579690_90_90;1.0;0.917;0.875;0.083;0.08;0.042;1.0;0.733;0.667;0.733;0.933
ENSMUST00000038384_90_90;0.588;0.733;0.667;0.182;0.0;0.091;0.733;1.0;0.867;0.933;0.423
ENSMUST00000119339_90_90;0.529;0.667;0.714;0.2;0.0;0.1;0.667;0.867;1.0;0.929;0.458
ENSMUST00000120498_90_90;0.588;0.733;0.667;0.182;0.0;0.091;0.733;0.933;0.929;1.0;0.44
ENSMUST00000156363_90_90;0.941;0.933;1.0;0.143;0.0;0.071;0.933;0.423;0.458;0.44;1.0
