;transcript7_ENSMPUG00000020072;transcript7_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript25_ENSMPUG00000020072;transcript25_ENSMLUG00000027828;transcript28_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript12_ENSMLUG00000027828;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript15_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript27_ENSMLUG00000027828
transcript7_ENSMPUG00000020072;1.0;0.909;1.0;1.0;0.126;0.153;0.113;0.124;0.121;0.124;0.124;0.127;0.126;0.128;0.153;0.164;0.167
transcript7_ENSMLUG00000027828;0.909;1.0;0.818;0.857;0.127;0.124;0.114;0.11;0.096;0.11;0.11;0.124;0.115;0.101;0.119;0.132;0.128
transcript7_ENSSTOG00000019743;1.0;0.818;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript7_ENSCCNG00000000226;1.0;0.857;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript25_ENSMPUG00000020072;0.126;0.127;1.0;1.0;1.0;0.911;0.802;0.848;0.868;0.848;0.848;0.819;0.829;0.813;0.911;0.848;0.835
transcript25_ENSMLUG00000027828;0.153;0.124;1.0;1.0;0.911;1.0;0.758;0.761;0.776;0.761;0.761;0.765;0.781;0.728;0.85;0.938;0.802
transcript28_ENSMPUG00000020072;0.113;0.114;1.0;1.0;0.802;0.758;1.0;0.962;0.967;0.962;0.962;0.933;0.943;0.912;0.758;0.703;0.692
transcript12_ENSECAG00000007947;0.124;0.11;1.0;1.0;0.848;0.761;0.962;1.0;1.0;1.0;1.0;0.908;0.958;0.963;0.817;0.725;0.771
transcript12_ENSMLUG00000027828;0.121;0.096;1.0;1.0;0.868;0.776;0.967;1.0;1.0;1.0;1.0;0.89;0.954;0.952;0.808;0.728;0.752
transcript23_ENSECAG00000007947;0.124;0.11;1.0;1.0;0.848;0.761;0.962;1.0;1.0;1.0;1.0;0.908;0.958;0.963;0.817;0.725;0.771
transcript31_ENSECAG00000007947;0.124;0.11;1.0;1.0;0.848;0.761;0.962;1.0;1.0;1.0;1.0;0.908;0.958;0.963;0.817;0.725;0.771
transcript32_ENSECAG00000007947;0.127;0.124;1.0;1.0;0.819;0.765;0.933;0.908;0.89;0.908;0.908;1.0;0.934;0.853;0.706;0.725;0.661
transcript33_ENSECAG00000007947;0.126;0.115;1.0;1.0;0.829;0.781;0.943;0.958;0.954;0.958;0.958;0.934;1.0;0.917;0.771;0.743;0.725
transcript15_ENSMLUG00000027828;0.128;0.101;1.0;1.0;0.813;0.728;0.912;0.963;0.952;0.963;0.963;0.853;0.917;1.0;0.849;0.765;0.79
transcript16_ENSMLUG00000027828;0.153;0.119;1.0;1.0;0.911;0.85;0.758;0.817;0.808;0.817;0.817;0.706;0.771;0.849;1.0;0.901;0.931
transcript26_ENSMLUG00000027828;0.164;0.132;1.0;1.0;0.848;0.938;0.703;0.725;0.728;0.725;0.725;0.725;0.743;0.765;0.901;1.0;0.85
transcript27_ENSMLUG00000027828;0.167;0.128;1.0;1.0;0.835;0.802;0.692;0.771;0.752;0.771;0.771;0.661;0.725;0.79;0.931;0.85;1.0
