;ENSCAFT00000013391_90_90;ENST00000338183_90_90;ENST00000437989_90_90;ENST00000562489_90_90;ENST00000562877_90_90;ENST00000563167_90_90;ENST00000564586_90_90;ENST00000566621_90_90;ENST00000566807_90_90;ENST00000567389_90_90;ENST00000569302_90_90;ENSMUST00000110918_90_90;ENSMUST00000166472_90_90
ENSCAFT00000013391_90_90;1.0;0.3;1.0;0.0;0.3;0.05;0.65;1.0;0.3;0.3;1.0;1.0;1.0
ENST00000338183_90_90;0.3;1.0;0.464;0.357;1.0;0.133;0.217;0.464;0.769;1.0;0.448;0.462;0.444
ENST00000437989_90_90;1.0;0.464;1.0;0.172;0.464;0.103;0.536;1.0;0.357;0.464;0.966;1.0;0.963
ENST00000562489_90_90;0.0;0.357;0.172;1.0;0.357;0.25;0.0;0.172;0.143;0.357;0.167;0.154;0.148
ENST00000562877_90_90;0.3;1.0;0.464;0.357;1.0;0.133;0.217;0.464;0.769;1.0;0.448;0.462;0.444
ENST00000563167_90_90;0.05;0.133;0.103;0.25;0.133;1.0;0.056;0.103;0.0;0.133;0.1;0.077;0.074
ENST00000564586_90_90;0.65;0.217;0.536;0.0;0.217;0.056;1.0;0.536;0.25;0.217;0.517;0.577;0.556
ENST00000566621_90_90;1.0;0.464;1.0;0.172;0.464;0.103;0.536;1.0;0.357;0.464;0.966;1.0;0.963
ENST00000566807_90_90;0.3;0.769;0.357;0.143;0.769;0.0;0.25;0.357;1.0;0.769;0.345;0.385;0.37
ENST00000567389_90_90;0.3;1.0;0.464;0.357;1.0;0.133;0.217;0.464;0.769;1.0;0.448;0.462;0.444
ENST00000569302_90_90;1.0;0.448;0.966;0.167;0.448;0.1;0.517;0.966;0.345;0.448;1.0;0.963;1.0
ENSMUST00000110918_90_90;1.0;0.462;1.0;0.154;0.462;0.077;0.577;1.0;0.385;0.462;0.963;1.0;0.966
ENSMUST00000166472_90_90;1.0;0.444;0.963;0.148;0.444;0.074;0.556;0.963;0.37;0.444;1.0;0.966;1.0
