;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;0.921;0.921;0.921;0.708;0.692;0.708;0.652;0.708;0.561;0.505;0.635;0.591;0.627;0.637;0.601;0.743;0.741;0.688;0.566;0.743;0.877;0.815;0.701;0.816;0.816;0.836;0.774;0.805;0.815;0.676;0.643;0.69;0.827;0.827;0.827
transcript38_ENSCGRG00015005362;0.921;1.0;1.0;1.0;0.762;0.746;0.762;0.704;0.762;0.586;0.528;0.69;0.642;0.67;0.677;0.637;0.779;0.777;0.724;0.602;0.779;0.952;0.885;0.756;0.891;0.891;0.912;0.845;0.879;0.885;0.745;0.685;0.734;0.9;0.9;0.9
transcript38_ENSCGRG00000018457;0.921;1.0;1.0;1.0;0.762;0.746;0.762;0.704;0.762;0.586;0.528;0.69;0.642;0.67;0.677;0.637;0.779;0.777;0.724;0.602;0.779;0.952;0.885;0.756;0.891;0.891;0.912;0.845;0.879;0.885;0.745;0.685;0.734;0.9;0.9;0.9
transcript38_ENSSTOG00000019743;0.921;1.0;1.0;1.0;0.762;0.746;0.762;0.704;0.762;0.586;0.528;0.69;0.642;0.67;0.677;0.637;0.779;0.777;0.724;0.602;0.779;0.952;0.885;0.756;0.891;0.891;0.912;0.845;0.879;0.885;0.745;0.685;0.734;0.9;0.9;0.9
transcript37_ENSMUGG00000013649;0.708;0.762;0.762;0.762;1.0;0.98;1.0;0.922;1.0;0.775;0.701;0.895;0.832;0.843;0.732;0.847;0.56;0.559;0.524;0.429;0.56;0.777;0.72;0.972;0.719;0.719;0.696;0.649;0.707;0.72;0.617;0.772;0.837;0.833;0.833;0.833
transcript37_ENSMUGG00000013592;0.692;0.746;0.746;0.746;0.98;1.0;0.98;0.903;0.98;0.768;0.695;0.878;0.817;0.823;0.714;0.865;0.552;0.551;0.516;0.421;0.552;0.76;0.704;0.952;0.703;0.703;0.681;0.637;0.691;0.704;0.603;0.754;0.817;0.815;0.815;0.815
transcript37_ENSCGRG00001010245;0.708;0.762;0.762;0.762;1.0;0.98;1.0;0.922;1.0;0.775;0.701;0.895;0.832;0.843;0.732;0.847;0.56;0.559;0.524;0.429;0.56;0.777;0.72;0.972;0.719;0.719;0.696;0.649;0.707;0.72;0.617;0.772;0.837;0.833;0.833;0.833
transcript37_ENSPEMG00000024651;0.652;0.704;0.704;0.704;0.922;0.903;0.922;1.0;0.922;0.7;0.756;0.839;0.901;0.787;0.792;0.773;0.532;0.53;0.565;0.405;0.532;0.711;0.775;0.897;0.666;0.666;0.648;0.7;0.656;0.775;0.558;0.836;0.78;0.766;0.766;0.766
transcript37_ENSSTOG00000019743;0.708;0.762;0.762;0.762;1.0;0.98;1.0;0.922;1.0;0.775;0.701;0.895;0.832;0.843;0.732;0.847;0.56;0.559;0.524;0.429;0.56;0.777;0.72;0.972;0.719;0.719;0.696;0.649;0.707;0.72;0.617;0.772;0.837;0.833;0.833;0.833
transcript57_ENSMUGG00000013649;0.561;0.586;0.586;0.586;0.775;0.768;0.775;0.7;0.775;1.0;0.9;0.726;0.658;0.673;0.566;0.885;0.387;0.385;0.35;0.321;0.387;0.631;0.568;0.802;0.573;0.573;0.538;0.487;0.56;0.568;0.54;0.577;0.64;0.687;0.687;0.687
transcript57_ENSPEMG00000024651;0.505;0.528;0.528;0.528;0.701;0.695;0.701;0.756;0.701;0.9;1.0;0.664;0.712;0.613;0.613;0.798;0.356;0.354;0.377;0.292;0.356;0.562;0.612;0.725;0.517;0.517;0.487;0.524;0.506;0.612;0.475;0.623;0.584;0.618;0.618;0.618
transcript58_ENSMUGG00000013649;0.635;0.69;0.69;0.69;0.895;0.878;0.895;0.839;0.895;0.726;0.664;1.0;0.926;0.81;0.712;0.781;0.504;0.502;0.48;0.394;0.504;0.734;0.69;0.923;0.78;0.78;0.642;0.607;0.768;0.69;0.592;0.71;0.755;0.79;0.79;0.79
transcript58_ENSPEMG00000024651;0.591;0.642;0.642;0.642;0.832;0.817;0.832;0.901;0.832;0.658;0.712;0.926;1.0;0.761;0.765;0.716;0.484;0.482;0.513;0.377;0.484;0.675;0.736;0.855;0.717;0.717;0.602;0.648;0.707;0.736;0.538;0.761;0.71;0.731;0.731;0.731
transcript59_ENSMUGG00000013649;0.627;0.67;0.67;0.67;0.843;0.823;0.843;0.787;0.843;0.673;0.613;0.81;0.761;1.0;0.859;0.726;0.482;0.48;0.459;0.383;0.482;0.716;0.671;0.87;0.657;0.657;0.622;0.588;0.645;0.671;0.587;0.82;0.888;0.744;0.744;0.744
transcript59_ENSPEMG00000024651;0.637;0.677;0.677;0.677;0.732;0.714;0.732;0.792;0.732;0.566;0.613;0.712;0.765;0.859;1.0;0.619;0.516;0.514;0.545;0.42;0.516;0.711;0.772;0.754;0.666;0.666;0.636;0.683;0.655;0.772;0.586;0.95;0.881;0.739;0.739;0.739
transcript51_ENSMUGG00000013592;0.601;0.637;0.637;0.637;0.847;0.865;0.847;0.773;0.847;0.885;0.798;0.781;0.716;0.726;0.619;1.0;0.446;0.444;0.408;0.358;0.446;0.676;0.617;0.857;0.621;0.621;0.598;0.548;0.609;0.617;0.565;0.633;0.694;0.732;0.732;0.732
transcript8_ENSCGRG00000018457;0.743;0.779;0.779;0.779;0.56;0.552;0.56;0.532;0.56;0.387;0.356;0.504;0.484;0.482;0.516;0.446;1.0;0.998;0.927;0.77;1.0;0.742;0.708;0.557;0.681;0.681;0.695;0.662;0.69;0.708;0.598;0.513;0.532;0.7;0.7;0.7
transcript8_ENSCGRG00015005362;0.741;0.777;0.777;0.777;0.559;0.551;0.559;0.53;0.559;0.385;0.354;0.502;0.482;0.48;0.514;0.444;0.998;1.0;0.925;0.768;0.998;0.74;0.706;0.555;0.679;0.679;0.693;0.659;0.688;0.706;0.596;0.512;0.531;0.698;0.698;0.698
transcript8_ENSPEMG00000024651;0.688;0.724;0.724;0.724;0.524;0.516;0.524;0.565;0.524;0.35;0.377;0.48;0.513;0.459;0.545;0.408;0.927;0.925;1.0;0.716;0.927;0.689;0.749;0.522;0.641;0.641;0.651;0.7;0.649;0.749;0.554;0.542;0.51;0.648;0.648;0.648
transcript8_ENSNGAG00000018584;0.566;0.602;0.602;0.602;0.429;0.421;0.429;0.405;0.429;0.321;0.292;0.394;0.377;0.383;0.42;0.358;0.77;0.768;0.716;1.0;0.77;0.573;0.545;0.427;0.537;0.537;0.551;0.524;0.543;0.545;0.726;0.417;0.435;0.536;0.536;0.536
transcript8_ENSSTOG00000019743;0.743;0.779;0.779;0.779;0.56;0.552;0.56;0.532;0.56;0.387;0.356;0.504;0.484;0.482;0.516;0.446;1.0;0.998;0.927;0.77;1.0;0.742;0.708;0.557;0.681;0.681;0.695;0.662;0.69;0.708;0.598;0.513;0.532;0.7;0.7;0.7
transcript9_ENSCGRG00015005362;0.877;0.952;0.952;0.952;0.777;0.76;0.777;0.711;0.777;0.631;0.562;0.734;0.675;0.716;0.711;0.676;0.742;0.74;0.689;0.573;0.742;1.0;0.919;0.8;0.939;0.939;0.902;0.833;0.927;0.919;0.786;0.693;0.75;0.945;0.945;0.945
transcript9_ENSPEMG00000024651;0.815;0.885;0.885;0.885;0.72;0.704;0.72;0.775;0.72;0.568;0.612;0.69;0.736;0.671;0.772;0.617;0.708;0.706;0.749;0.545;0.708;0.919;1.0;0.74;0.873;0.873;0.843;0.907;0.863;1.0;0.72;0.752;0.708;0.865;0.865;0.865
transcript54_ENSCGRG00015005362;0.701;0.756;0.756;0.756;0.972;0.952;0.972;0.897;0.972;0.802;0.725;0.923;0.855;0.87;0.754;0.857;0.557;0.555;0.522;0.427;0.557;0.8;0.74;1.0;0.742;0.742;0.708;0.658;0.731;0.74;0.633;0.764;0.828;0.856;0.856;0.856
transcript52_ENSCGRG00000018457;0.816;0.891;0.891;0.891;0.719;0.703;0.719;0.666;0.719;0.573;0.517;0.78;0.717;0.657;0.666;0.621;0.681;0.679;0.641;0.537;0.681;0.939;0.873;0.742;1.0;1.0;0.841;0.787;0.986;0.873;0.754;0.649;0.692;0.887;0.887;0.887
transcript52_ENSCGRG00001010245;0.816;0.891;0.891;0.891;0.719;0.703;0.719;0.666;0.719;0.573;0.517;0.78;0.717;0.657;0.666;0.621;0.681;0.679;0.641;0.537;0.681;0.939;0.873;0.742;1.0;1.0;0.841;0.787;0.986;0.873;0.754;0.649;0.692;0.887;0.887;0.887
transcript56_ENSCGRG00000018457;0.836;0.912;0.912;0.912;0.696;0.681;0.696;0.648;0.696;0.538;0.487;0.642;0.602;0.622;0.636;0.598;0.695;0.693;0.651;0.551;0.695;0.902;0.843;0.708;0.841;0.841;1.0;0.923;0.829;0.843;0.722;0.619;0.657;0.853;0.853;0.853
transcript56_ENSPEMG00000024651;0.774;0.845;0.845;0.845;0.649;0.637;0.649;0.7;0.649;0.487;0.524;0.607;0.648;0.588;0.683;0.548;0.662;0.659;0.7;0.524;0.662;0.833;0.907;0.658;0.787;0.787;0.923;1.0;0.776;0.907;0.663;0.665;0.625;0.784;0.784;0.784
transcript65_ENSCGRG00000018457;0.805;0.879;0.879;0.879;0.707;0.691;0.707;0.656;0.707;0.56;0.506;0.768;0.707;0.645;0.655;0.609;0.69;0.688;0.649;0.543;0.69;0.927;0.863;0.731;0.986;0.986;0.829;0.776;1.0;0.863;0.747;0.638;0.68;0.874;0.874;0.874
transcript33_ENSPEMG00000024651;0.815;0.885;0.885;0.885;0.72;0.704;0.72;0.775;0.72;0.568;0.612;0.69;0.736;0.671;0.772;0.617;0.708;0.706;0.749;0.545;0.708;0.919;1.0;0.74;0.873;0.873;0.843;0.907;0.863;1.0;0.72;0.752;0.708;0.865;0.865;0.865
transcript33_ENSNGAG00000018584;0.676;0.745;0.745;0.745;0.617;0.603;0.617;0.558;0.617;0.54;0.475;0.592;0.538;0.587;0.586;0.565;0.598;0.596;0.554;0.726;0.598;0.786;0.72;0.633;0.754;0.754;0.722;0.663;0.747;0.72;1.0;0.574;0.629;0.738;0.738;0.738
transcript39_ENSPEMG00000024651;0.643;0.685;0.685;0.685;0.772;0.754;0.772;0.836;0.772;0.577;0.623;0.71;0.761;0.82;0.95;0.633;0.513;0.512;0.542;0.417;0.513;0.693;0.752;0.764;0.649;0.649;0.619;0.665;0.638;0.752;0.574;1.0;0.927;0.749;0.749;0.749
