;transcript52_ENSMUGG00000013592;transcript55_ENSCGRG00015005362;transcript52_ENSCGRG00015005362;transcript7_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript57_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript42_ENSMUGG00000013592;transcript7_ENSPEMG00000024651;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript54_ENSCGRG00015005362;transcript53_ENSCGRG00015005362
transcript52_ENSMUGG00000013592;1.0;0.78;0.927;0.545;0.583;0.458;0.458;0.286;0.741;0.741;0.286;0.714;0.609;0.286;0.609;0.8;0.72
transcript55_ENSCGRG00015005362;0.78;1.0;0.775;0.92;1.0;0.88;0.88;0.371;0.986;0.958;0.469;0.98;1.0;0.371;1.0;0.986;0.887
transcript52_ENSCGRG00015005362;0.927;0.775;1.0;0.52;0.6;0.48;0.48;0.206;0.789;0.812;0.265;0.78;0.538;0.206;0.538;0.789;0.69
transcript7_MGP-CAROLIEiJ-G0020234;0.545;0.92;0.52;1.0;0.821;0.778;0.778;1.0;0.821;0.821;1.0;0.833;1.0;1.0;1.0;0.92;0.92
transcript58_MGP-CAROLIEiJ-G0020234;0.583;1.0;0.6;0.821;1.0;0.893;0.893;0.821;1.0;1.0;0.833;1.0;1.0;0.92;1.0;1.0;1.0
transcript57_MGP-CAROLIEiJ-G0020234;0.458;0.88;0.48;0.778;0.893;1.0;1.0;0.778;0.893;0.893;0.783;0.875;0.913;0.875;0.913;0.88;0.88
transcript59_MGP-CAROLIEiJ-G0020234;0.458;0.88;0.48;0.778;0.893;1.0;1.0;0.778;0.893;0.893;0.783;0.875;0.913;0.875;0.913;0.88;0.88
transcript7_ENSMUGG00000013649;0.286;0.371;0.206;1.0;0.821;0.778;0.778;1.0;0.342;0.351;1.0;0.426;1.0;1.0;1.0;0.366;0.406
transcript28_ENSMUGG00000013649;0.741;0.986;0.789;0.821;1.0;0.893;0.893;0.342;1.0;0.974;0.426;1.0;1.0;0.366;1.0;1.0;0.901
transcript42_ENSMUGG00000013649;0.741;0.958;0.812;0.821;1.0;0.893;0.893;0.351;0.974;1.0;0.426;1.0;1.0;0.377;1.0;0.972;0.873
transcript7_ENSMUGG00000013592;0.286;0.469;0.265;1.0;0.833;0.783;0.783;1.0;0.426;0.426;1.0;0.411;1.0;1.0;1.0;0.46;0.5
transcript42_ENSMUGG00000013592;0.714;0.98;0.78;0.833;1.0;0.875;0.875;0.426;1.0;1.0;0.411;1.0;1.0;0.46;1.0;1.0;0.92
transcript7_ENSPEMG00000024651;0.609;1.0;0.538;1.0;1.0;0.913;0.913;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript7_ENSCGRG00015005362;0.286;0.371;0.206;1.0;0.92;0.875;0.875;1.0;0.366;0.377;1.0;0.46;1.0;1.0;1.0;0.366;0.406
transcript7_ENSCGRG00000018457;0.609;1.0;0.538;1.0;1.0;0.913;0.913;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript54_ENSCGRG00015005362;0.8;0.986;0.789;0.92;1.0;0.88;0.88;0.366;1.0;0.972;0.46;1.0;1.0;0.366;1.0;1.0;0.901
transcript53_ENSCGRG00015005362;0.72;0.887;0.69;0.92;1.0;0.88;0.88;0.406;0.901;0.873;0.5;0.92;1.0;0.406;1.0;0.901;1.0
