;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENSCAFT00000000383_90_90;1.0;0.918;0.909;0.909;0.925;0.796;0.951;0.742;0.78;0.843;0.966;0.796;0.129;0.185;0.468;0.192;0.796;0.719;0.982;0.939;0.964;0.806;0.026;0.788;0.67
ENSCAFT00000035671_90_90;0.918;1.0;0.853;0.853;0.869;0.768;0.895;0.713;0.752;0.787;0.911;0.768;0.117;0.174;0.434;0.182;0.768;0.69;0.923;0.881;0.906;0.777;0.028;0.759;0.647
ENST00000353331_90_90;0.909;0.853;1.0;1.0;0.984;0.785;0.958;0.775;0.797;0.818;0.942;0.785;0.137;0.197;0.482;0.153;0.785;0.706;0.923;0.965;0.939;0.76;0.028;0.772;0.715
ENST00000392348_90_90;0.909;0.853;1.0;1.0;0.984;0.785;0.958;0.775;0.797;0.818;0.942;0.785;0.137;0.197;0.482;0.153;0.785;0.706;0.923;0.965;0.939;0.76;0.028;0.772;0.715
ENST00000527536_90_90;0.925;0.869;0.984;0.984;1.0;0.801;0.942;0.791;0.785;0.834;0.958;0.801;0.135;0.193;0.475;0.15;0.801;0.721;0.94;0.982;0.923;0.777;0.027;0.76;0.701
ENST00000527613_90_90;0.796;0.768;0.785;0.785;0.801;1.0;0.752;0.911;0.98;0.647;0.768;1.0;0.0;0.221;0.543;0.046;1.0;0.826;0.744;0.777;0.728;0.98;0.031;0.96;0.505
ENST00000527759_90_90;0.951;0.895;0.958;0.958;0.942;0.752;1.0;0.742;0.764;0.86;0.984;0.752;0.131;0.19;0.462;0.196;0.752;0.676;0.966;0.923;0.983;0.728;0.027;0.74;0.683
ENST00000529826_90_90;0.742;0.713;0.775;0.775;0.791;0.911;0.742;1.0;0.891;0.634;0.758;0.911;0.0;0.248;0.595;0.026;0.911;0.864;0.732;0.765;0.715;0.885;0.035;0.865;0.484
ENST00000530429_90_90;0.78;0.752;0.797;0.797;0.785;0.98;0.764;0.891;1.0;0.631;0.752;0.98;0.0;0.226;0.553;0.048;0.98;0.807;0.728;0.76;0.74;0.96;0.032;0.979;0.514
ENST00000530767_90_90;0.843;0.787;0.818;0.818;0.834;0.647;0.86;0.634;0.631;1.0;0.875;0.647;0.149;0.178;0.521;0.222;0.647;0.571;0.857;0.814;0.84;0.621;0.029;0.605;0.544
ENST00000531224_90_90;0.966;0.911;0.942;0.942;0.958;0.768;0.984;0.758;0.752;0.875;1.0;0.768;0.129;0.185;0.455;0.193;0.768;0.692;0.984;0.94;0.966;0.744;0.026;0.728;0.671
ENST00000532384_90_90;0.796;0.768;0.785;0.785;0.801;1.0;0.752;0.911;0.98;0.647;0.768;1.0;0.0;0.221;0.543;0.046;1.0;0.826;0.744;0.777;0.728;0.98;0.031;0.96;0.505
ENST00000533422_90_90;0.129;0.117;0.137;0.137;0.135;0.0;0.131;0.0;0.0;0.149;0.129;0.0;1.0;0.0;0.0;0.484;0.0;0.0;0.133;0.139;0.135;0.0;0.0;0.0;0.195
ENST00000533621_90_90;0.185;0.174;0.197;0.197;0.193;0.221;0.19;0.248;0.226;0.178;0.185;0.221;0.0;1.0;0.315;0.0;0.221;0.244;0.176;0.184;0.18;0.213;0.0;0.218;0.197
ENST00000534269_90_90;0.468;0.434;0.482;0.482;0.475;0.543;0.462;0.595;0.553;0.521;0.455;0.543;0.0;0.315;1.0;0.0;0.543;0.593;0.436;0.456;0.444;0.524;0.117;0.535;0.204
ENST00000534762_90_90;0.192;0.182;0.153;0.153;0.15;0.046;0.196;0.026;0.048;0.222;0.193;0.046;0.484;0.0;0.0;1.0;0.046;0.0;0.199;0.155;0.202;0.049;0.0;0.05;0.213
ENST00000628517_90_90;0.796;0.768;0.785;0.785;0.801;1.0;0.752;0.911;0.98;0.647;0.768;1.0;0.0;0.221;0.543;0.046;1.0;0.826;0.744;0.777;0.728;0.98;0.031;0.96;0.505
ENST00000640069_90_90;0.719;0.69;0.706;0.706;0.721;0.826;0.676;0.864;0.807;0.571;0.692;0.826;0.0;0.244;0.593;0.0;0.826;1.0;0.709;0.742;0.692;0.858;0.035;0.837;0.46
ENSMUST00000043881_90_90;0.982;0.923;0.923;0.923;0.94;0.744;0.966;0.732;0.728;0.857;0.984;0.744;0.133;0.176;0.436;0.199;0.744;0.709;1.0;0.958;0.984;0.749;0.025;0.733;0.692
ENSMUST00000092678_90_90;0.939;0.881;0.965;0.965;0.982;0.777;0.923;0.765;0.76;0.814;0.94;0.777;0.139;0.184;0.456;0.155;0.777;0.742;0.958;1.0;0.942;0.781;0.026;0.765;0.722
ENSMUST00000185800_90_90;0.964;0.906;0.939;0.939;0.923;0.728;0.983;0.715;0.74;0.84;0.966;0.728;0.135;0.18;0.444;0.202;0.728;0.692;0.984;0.942;1.0;0.733;0.025;0.744;0.705
ENSMUST00000186100_90_90;0.806;0.777;0.76;0.76;0.777;0.98;0.728;0.885;0.96;0.621;0.744;0.98;0.0;0.213;0.524;0.049;0.98;0.858;0.749;0.781;0.733;1.0;0.03;0.98;0.513
ENSMUST00000189158_90_90;0.026;0.028;0.028;0.028;0.027;0.031;0.027;0.035;0.032;0.029;0.026;0.031;0.0;0.0;0.117;0.0;0.031;0.035;0.025;0.026;0.025;0.03;1.0;0.031;0.035
ENSMUST00000190156_90_90;0.788;0.759;0.772;0.772;0.76;0.96;0.74;0.865;0.979;0.605;0.728;0.96;0.0;0.218;0.535;0.05;0.96;0.837;0.733;0.765;0.744;0.98;0.031;1.0;0.522
ENSMUST00000191438_90_90;0.67;0.647;0.715;0.715;0.701;0.505;0.683;0.484;0.514;0.544;0.671;0.505;0.195;0.197;0.204;0.213;0.505;0.46;0.692;0.722;0.705;0.513;0.035;0.522;1.0
