;ENSCAFT00000024611_90_90;ENST00000312358_90_90;ENST00000396686_90_90;ENST00000396688_90_90;ENST00000396689_90_90;ENST00000396698_90_90;ENST00000403148_90_90;ENST00000409595_90_90;ENST00000412982_90_90;ENST00000420132_90_90;ENST00000431523_90_90;ENST00000435853_90_90;ENST00000451076_90_90;ENST00000452101_90_90;ENST00000617028_90_90;ENSMUST00000087122_90_90;ENSMUST00000113587_90_90;ENSMUST00000113588_90_90;ENSMUST00000113589_90_90;ENSMUST00000113590_90_90;ENSMUST00000122266_90_90;ENSMUST00000125306_90_90;ENSMUST00000132228_90_90;ENSMUST00000137868_90_90;ENSMUST00000148515_90_90
ENSCAFT00000024611_90_90;1.0;0.486;0.015;0.015;0.015;0.375;0.178;0.03;0.014;0.178;0.25;0.205;0.104;0.125;0.0;0.44;0.015;0.015;0.015;0.378;0.015;0.203;0.104;0.342;0.292
ENST00000312358_90_90;0.486;1.0;0.024;0.024;0.024;0.532;0.0;0.05;0.024;0.0;0.26;0.173;0.175;0.059;0.0;0.841;0.024;0.024;0.024;0.5;0.024;0.057;0.175;0.614;0.245
ENST00000396686_90_90;0.015;0.024;1.0;1.0;1.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;1.0;1.0;1.0;0.057;1.0;0.0;0.0;0.031;0.0
ENST00000396688_90_90;0.015;0.024;1.0;1.0;1.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;1.0;1.0;1.0;0.057;1.0;0.0;0.0;0.031;0.0
ENST00000396689_90_90;0.015;0.024;1.0;1.0;1.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024;1.0;1.0;1.0;0.057;1.0;0.0;0.0;0.031;0.0
ENST00000396698_90_90;0.375;0.532;0.062;0.062;0.062;1.0;0.133;0.062;0.0;0.133;0.528;0.293;0.219;0.243;0.0;0.521;0.062;0.062;0.062;0.914;0.062;0.231;0.219;0.37;0.487
ENST00000403148_90_90;0.178;0.0;0.0;0.0;0.0;0.133;1.0;0.0;0.0;1.0;0.167;0.081;0.0;0.222;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.4;0.0;0.0;0.216
ENST00000409595_90_90;0.03;0.05;0.0;0.0;0.0;0.062;0.0;1.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.049;0.0;0.0;0.0;0.057;0.0;0.0;0.286;0.031;0.0
ENST00000412982_90_90;0.014;0.024;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.333;0.023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0
ENST00000420132_90_90;0.178;0.0;0.0;0.0;0.0;0.133;1.0;0.0;0.0;1.0;0.167;0.081;0.0;0.222;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.4;0.0;0.0;0.216
ENST00000431523_90_90;0.25;0.26;0.0;0.0;0.0;0.528;0.167;0.0;0.0;0.167;1.0;0.571;0.2;0.542;0.0;0.255;0.0;0.0;0.0;0.487;0.0;0.345;0.111;0.149;0.69
ENST00000435853_90_90;0.205;0.173;0.0;0.0;0.0;0.293;0.081;0.0;0.0;0.081;0.571;1.0;0.217;0.458;0.0;0.17;0.0;0.0;0.0;0.273;0.0;0.233;0.12;0.061;0.382
ENST00000451076_90_90;0.104;0.175;0.0;0.0;0.0;0.219;0.0;0.125;0.0;0.0;0.2;0.217;1.0;0.05;0.0;0.171;0.0;0.0;0.0;0.2;0.0;0.045;0.273;0.056;0.179
ENST00000452101_90_90;0.125;0.059;0.0;0.0;0.0;0.243;0.222;0.0;0.0;0.222;0.542;0.458;0.05;1.0;0.0;0.058;0.0;0.0;0.0;0.225;0.0;0.5;0.05;0.0;0.333
ENST00000617028_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.333;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
