;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;0.38;0.38;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.926;0.926;1.0;0.705;1.0
transcript8_ENSRNOG00000031503;1.0;1.0;1.0;1.0;1.0;0.399;0.401;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.914;0.914;1.0;0.694;1.0
transcript36_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;0.38;0.38;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.926;0.926;1.0;0.705;1.0
transcript37_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;0.38;0.38;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.926;0.926;1.0;0.705;1.0
transcript37_ENSCGRG00001010245;1.0;1.0;1.0;1.0;1.0;0.38;0.375;0.312;0.327;0.312;0.322;0.312;0.312;0.32;0.328;0.335;0.319;0.33;0.33;0.323;0.308;0.312;0.286;0.286;0.312;0.22;0.312
transcript38_MGP-PahariEiJ-G0020237;0.38;0.399;0.38;0.38;0.38;1.0;1.0;0.38;0.38;0.38;0.381;0.38;0.38;0.38;0.38;0.38;0.38;0.381;0.381;0.381;0.38;0.38;0.318;0.318;0.38;0.084;0.38
transcript38_ENSCGRG00001010245;0.38;0.401;0.38;0.38;0.375;1.0;1.0;0.117;0.123;0.117;0.123;0.117;0.117;0.12;0.123;0.126;0.12;0.126;0.126;0.123;0.114;0.117;0.095;0.095;0.117;0.025;0.117
transcript32_ENSCGRG00015005362;1.0;1.0;1.0;1.0;0.312;0.38;0.117;1.0;0.952;1.0;0.996;1.0;1.0;0.973;0.95;0.929;0.977;0.969;0.969;0.991;1.0;1.0;0.978;0.978;1.0;0.906;1.0
transcript33_ENSCGRG00015005362;1.0;1.0;1.0;1.0;0.327;0.38;0.123;0.952;1.0;0.952;0.965;0.952;0.952;0.926;0.903;0.976;0.929;0.939;0.939;0.961;0.927;0.952;0.905;0.905;0.952;0.858;0.952
transcript22_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.312;0.38;0.117;1.0;0.952;1.0;0.996;1.0;1.0;0.973;0.95;0.929;0.977;0.969;0.969;0.991;1.0;1.0;0.978;0.978;1.0;0.906;1.0
