;ENSCAFT00000013778_90_90;ENST00000320672_90_90;ENST00000504985_90_90;ENST00000505980_90_90;ENST00000509013_90_90;ENST00000509053_90_90;ENST00000512923_90_90;ENST00000514493_90_90;ENST00000515395_90_90;ENST00000615665_90_90;ENSMUST00000004094_90_90;ENSMUST00000042122_90_90;ENSMUST00000138488_90_90
ENSCAFT00000013778_90_90;1.0;0.879;0.595;0.823;0.489;0.734;0.601;0.809;0.78;0.847;0.936;0.864;0.155
ENST00000320672_90_90;0.879;1.0;0.643;0.939;0.535;0.846;0.556;0.925;0.886;0.958;0.83;0.76;0.12
ENST00000504985_90_90;0.595;0.643;1.0;0.585;0.287;0.496;0.748;0.571;0.613;0.685;0.595;0.525;0.0
ENST00000505980_90_90;0.823;0.939;0.585;1.0;0.478;0.785;0.499;0.864;0.828;0.899;0.774;0.706;0.127
ENST00000509013_90_90;0.489;0.535;0.287;0.478;1.0;0.502;0.301;0.465;0.446;0.514;0.448;0.38;0.09
ENST00000509053_90_90;0.734;0.846;0.496;0.785;0.502;1.0;0.411;0.915;0.873;0.81;0.688;0.74;0.141
ENST00000512923_90_90;0.601;0.556;0.748;0.499;0.301;0.411;1.0;0.485;0.469;0.537;0.601;0.529;0.0
ENST00000514493_90_90;0.809;0.925;0.571;0.864;0.465;0.915;0.485;1.0;0.955;0.886;0.76;0.82;0.129
ENST00000515395_90_90;0.78;0.886;0.613;0.828;0.446;0.873;0.469;0.955;1.0;0.928;0.734;0.79;0.124
ENST00000615665_90_90;0.847;0.958;0.685;0.899;0.514;0.81;0.537;0.886;0.928;1.0;0.801;0.734;0.115
ENSMUST00000004094_90_90;0.936;0.83;0.595;0.774;0.448;0.688;0.601;0.76;0.734;0.801;1.0;0.925;0.155
ENSMUST00000042122_90_90;0.864;0.76;0.525;0.706;0.38;0.74;0.529;0.82;0.79;0.734;0.925;1.0;0.167
ENSMUST00000138488_90_90;0.155;0.12;0.0;0.127;0.09;0.141;0.0;0.129;0.124;0.115;0.155;0.167;1.0
