;ENSCAFT00000031036_90_90;ENSCAFT00000043222_90_90;ENST00000164247_90_90;ENST00000341524_90_90;ENST00000352527_90_90;ENST00000378083_90_90;ENST00000378092_90_90;ENST00000378097_90_90;ENST00000378111_90_90;ENST00000389632_90_90;ENST00000428161_90_90;ENST00000445501_90_90;ENST00000458166_90_90;ENST00000462676_90_90;ENST00000472700_90_90;ENST00000602612_90_90;ENSMUST00000030768_90_90;ENSMUST00000105648_90_90;ENSMUST00000159186_90_90;ENSMUST00000159840_90_90;ENSMUST00000160884_90_90;ENSMUST00000161236_90_90;ENSMUST00000162017_90_90
ENSCAFT00000031036_90_90;1.0;0.714;0.789;0.789;0.789;0.632;0.789;0.789;0.421;0.579;0.684;0.263;0.474;0.105;0.368;0.789;0.947;0.947;1.0;0.947;0.947;0.526;0.211
ENSCAFT00000043222_90_90;0.714;1.0;0.579;0.579;0.579;0.8;0.579;0.579;0.211;0.368;0.474;0.053;0.6;0.133;0.294;0.579;0.737;0.737;0.789;0.737;0.737;0.316;0.0
ENST00000164247_90_90;0.789;0.579;1.0;1.0;0.917;0.556;0.917;1.0;0.52;0.75;0.68;0.417;0.542;0.037;0.333;0.846;0.792;0.875;0.808;0.792;0.875;0.636;0.381
ENST00000341524_90_90;0.789;0.579;1.0;1.0;0.917;0.556;0.917;1.0;0.52;0.75;0.68;0.417;0.542;0.037;0.333;0.846;0.792;0.875;0.808;0.792;0.875;0.636;0.381
ENST00000352527_90_90;0.789;0.579;0.917;0.917;1.0;0.6;1.0;0.917;0.44;0.667;0.739;0.333;0.591;0.04;0.259;0.769;0.864;0.792;0.731;0.864;0.792;0.545;0.35
ENST00000378083_90_90;0.632;0.8;0.556;0.556;0.6;1.0;0.6;0.556;0.143;0.333;0.385;0.037;0.722;0.048;0.154;0.448;0.5;0.462;0.538;0.5;0.462;0.208;0.0
ENST00000378092_90_90;0.789;0.579;0.917;0.917;1.0;0.6;1.0;0.917;0.44;0.667;0.739;0.333;0.591;0.04;0.259;0.769;0.864;0.792;0.731;0.864;0.792;0.545;0.35
ENST00000378097_90_90;0.789;0.579;1.0;1.0;0.917;0.556;0.917;1.0;0.52;0.75;0.68;0.417;0.542;0.037;0.333;0.846;0.792;0.875;0.808;0.792;0.875;0.636;0.381
ENST00000378111_90_90;0.421;0.211;0.52;0.52;0.44;0.143;0.44;0.52;1.0;0.684;0.524;0.714;0.08;0.059;0.529;0.52;0.458;0.542;0.5;0.458;0.542;0.867;0.615
ENST00000389632_90_90;0.579;0.368;0.75;0.75;0.667;0.333;0.667;0.75;0.684;1.0;0.8;0.556;0.292;0.048;0.429;0.75;0.625;0.708;0.654;0.625;0.708;0.778;0.471
ENST00000428161_90_90;0.684;0.474;0.68;0.68;0.739;0.385;0.739;0.68;0.524;0.8;1.0;0.4;0.348;0.048;0.304;0.68;0.773;0.708;0.654;0.773;0.708;0.6;0.389
ENST00000445501_90_90;0.263;0.053;0.417;0.417;0.333;0.037;0.333;0.417;0.714;0.556;0.4;1.0;0.0;0.0;0.375;0.417;0.333;0.417;0.385;0.333;0.417;0.667;0.8
ENST00000458166_90_90;0.474;0.6;0.542;0.542;0.591;0.722;0.591;0.542;0.08;0.292;0.348;0.0;1.0;0.062;0.087;0.423;0.455;0.417;0.385;0.455;0.417;0.136;0.0
ENST00000462676_90_90;0.105;0.133;0.037;0.037;0.04;0.048;0.04;0.037;0.059;0.048;0.048;0.0;0.062;1.0;0.231;0.037;0.091;0.083;0.077;0.091;0.083;0.133;0.0
ENST00000472700_90_90;0.368;0.294;0.333;0.333;0.259;0.154;0.259;0.333;0.529;0.429;0.304;0.375;0.087;0.231;1.0;0.333;0.333;0.417;0.385;0.333;0.417;0.667;0.286
ENST00000602612_90_90;0.789;0.579;0.846;0.846;0.769;0.448;0.769;0.846;0.52;0.75;0.68;0.417;0.423;0.037;0.333;1.0;0.792;0.875;0.808;0.792;0.875;0.636;0.381
ENSMUST00000030768_90_90;0.947;0.737;0.792;0.792;0.864;0.5;0.864;0.792;0.458;0.625;0.773;0.333;0.455;0.091;0.333;0.792;1.0;0.917;0.846;1.0;0.917;0.542;0.304
ENSMUST00000105648_90_90;0.947;0.737;0.875;0.875;0.792;0.462;0.792;0.875;0.542;0.708;0.708;0.417;0.417;0.083;0.417;0.875;0.917;1.0;0.923;0.917;1.0;0.625;0.333
ENSMUST00000159186_90_90;1.0;0.789;0.808;0.808;0.731;0.538;0.731;0.808;0.5;0.654;0.654;0.385;0.385;0.077;0.385;0.808;0.846;0.923;1.0;0.846;0.923;0.577;0.308
ENSMUST00000159840_90_90;0.947;0.737;0.792;0.792;0.864;0.5;0.864;0.792;0.458;0.625;0.773;0.333;0.455;0.091;0.333;0.792;1.0;0.917;0.846;1.0;0.917;0.542;0.304
ENSMUST00000160884_90_90;0.947;0.737;0.875;0.875;0.792;0.462;0.792;0.875;0.542;0.708;0.708;0.417;0.417;0.083;0.417;0.875;0.917;1.0;0.923;0.917;1.0;0.625;0.333
ENSMUST00000161236_90_90;0.526;0.316;0.636;0.636;0.545;0.208;0.545;0.636;0.867;0.778;0.6;0.667;0.136;0.133;0.667;0.636;0.542;0.625;0.577;0.542;0.625;1.0;0.533
ENSMUST00000162017_90_90;0.211;0.0;0.381;0.381;0.35;0.0;0.35;0.381;0.615;0.471;0.389;0.8;0.0;0.0;0.286;0.381;0.304;0.333;0.308;0.304;0.333;0.533;1.0
