;transcript2_ENSMLUG00000027828;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript7_ENSNGAG00000018584;transcript8_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript2_ENSSTOG00000019743;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;1.0;0.605;0.646;1.0;0.397;0.85;0.851;0.845;0.811;0.82;1.0;1.0
transcript17_ENSMUGG00000013649;1.0;1.0;0.991;0.991;1.0;0.471;0.851;0.851;0.842;0.842;0.842;1.0;1.0
transcript17_ENSMUGG00000013592;0.605;0.991;1.0;0.949;0.941;0.402;0.562;0.562;0.555;0.579;0.573;0.604;0.604
transcript29_ENSMUGG00000013592;0.646;0.991;0.949;1.0;0.991;0.38;0.598;0.598;0.592;0.616;0.61;0.647;0.647
transcript8_ENSPEMG00000024651;1.0;1.0;0.941;0.991;1.0;0.444;0.852;0.852;0.843;0.843;0.843;1.0;1.0
transcript7_ENSNGAG00000018584;0.397;0.471;0.402;0.38;0.444;1.0;0.406;0.407;0.474;0.428;0.491;0.396;0.396
transcript8_ENSNGAG00000018584;0.85;0.851;0.562;0.598;0.852;0.406;1.0;1.0;0.915;0.874;0.886;0.851;0.851
transcript9_ENSNGAG00000018584;0.851;0.851;0.562;0.598;0.852;0.407;1.0;1.0;0.915;0.875;0.886;0.851;0.851
transcript10_ENSNGAG00000018584;0.845;0.842;0.555;0.592;0.843;0.474;0.915;0.915;1.0;0.958;0.97;0.846;0.846
transcript18_ENSNGAG00000018584;0.811;0.842;0.579;0.616;0.843;0.428;0.874;0.875;0.958;1.0;0.928;0.811;0.811
transcript19_ENSNGAG00000018584;0.82;0.842;0.573;0.61;0.843;0.491;0.886;0.886;0.97;0.928;1.0;0.821;0.821
transcript2_ENSSTOG00000019743;1.0;1.0;0.604;0.647;1.0;0.396;0.851;0.851;0.846;0.811;0.821;1.0;1.0
transcript15_ENSSTOG00000019743;1.0;1.0;0.604;0.647;1.0;0.396;0.851;0.851;0.846;0.811;0.821;1.0;1.0
