;ENSCAFT00000007541_90_90;ENST00000260643_90_90;ENST00000406567_90_90;ENST00000430533_90_90;ENST00000441451_90_90;ENST00000444452_90_90;ENST00000456259_90_90;ENSMUST00000074840_90_90;ENSMUST00000201002_90_90;ENSMUST00000201821_90_90;ENSMUST00000202567_90_90
ENSCAFT00000007541_90_90;1.0;0.972;0.825;0.309;0.095;0.112;0.374;1.0;0.435;0.193;0.841
ENST00000260643_90_90;0.972;1.0;0.831;0.327;0.084;0.135;0.366;0.974;0.388;0.193;0.819
ENST00000406567_90_90;0.825;0.831;1.0;0.157;0.033;0.164;0.245;0.831;0.247;0.226;0.675
ENST00000430533_90_90;0.309;0.327;0.157;1.0;0.208;0.0;0.499;0.3;0.416;0.102;0.355
ENST00000441451_90_90;0.095;0.084;0.033;0.208;1.0;0.0;0.161;0.091;0.113;0.0;0.107
ENST00000444452_90_90;0.112;0.135;0.164;0.0;0.0;1.0;0.0;0.135;0.0;0.0;0.159
ENST00000456259_90_90;0.374;0.366;0.245;0.499;0.161;0.0;1.0;0.35;0.356;0.084;0.232
ENSMUST00000074840_90_90;1.0;0.974;0.831;0.3;0.091;0.135;0.35;1.0;0.394;0.189;0.845
ENSMUST00000201002_90_90;0.435;0.388;0.247;0.416;0.113;0.0;0.356;0.394;1.0;0.134;0.399
ENSMUST00000201821_90_90;0.193;0.193;0.226;0.102;0.0;0.0;0.084;0.189;0.134;1.0;0.223
ENSMUST00000202567_90_90;0.841;0.819;0.675;0.355;0.107;0.159;0.232;0.845;0.399;0.223;1.0
