;ENSCAFT00000029482_90_90;ENST00000237247_90_90;ENST00000371037_90_90;ENST00000371039_90_90;ENST00000424320_90_90;ENST00000435165_90_90;ENSMUST00000066824_90_90;ENSMUST00000072481_90_90;ENSMUST00000080728_90_90;ENSMUST00000106882_90_90;ENSMUST00000149547_90_90;ENSMUST00000156596_90_90;ENSMUST00000183855_90_90
ENSCAFT00000029482_90_90;;0.544;0.562;0.538;0.261;0.208;0.49;0.469;0.762;0.782;0.429;0.032;0.149
ENST00000237247_90_90;0.544;;;;;;0.394;0.376;0.528;0.544;0.298;0.08;0.155
ENST00000371037_90_90;0.562;;;;;;0.385;0.366;0.501;0.519;0.316;0.031;0.156
ENST00000371039_90_90;0.538;;;;;;0.407;0.417;0.487;0.477;0.38;0.043;0.149
ENST00000424320_90_90;0.261;;;;;;0.303;0.314;0.231;0.226;0.21;0.091;0.459
ENST00000435165_90_90;0.208;;;;;;0.254;0.223;0.176;0.196;0.454;0.0;0.0
ENSMUST00000066824_90_90;0.49;0.394;0.385;0.407;0.303;0.254;;;;;;;
ENSMUST00000072481_90_90;0.469;0.376;0.366;0.417;0.314;0.223;;;;;;;
ENSMUST00000080728_90_90;0.762;0.528;0.501;0.487;0.231;0.176;;;;;;;
ENSMUST00000106882_90_90;0.782;0.544;0.519;0.477;0.226;0.196;;;;;;;
ENSMUST00000149547_90_90;0.429;0.298;0.316;0.38;0.21;0.454;;;;;;;
ENSMUST00000156596_90_90;0.032;0.08;0.031;0.043;0.091;0.0;;;;;;;
ENSMUST00000183855_90_90;0.149;0.155;0.156;0.149;0.459;0.0;;;;;;;
