;ENSCAFT00000031829_90_90;ENST00000327812_90_90;ENST00000372546_90_90;ENST00000406974_90_90;ENST00000412363_90_90;ENSMUST00000028209_90_90;ENSMUST00000113612_90_90;ENSMUST00000123202_90_90;ENSMUST00000137248_90_90;ENSMUST00000155196_90_90
ENSCAFT00000031829_90_90;1.0;0.463;1.0;0.864;0.413;0.915;0.783;0.476;0.397;0.351
ENST00000327812_90_90;0.463;1.0;0.463;0.531;0.905;0.397;0.458;0.106;0.853;0.771
ENST00000372546_90_90;1.0;0.463;1.0;0.864;0.413;0.915;0.783;0.476;0.397;0.351
ENST00000406974_90_90;0.864;0.531;0.864;1.0;0.477;0.783;0.907;0.341;0.458;0.407
ENST00000412363_90_90;0.413;0.905;0.413;0.477;1.0;0.351;0.407;0.114;0.771;0.83
ENSMUST00000028209_90_90;0.915;0.397;0.915;0.783;0.351;1.0;0.864;0.476;0.463;0.413
ENSMUST00000113612_90_90;0.783;0.458;0.783;0.907;0.407;0.864;1.0;0.341;0.531;0.477
ENSMUST00000123202_90_90;0.476;0.106;0.476;0.341;0.114;0.476;0.341;1.0;0.106;0.114
ENSMUST00000137248_90_90;0.397;0.853;0.397;0.458;0.771;0.463;0.531;0.106;1.0;0.905
ENSMUST00000155196_90_90;0.351;0.771;0.351;0.407;0.83;0.413;0.477;0.114;0.905;1.0
