;ENSCAFT00000017839_90_90;ENSCAFT00000046942_90_90;ENST00000229395_90_90;ENST00000327214_90_90;ENST00000544111_90_90;ENST00000546072_90_90;ENSMUST00000037836_90_90;ENSMUST00000058245_90_90;ENSMUST00000067404_90_90;ENSMUST00000111663_90_90
ENSCAFT00000017839_90_90;1.0;0.8;0.8;1.0;0.306;0.459;0.459;0.459;1.0;0.8
ENSCAFT00000046942_90_90;0.8;1.0;1.0;0.8;0.243;0.633;0.633;0.633;0.8;1.0
ENST00000229395_90_90;0.8;1.0;1.0;0.8;0.243;0.633;0.633;0.633;0.8;1.0
ENST00000327214_90_90;1.0;0.8;0.8;1.0;0.306;0.459;0.459;0.459;1.0;0.8
ENST00000544111_90_90;0.306;0.243;0.243;0.306;1.0;0.299;0.299;0.299;0.306;0.243
ENST00000546072_90_90;0.459;0.633;0.633;0.459;0.299;1.0;1.0;1.0;0.459;0.633
ENSMUST00000037836_90_90;0.459;0.633;0.633;0.459;0.299;1.0;1.0;1.0;0.459;0.633
ENSMUST00000058245_90_90;0.459;0.633;0.633;0.459;0.299;1.0;1.0;1.0;0.459;0.633
ENSMUST00000067404_90_90;1.0;0.8;0.8;1.0;0.306;0.459;0.459;0.459;1.0;0.8
ENSMUST00000111663_90_90;0.8;1.0;1.0;0.8;0.243;0.633;0.633;0.633;0.8;1.0
