;ENSCAFT00000002592_90_90;ENST00000380321_90_90;ENST00000380338_90_90;ENST00000629733_90_90;ENST00000630269_90_90;ENSMUST00000078090_90_90;ENSMUST00000126353_90_90;ENSMUST00000142454_90_90;ENSMUST00000148059_90_90;ENSMUST00000149357_90_90
ENSCAFT00000002592_90_90;1.0;0.325;0.914;0.212;0.84;0.883;0.212;0.087;0.139;0.325
ENST00000380321_90_90;0.325;1.0;0.325;0.676;0.326;0.309;0.676;0.0;0.416;1.0
ENST00000380338_90_90;0.914;0.325;1.0;0.212;0.912;0.883;0.212;0.087;0.139;0.325
ENST00000629733_90_90;0.212;0.676;0.212;1.0;0.213;0.205;1.0;0.0;0.311;0.676
ENST00000630269_90_90;0.84;0.326;0.912;0.213;1.0;0.816;0.213;0.087;0.139;0.326
ENSMUST00000078090_90_90;0.883;0.309;0.883;0.205;0.816;1.0;0.205;0.123;0.131;0.309
ENSMUST00000126353_90_90;0.212;0.676;0.212;1.0;0.213;0.205;1.0;0.0;0.311;0.676
ENSMUST00000142454_90_90;0.087;0.0;0.087;0.0;0.087;0.123;0.0;1.0;0.0;0.0
ENSMUST00000148059_90_90;0.139;0.416;0.139;0.311;0.139;0.131;0.311;0.0;1.0;0.416
ENSMUST00000149357_90_90;0.325;1.0;0.325;0.676;0.326;0.309;0.676;0.0;0.416;1.0
