;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript47_ENSMUGG00000013649;transcript42_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript44_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;1.0;1.0;0.125;0.125;1.0;1.0;0.938;0.688;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript8_ENSMUSG00000054036;1.0;1.0;1.0;0.667;0.118;0.118;0.696;0.667;0.652;0.458;0.667;0.682;0.667;0.667;0.682;0.682;0.682;0.682;0.667
transcript8_ENSRNOG00000031503;1.0;1.0;1.0;1.0;0.2;0.2;0.667;0.667;0.6;0.467;0.667;0.692;0.667;0.667;0.692;0.692;0.692;0.692;0.667
transcript47_MGP-SPRETEiJ-G0021131;1.0;0.667;1.0;1.0;1.0;1.0;0.667;1.0;0.333;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript47_ENSMUSG00000054036;0.125;0.118;0.2;1.0;1.0;1.0;0.083;0.133;0.042;0.158;0.125;0.136;0.125;0.125;0.136;0.136;0.136;0.136;0.125
transcript47_ENSMUGG00000013649;0.125;0.118;0.2;1.0;1.0;1.0;0.083;0.133;0.042;0.158;0.048;0.065;0.045;0.046;0.06;0.064;0.062;0.067;0.044
transcript42_ENSMUSG00000054036;1.0;0.696;0.667;0.667;0.083;0.083;1.0;1.0;0.957;0.75;0.958;0.955;0.958;0.958;0.955;0.955;0.955;0.955;0.958
transcript42_ENSRNOG00000031503;1.0;0.667;0.667;1.0;0.133;0.133;1.0;1.0;0.933;0.8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript54_ENSMUSG00000054036;0.938;0.652;0.6;0.333;0.042;0.042;0.957;0.933;1.0;0.708;0.917;0.909;0.917;0.917;0.909;0.909;0.909;0.909;0.917
transcript55_ENSMUSG00000054036;0.688;0.458;0.467;1.0;0.158;0.158;0.75;0.8;0.708;1.0;0.792;0.818;0.792;0.792;0.818;0.818;0.818;0.818;0.792
transcript7_ENSMUGG00000013649;1.0;0.667;0.667;1.0;0.125;0.048;0.958;1.0;0.917;0.792;1.0;1.0;0.897;0.868;0.92;0.979;0.88;0.82;0.912
transcript7_ENSMUGG00000013592;1.0;0.682;0.692;1.0;0.136;0.065;0.955;1.0;0.909;0.818;1.0;1.0;0.9;0.88;0.92;0.979;0.88;0.82;0.92
transcript44_ENSMUGG00000013649;1.0;0.667;0.667;1.0;0.125;0.045;0.958;1.0;0.917;0.792;0.897;0.9;1.0;0.97;0.98;0.92;0.94;0.88;0.985
transcript48_ENSMUGG00000013649;1.0;0.667;0.667;1.0;0.125;0.046;0.958;1.0;0.917;0.792;0.868;0.88;0.97;1.0;0.96;0.9;0.92;0.86;0.956
transcript28_ENSMUGG00000013592;1.0;0.682;0.692;1.0;0.136;0.06;0.955;1.0;0.909;0.818;0.92;0.92;0.98;0.96;1.0;0.94;0.96;0.9;1.0
transcript52_ENSMUGG00000013592;1.0;0.682;0.692;1.0;0.136;0.064;0.955;1.0;0.909;0.818;0.979;0.979;0.92;0.9;0.94;1.0;0.9;0.84;0.94
transcript53_ENSMUGG00000013592;1.0;0.682;0.692;1.0;0.136;0.062;0.955;1.0;0.909;0.818;0.88;0.88;0.94;0.92;0.96;0.9;1.0;0.86;0.96
transcript54_ENSMUGG00000013592;1.0;0.682;0.692;1.0;0.136;0.067;0.955;1.0;0.909;0.818;0.82;0.82;0.88;0.86;0.9;0.84;0.86;1.0;0.9
transcript25_ENSPEMG00000024651;1.0;0.667;0.667;1.0;0.125;0.044;0.958;1.0;0.917;0.792;0.912;0.92;0.985;0.956;1.0;0.94;0.96;0.9;1.0
