;ENSCAFT00000011051_90_90;ENSCAFT00000039005_90_90;ENST00000319836_90_90;ENST00000395769_90_90;ENST00000453424_90_90;ENST00000453980_90_90;ENSMUST00000079012_90_90;ENSMUST00000101032_90_90;ENSMUST00000123405_90_90;ENSMUST00000126376_90_90;ENSMUST00000129170_90_90;ENSMUST00000135901_90_90;ENSMUST00000140884_90_90;ENSMUST00000203116_90_90;ENSMUST00000203193_90_90;ENSMUST00000204657_90_90
ENSCAFT00000011051_90_90;1.0;0.531;0.938;0.938;0.593;0.385;0.729;0.729;0.472;0.0;0.0;0.742;0.213;0.113;0.768;0.476
ENSCAFT00000039005_90_90;0.531;1.0;0.5;0.5;0.726;0.132;0.489;0.489;0.719;0.0;0.0;0.424;0.105;0.084;0.556;0.304
ENST00000319836_90_90;0.938;0.5;1.0;1.0;0.641;0.447;0.738;0.738;0.482;0.0;0.0;0.752;0.233;0.108;0.777;0.489
ENST00000395769_90_90;0.938;0.5;1.0;1.0;0.641;0.447;0.738;0.738;0.482;0.0;0.0;0.752;0.233;0.108;0.777;0.489
ENST00000453424_90_90;0.593;0.726;0.641;0.641;1.0;0.305;0.482;0.482;0.82;0.0;0.0;0.475;0.166;0.062;0.488;0.329
ENST00000453980_90_90;0.385;0.132;0.447;0.447;0.305;1.0;0.279;0.279;0.197;0.0;0.0;0.41;0.453;0.0;0.267;0.361
ENSMUST00000079012_90_90;0.729;0.489;0.738;0.738;0.482;0.279;1.0;1.0;0.627;0.052;0.12;0.719;0.406;0.114;0.832;0.709
ENSMUST00000101032_90_90;0.729;0.489;0.738;0.738;0.482;0.279;1.0;1.0;0.627;0.052;0.12;0.719;0.406;0.114;0.832;0.709
ENSMUST00000123405_90_90;0.472;0.719;0.482;0.482;0.82;0.197;0.627;0.627;1.0;0.035;0.077;0.454;0.27;0.065;0.517;0.456
ENSMUST00000126376_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.052;0.052;0.035;1.0;0.422;0.0;0.13;0.0;0.0;0.072
ENSMUST00000129170_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.12;0.12;0.077;0.422;1.0;0.0;0.32;0.0;0.0;0.171
ENSMUST00000135901_90_90;0.742;0.424;0.752;0.752;0.475;0.41;0.719;0.719;0.454;0.0;0.0;1.0;0.307;0.14;0.761;0.634
ENSMUST00000140884_90_90;0.213;0.105;0.233;0.233;0.166;0.453;0.406;0.406;0.27;0.13;0.32;0.307;1.0;0.0;0.237;0.559
ENSMUST00000203116_90_90;0.113;0.084;0.108;0.108;0.062;0.0;0.114;0.114;0.065;0.0;0.0;0.14;0.0;1.0;0.134;0.171
ENSMUST00000203193_90_90;0.768;0.556;0.777;0.777;0.488;0.267;0.832;0.832;0.517;0.0;0.0;0.761;0.237;0.134;1.0;0.54
ENSMUST00000204657_90_90;0.476;0.304;0.489;0.489;0.329;0.361;0.709;0.709;0.456;0.072;0.171;0.634;0.559;0.171;0.54;1.0
