;ENSCAFT00000020949_90_90;ENST00000258909_90_90;ENST00000322019_90_90;ENST00000379384_90_90;ENST00000379390_90_90;ENST00000561551_90_90;ENST00000565774_90_90;ENST00000565982_90_90;ENSMUST00000041890_90_90;ENSMUST00000119543_90_90;ENSMUST00000126334_90_90
ENSCAFT00000020949_90_90;1.0;0.035;0.599;0.0;0.117;0.171;0.437;0.149;0.624;0.639;0.0
ENST00000258909_90_90;0.035;1.0;0.246;0.756;0.608;0.0;0.28;0.111;0.183;0.098;0.508
ENST00000322019_90_90;0.599;0.246;1.0;0.215;0.366;0.128;0.833;0.375;0.93;0.864;0.204
ENST00000379384_90_90;0.0;0.756;0.215;1.0;0.502;0.0;0.244;0.115;0.155;0.07;0.609
ENST00000379390_90_90;0.117;0.608;0.366;0.502;1.0;0.124;0.427;0.174;0.302;0.221;0.323
ENST00000561551_90_90;0.171;0.0;0.128;0.0;0.124;1.0;0.161;0.0;0.136;0.149;0.0
ENST00000565774_90_90;0.437;0.28;0.833;0.244;0.427;0.161;1.0;0.269;0.764;0.694;0.231
ENST00000565982_90_90;0.149;0.111;0.375;0.115;0.174;0.0;0.269;1.0;0.383;0.456;0.217
ENSMUST00000041890_90_90;0.624;0.183;0.93;0.155;0.302;0.136;0.764;0.383;1.0;0.852;0.268
ENSMUST00000119543_90_90;0.639;0.098;0.864;0.07;0.221;0.149;0.694;0.456;0.852;1.0;0.119
ENSMUST00000126334_90_90;0.0;0.508;0.204;0.609;0.323;0.0;0.231;0.217;0.268;0.119;1.0
