;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;1.0;0.333;0.256;0.333;0.385;0.333;0.375;0.312;0.395;0.026;0.349;0.109;0.0;0.062;0.0;0.109;0.0;0.037
ENST00000367378_90_90;0.333;1.0;0.645;0.938;0.697;1.0;0.676;0.257;0.719;0.355;0.935;0.34;0.0;0.152;0.143;0.312;0.062;0.289
ENST00000367380_90_90;0.256;0.645;1.0;0.594;0.364;0.645;0.353;0.375;0.375;0.148;0.581;0.156;0.0;0.0;0.208;0.13;0.095;0.175
ENST00000367384_90_90;0.333;0.938;0.594;1.0;0.697;0.938;0.676;0.257;0.719;0.355;0.875;0.312;0.0;0.152;0.143;0.34;0.062;0.261
ENST00000460828_90_90;0.385;0.697;0.364;0.697;1.0;0.697;0.821;0.31;0.885;0.241;0.742;0.239;0.0;0.237;0.0;0.239;0.0;0.182
ENST00000464889_90_90;0.333;1.0;0.645;0.938;0.697;1.0;0.676;0.257;0.719;0.355;0.935;0.34;0.0;0.152;0.143;0.312;0.062;0.289
ENST00000484601_90_90;0.375;0.676;0.353;0.676;0.821;0.676;1.0;0.3;0.852;0.233;0.719;0.261;0.0;0.263;0.0;0.261;0.0;0.205
ENST00000486585_90_90;0.312;0.257;0.375;0.257;0.31;0.257;0.3;1.0;0.321;0.0;0.273;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000494411_90_90;0.395;0.719;0.375;0.719;0.885;0.719;0.852;0.321;1.0;0.25;0.767;0.191;0.0;0.179;0.0;0.191;0.0;0.133
ENST00000495487_90_90;0.026;0.355;0.148;0.355;0.241;0.355;0.233;0.0;0.25;1.0;0.29;0.265;0.0;0.179;0.25;0.265;0.167;0.31
ENST00000544496_90_90;0.349;0.935;0.581;0.875;0.742;0.935;0.719;0.273;0.767;0.29;1.0;0.298;0.0;0.159;0.086;0.271;0.032;0.244
ENSMUST00000159917_90_90;0.109;0.34;0.156;0.312;0.239;0.34;0.261;0.0;0.191;0.265;0.298;1.0;0.03;0.588;0.242;0.939;0.094;0.844
ENSMUST00000159977_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;1.0;0.091;0.1;0.03;0.25;0.036
ENSMUST00000161123_90_90;0.062;0.152;0.0;0.152;0.237;0.152;0.263;0.0;0.179;0.179;0.159;0.588;0.091;1.0;0.069;0.588;0.042;0.633
ENSMUST00000161428_90_90;0.0;0.143;0.208;0.143;0.0;0.143;0.0;0.0;0.0;0.25;0.086;0.242;0.1;0.069;1.0;0.242;0.333;0.286
ENSMUST00000162606_90_90;0.109;0.312;0.13;0.34;0.239;0.312;0.261;0.0;0.191;0.265;0.271;0.939;0.03;0.588;0.242;1.0;0.094;0.788
ENSMUST00000162682_90_90;0.0;0.062;0.095;0.062;0.0;0.062;0.0;0.0;0.0;0.167;0.032;0.094;0.25;0.042;0.333;0.094;1.0;0.111
ENSMUST00000163085_90_90;0.037;0.289;0.175;0.261;0.182;0.289;0.205;0.0;0.133;0.31;0.244;0.844;0.036;0.633;0.286;0.788;0.111;1.0
