;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript7_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript54_ENSMUSG00000054036;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript57_MGP-PahariEiJ-G0020237;transcript70_MGP-SPRETEiJ-G0021131
transcript7_ENSMSIG00000000513;1.0;0.923;0.954;0.663;0.736;0.786;0.764;0.768;0.68;0.767;0.713;0.682;0.675;0.676;0.669;0.74;0.691;0.683;0.671;0.691;0.631;0.654
transcript7_ENSMUSG00000054036;0.923;1.0;0.892;0.64;0.701;0.741;0.727;0.724;0.699;0.726;0.681;0.657;0.649;0.651;0.643;0.696;0.655;0.661;0.648;0.667;0.61;0.631
transcript7_MGP-SPRETEiJ-G0021131;0.954;0.892;1.0;0.684;0.711;0.752;0.729;0.734;0.658;0.728;0.682;0.706;0.65;0.7;0.643;0.706;0.664;0.706;0.693;0.713;0.612;0.675
transcript71_MGP-SPRETEiJ-G0021131;0.663;0.64;0.684;1.0;0.671;0.681;0.661;0.668;0.764;0.599;0.565;0.902;0.788;0.897;0.783;0.667;0.627;0.979;0.966;0.958;0.832;0.95
transcript50_MGP-PahariEiJ-G0020237;0.736;0.701;0.711;0.671;1.0;0.945;0.871;0.955;0.685;0.825;0.767;0.633;0.626;0.628;0.621;0.995;0.927;0.667;0.656;0.648;0.79;0.641
transcript55_ENSMSIG00000000513;0.786;0.741;0.752;0.681;0.945;1.0;0.925;0.978;0.696;0.814;0.748;0.619;0.612;0.615;0.607;0.95;0.875;0.7;0.689;0.681;0.801;0.673
transcript64_ENSMSIG00000000513;0.764;0.727;0.729;0.661;0.871;0.925;1.0;0.903;0.644;0.88;0.81;0.598;0.596;0.592;0.591;0.875;0.809;0.679;0.668;0.66;0.74;0.652
transcript67_ENSMSIG00000000513;0.768;0.724;0.734;0.668;0.955;0.978;0.903;1.0;0.705;0.794;0.73;0.607;0.599;0.601;0.594;0.96;0.885;0.686;0.683;0.668;0.809;0.659
transcript54_ENSMUSG00000054036;0.68;0.699;0.658;0.764;0.685;0.696;0.644;0.705;1.0;0.638;0.599;0.786;0.74;0.781;0.734;0.681;0.643;0.781;0.77;0.763;0.86;0.754
transcript60_ENSMSIG00000000513;0.767;0.726;0.728;0.599;0.825;0.814;0.88;0.794;0.638;1.0;0.915;0.656;0.656;0.65;0.65;0.829;0.769;0.596;0.584;0.576;0.653;0.568
transcript60_MGP-CAROLIEiJ-G0020234;0.713;0.681;0.682;0.565;0.767;0.748;0.81;0.73;0.599;0.915;1.0;0.619;0.702;0.613;0.696;0.762;0.825;0.562;0.55;0.542;0.611;0.534
transcript59_MGP-SPRETEiJ-G0021131;0.682;0.657;0.706;0.902;0.633;0.619;0.598;0.607;0.786;0.656;0.619;1.0;0.865;0.994;0.859;0.629;0.594;0.894;0.881;0.873;0.774;0.865
transcript59_MGP-CAROLIEiJ-G0020234;0.675;0.649;0.65;0.788;0.626;0.612;0.596;0.599;0.74;0.656;0.702;0.865;1.0;0.859;0.992;0.621;0.662;0.782;0.77;0.762;0.731;0.752
transcript61_MGP-SPRETEiJ-G0021131;0.676;0.651;0.7;0.897;0.628;0.615;0.592;0.601;0.781;0.65;0.613;0.994;0.859;1.0;0.864;0.623;0.589;0.889;0.876;0.867;0.769;0.859
transcript61_MGP-CAROLIEiJ-G0020234;0.669;0.643;0.643;0.783;0.621;0.607;0.591;0.594;0.734;0.65;0.696;0.859;0.992;0.864;1.0;0.617;0.657;0.776;0.764;0.756;0.726;0.747
transcript50_ENSMSIG00000000513;0.74;0.696;0.706;0.667;0.995;0.95;0.875;0.96;0.681;0.829;0.762;0.629;0.621;0.623;0.617;1.0;0.922;0.663;0.652;0.644;0.786;0.637
transcript50_MGP-CAROLIEiJ-G0020234;0.691;0.655;0.664;0.627;0.927;0.875;0.809;0.885;0.643;0.769;0.825;0.594;0.662;0.589;0.657;0.922;1.0;0.624;0.613;0.605;0.736;0.597
transcript62_MGP-SPRETEiJ-G0021131;0.683;0.661;0.706;0.979;0.667;0.7;0.679;0.686;0.781;0.596;0.562;0.894;0.782;0.889;0.776;0.663;0.624;1.0;0.987;0.978;0.85;0.97
transcript69_MGP-SPRETEiJ-G0021131;0.671;0.648;0.693;0.966;0.656;0.689;0.668;0.683;0.77;0.584;0.55;0.881;0.77;0.876;0.764;0.652;0.613;0.987;1.0;0.966;0.84;0.957
transcript72_MGP-SPRETEiJ-G0021131;0.691;0.667;0.713;0.958;0.648;0.681;0.66;0.668;0.763;0.576;0.542;0.873;0.762;0.867;0.756;0.644;0.605;0.978;0.966;1.0;0.832;0.949
transcript57_MGP-PahariEiJ-G0020237;0.631;0.61;0.612;0.832;0.79;0.801;0.74;0.809;0.86;0.653;0.611;0.774;0.731;0.769;0.726;0.786;0.736;0.85;0.84;0.832;1.0;0.824
transcript70_MGP-SPRETEiJ-G0021131;0.654;0.631;0.675;0.95;0.641;0.673;0.652;0.659;0.754;0.568;0.534;0.865;0.752;0.859;0.747;0.637;0.597;0.97;0.957;0.949;0.824;1.0
