;ENSCAFT00000008028_90_90;ENSCAFT00000008030_90_90;ENST00000293217_90_90;ENST00000301608_90_90;ENST00000572047_90_90;ENST00000573078_90_90;ENST00000576743_90_90;ENST00000587927_90_90;ENST00000588176_90_90;ENST00000588968_90_90;ENST00000589301_90_90;ENSMUST00000066587_90_90;ENSMUST00000072948_90_90;ENSMUST00000148601_90_90
ENSCAFT00000008028_90_90;1.0;0.8;0.625;0.786;0.067;0.25;0.133;0.231;0.286;0.143;0.067;0.8;1.0;0.667
ENSCAFT00000008030_90_90;0.8;1.0;0.688;0.625;0.062;0.235;0.125;0.214;0.188;0.133;0.062;1.0;0.8;0.733
ENST00000293217_90_90;0.625;0.688;1.0;0.786;0.143;0.429;0.062;0.231;0.286;0.143;0.143;0.688;0.625;0.562
ENST00000301608_90_90;0.786;0.625;0.786;1.0;0.154;0.357;0.143;0.25;0.417;0.154;0.154;0.625;0.786;0.6
ENST00000572047_90_90;0.067;0.062;0.143;0.154;1.0;0.25;0.0;0.0;0.333;0.0;1.0;0.062;0.067;0.0
ENST00000573078_90_90;0.25;0.235;0.429;0.357;0.25;1.0;0.222;0.0;0.5;0.0;0.25;0.235;0.25;0.188
ENST00000576743_90_90;0.133;0.125;0.062;0.143;0.0;0.222;1.0;0.0;0.286;0.0;0.0;0.125;0.133;0.143
ENST00000587927_90_90;0.231;0.214;0.231;0.25;0.0;0.0;0.0;1.0;0.0;0.2;0.0;0.214;0.231;0.25
ENST00000588176_90_90;0.286;0.188;0.286;0.417;0.333;0.5;0.286;0.0;1.0;0.0;0.333;0.188;0.286;0.133
ENST00000588968_90_90;0.143;0.133;0.143;0.154;0.0;0.0;0.0;0.2;0.0;1.0;0.0;0.133;0.143;0.154
ENST00000589301_90_90;0.067;0.062;0.143;0.154;1.0;0.25;0.0;0.0;0.333;0.0;1.0;0.062;0.067;0.0
ENSMUST00000066587_90_90;0.8;1.0;0.688;0.625;0.062;0.235;0.125;0.214;0.188;0.133;0.062;1.0;0.8;0.733
ENSMUST00000072948_90_90;1.0;0.8;0.625;0.786;0.067;0.25;0.133;0.231;0.286;0.143;0.067;0.8;1.0;0.667
ENSMUST00000148601_90_90;0.667;0.733;0.562;0.6;0.0;0.188;0.143;0.25;0.133;0.154;0.0;0.733;0.667;1.0
