;ENSCAFT00000002592_90_90;ENST00000380321_90_90;ENST00000380338_90_90;ENST00000629733_90_90;ENST00000630269_90_90;ENSMUST00000078090_90_90;ENSMUST00000126353_90_90;ENSMUST00000142454_90_90;ENSMUST00000148059_90_90;ENSMUST00000149357_90_90
ENSCAFT00000002592_90_90;1.0;0.444;1.0;0.222;0.889;1.0;0.2;0.1;0.2;0.4
ENST00000380321_90_90;0.444;1.0;0.364;0.5;0.4;0.364;0.5;0.0;0.5;1.0
ENST00000380338_90_90;1.0;0.364;1.0;0.182;0.75;1.0;0.182;0.083;0.182;0.364
ENST00000629733_90_90;0.222;0.5;0.182;1.0;0.2;0.182;1.0;0.0;0.333;0.5
ENST00000630269_90_90;0.889;0.4;0.75;0.2;1.0;0.75;0.2;0.2;0.2;0.4
ENSMUST00000078090_90_90;1.0;0.364;1.0;0.182;0.75;1.0;0.167;0.071;0.167;0.333
ENSMUST00000126353_90_90;0.2;0.5;0.182;1.0;0.2;0.167;1.0;0.0;0.333;0.5
ENSMUST00000142454_90_90;0.1;0.0;0.083;0.0;0.2;0.071;0.0;1.0;0.0;0.0
ENSMUST00000148059_90_90;0.2;0.5;0.182;0.333;0.2;0.167;0.333;0.0;1.0;0.5
ENSMUST00000149357_90_90;0.4;1.0;0.364;0.5;0.4;0.333;0.5;0.0;0.5;1.0
