;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript9_ENSAPOG00000016134;1.0;0.693;0.326;0.326;0.278;0.175;0.707;0.698;0.653;0.672;0.421;0.356;0.376;0.36;0.497;0.497;0.425;0.522;0.336;0.325;0.345;0.345;0.338;0.333;0.338
transcript9_ENSXMAG00000026005;0.693;1.0;0.303;0.303;0.252;0.162;0.708;0.698;0.671;0.746;0.403;0.389;0.354;0.364;0.455;0.455;0.4;0.478;0.316;0.303;0.348;0.348;0.315;0.329;0.325
transcript14_ENSAPOG00000016134;0.326;0.303;1.0;1.0;0.636;0.606;0.23;0.23;0.222;0.228;0.756;0.777;0.852;0.826;0.649;0.649;0.762;0.619;0.958;0.945;0.87;0.87;0.96;0.92;0.934
transcript14_ENSAPOG00000023408;0.326;0.303;1.0;1.0;0.636;0.606;0.23;0.23;0.222;0.228;0.756;0.777;0.852;0.826;0.649;0.649;0.762;0.619;0.958;0.945;0.87;0.87;0.96;0.92;0.934
transcript21_ENSAPOG00000016134;0.278;0.252;0.636;0.636;1.0;0.607;0.158;0.158;0.14;0.163;0.811;0.584;0.744;0.637;0.684;0.684;0.835;0.639;0.659;0.638;0.639;0.639;0.665;0.623;0.648
transcript21_ENSPNYG00000024266;0.175;0.162;0.606;0.606;0.607;1.0;0.069;0.069;0.049;0.072;0.538;0.524;0.549;0.512;0.447;0.447;0.555;0.473;0.631;0.609;0.553;0.553;0.634;0.592;0.629
transcript7_ENSAPOG00000023408;0.707;0.708;0.23;0.23;0.158;0.069;1.0;0.984;0.917;0.944;0.305;0.294;0.265;0.277;0.351;0.351;0.299;0.369;0.239;0.23;0.264;0.264;0.239;0.248;0.245
transcript7_ENSAOCG00000015695;0.698;0.698;0.23;0.23;0.158;0.069;0.984;1.0;0.917;0.93;0.305;0.294;0.265;0.277;0.351;0.351;0.299;0.369;0.239;0.23;0.264;0.264;0.239;0.248;0.245
transcript7_ENSPNYG00000024266;0.653;0.671;0.222;0.222;0.14;0.049;0.917;0.917;1.0;0.893;0.294;0.283;0.248;0.267;0.326;0.326;0.282;0.343;0.231;0.222;0.255;0.255;0.23;0.24;0.237
transcript7_ENSXMAG00000026005;0.672;0.746;0.228;0.228;0.163;0.072;0.944;0.93;0.893;1.0;0.302;0.291;0.266;0.274;0.339;0.339;0.3;0.356;0.237;0.228;0.262;0.262;0.237;0.246;0.243
transcript23_ENSAPOG00000023408;0.421;0.403;0.756;0.756;0.811;0.538;0.305;0.305;0.294;0.302;1.0;0.725;0.87;0.772;0.826;0.826;0.976;0.785;0.783;0.758;0.77;0.77;0.789;0.748;0.791
transcript23_ENSPNYG00000024266;0.356;0.389;0.777;0.777;0.584;0.524;0.294;0.294;0.283;0.291;0.725;1.0;0.722;0.831;0.597;0.597;0.724;0.594;0.804;0.778;0.879;0.879;0.81;0.847;0.81
transcript28_ENSAPOG00000023408;0.376;0.354;0.852;0.852;0.744;0.549;0.265;0.265;0.248;0.266;0.87;0.722;1.0;0.808;0.75;0.75;0.891;0.714;0.881;0.853;0.806;0.806;0.888;0.846;0.862
transcript28_ENSAOCG00000015695;0.36;0.364;0.826;0.826;0.637;0.512;0.277;0.277;0.267;0.274;0.772;0.831;0.808;1.0;0.661;0.661;0.777;0.627;0.863;0.828;0.95;0.95;0.857;0.816;0.847
transcript29_ENSAPOG00000023408;0.497;0.455;0.649;0.649;0.684;0.447;0.351;0.351;0.326;0.339;0.826;0.597;0.75;0.661;1.0;1.0;0.843;0.911;0.671;0.65;0.653;0.653;0.676;0.635;0.669
transcript29_ENSAOCG00000015695;0.497;0.455;0.649;0.649;0.684;0.447;0.351;0.351;0.326;0.339;0.826;0.597;0.75;0.661;1.0;1.0;0.843;0.911;0.671;0.65;0.653;0.653;0.676;0.635;0.669
transcript30_ENSAPOG00000023408;0.425;0.4;0.762;0.762;0.835;0.555;0.299;0.299;0.282;0.3;0.976;0.724;0.891;0.777;0.843;0.843;1.0;0.803;0.789;0.764;0.776;0.776;0.795;0.754;0.779
transcript31_ENSAPOG00000023408;0.522;0.478;0.619;0.619;0.639;0.473;0.369;0.369;0.343;0.356;0.785;0.594;0.714;0.627;0.911;0.911;0.803;1.0;0.639;0.62;0.62;0.62;0.645;0.603;0.629
transcript17_ENSAOCG00000015695;0.336;0.316;0.958;0.958;0.659;0.631;0.239;0.239;0.231;0.237;0.783;0.804;0.881;0.863;0.671;0.671;0.789;0.639;1.0;0.958;0.909;0.909;0.994;0.952;0.968
transcript18_ENSAOCG00000015695;0.325;0.303;0.945;0.945;0.638;0.609;0.23;0.23;0.222;0.228;0.758;0.778;0.853;0.828;0.65;0.65;0.764;0.62;0.958;1.0;0.871;0.871;0.96;0.92;0.935
transcript26_ENSAOCG00000015695;0.345;0.348;0.87;0.87;0.639;0.553;0.264;0.264;0.255;0.262;0.77;0.879;0.806;0.95;0.653;0.653;0.776;0.62;0.909;0.871;1.0;1.0;0.903;0.861;0.893
transcript27_ENSAOCG00000015695;0.345;0.348;0.87;0.87;0.639;0.553;0.264;0.264;0.255;0.262;0.77;0.879;0.806;0.95;0.653;0.653;0.776;0.62;0.909;0.871;1.0;1.0;0.903;0.861;0.893
transcript12_ENSPNYG00000024266;0.338;0.315;0.96;0.96;0.665;0.634;0.239;0.239;0.23;0.237;0.789;0.81;0.888;0.857;0.676;0.676;0.795;0.645;0.994;0.96;0.903;0.903;1.0;0.958;0.974
transcript22_ENSPNYG00000024266;0.333;0.329;0.92;0.92;0.623;0.592;0.248;0.248;0.24;0.246;0.748;0.847;0.846;0.816;0.635;0.635;0.754;0.603;0.952;0.92;0.861;0.861;0.958;1.0;0.932
transcript24_ENSPNYG00000024266;0.338;0.325;0.934;0.934;0.648;0.629;0.245;0.245;0.237;0.243;0.791;0.81;0.862;0.847;0.669;0.669;0.779;0.629;0.968;0.935;0.893;0.893;0.974;0.932;1.0
